 	aligne	les	enfants	devant	la	maison	</S>
l	0.807334	0.156194	0.0141762	0.00344325	0.0167577	0.00183643	0.000258261
ω	0.76207	0.125046	0.0184309	0.0287534	0.0388698	0.00550252	0.0213275
n	0.959458	0.0285088	0.00373848	0.00300856	0.000280725	0.00087023	0.00413519
g	0.884095	0.0946195	0.00467521	0.00181455	0.00481631	0.00283589	0.0071435
ώ	0.733455	0.213066	0.0333184	0.00163144	0.00149611	0.00262766	0.0144056
b	0.137901	0.739586	0.015385	0.0324347	0.0126692	0.00023682	0.0617867
á	0.0604649	0.589848	0.0455444	0.0635479	0.0199992	0.00107335	0.219522
n	0.00474494	0.455379	0.467933	0.0312664	0.0120998	0.00221383	0.0263632
a	0.0163118	0.574843	0.26235	0.0150542	0.0212647	0.0602452	0.0499314
m	0.0232789	0.511048	0.0540459	0.193796	0.072049	0.00693069	0.138851
ó	0.00519142	0.157627	0.173281	0.397545	0.134207	0.00617219	0.125977
b	0.014274	0.159033	0.210063	0.514556	0.0542289	0.0259588	0.0218868
o	0.0132218	0.090673	0.215827	0.649949	0.0207141	0.000710049	0.00890531
s	0.0076138	0.0756918	0.057076	0.822683	0.0144583	0.000979974	0.0214971
ó	0.0482846	0.163872	0.0478298	0.403687	0.137911	0.0220492	0.176366
b	0.00288605	0.0868397	0.0556993	0.311158	0.362696	0.0254109	0.15531
á	0.00839859	0.0953894	0.0786456	0.35425	0.186436	0.0448235	0.232058
n	0.000389309	0.0258884	0.157627	0.0978266	0.374556	0.193364	0.150348
d	0.000124575	0.00497177	0.0205568	0.0081323	0.121501	0.820338	0.0243751
é	0.000716942	0.0028561	0.00563819	0.00559086	0.0336565	0.931908	0.0196332
e	0.00762697	0.0733383	0.0237397	0.173876	0.264237	0.111426	0.345755
</S>	0.00170168	0.00558303	0.00191943	0.0808884	0.221566	0.0212322	0.66711
