 	qui	vous	a	demandé	l'	argent	</S>
o	0.93606	0.0404782	0.0193054	0.0019588	0.00157277	0.000332086	0.000292866
l	0.0344943	0.0244791	0.26034	0.664841	0.0055868	0.00451193	0.00574722
a	0.005502	0.000174042	0.0764925	0.900641	0.00922488	0.000863216	0.00710256
n	0.00133255	0.000474912	0.0773804	0.902284	0.00345911	0.0014493	0.0136198
g	0.181161	0.0130728	0.316545	0.358174	0.0454311	0.00116907	0.0844474
i	0.45157	0.060037	0.0970256	0.0342903	0.0714105	0.0328704	0.252796
b	0.0852897	0.196132	0.125874	0.0139121	0.396311	0.136181	0.0463
í	0.0120135	0.729988	0.0308215	0.0239421	0.0426348	0.0939562	0.0666441
n	0.00499941	0.705465	0.0075007	0.00416346	0.0170246	0.204598	0.0562487
í	0.0464248	0.133212	0.0114545	0.0181845	0.0727007	0.37957	0.338454
m	0.00464796	0.0153781	0.11835	0.0486428	0.671168	0.0194753	0.122337
b	0.0257281	0.00156227	0.00727431	0.0106382	0.474815	0.33115	0.148832
ώ	0.000585862	0.00175208	0.000999205	0.00545069	0.0929243	0.882733	0.0155552
n	0.00435077	0.0089366	0.00869291	0.0015048	0.125303	0.691027	0.160185
g	0.0157393	0.00473853	0.0167797	0.0201387	0.328493	0.25425	0.35986
ω	0.0217895	0.0107145	0.00287442	0.00330085	0.0899328	0.521744	0.349644
á	0.00367938	0.000896681	0.0281335	0.0204593	0.275512	0.017524	0.653795
d	0.00640069	0.000304564	0.0984315	0.217116	0.189925	0.00976542	0.478057
z	0.00157783	0.000329743	0.0160631	0.0950793	0.0355451	0.00406951	0.847335
e	0.0028623	0.00104276	0.00782023	0.204645	0.381989	0.0131899	0.38845
n	0.0130272	0.00159891	0.0236871	0.0400782	0.581048	0.0274914	0.313069
d	0.00366162	0.0116872	0.00161857	0.00293398	0.0693765	0.218555	0.692167
a	0.00442933	0.0149158	0.00338453	0.00595155	0.085006	0.076316	0.809997
</S>	0.000506229	9.76279e-05	0.00145335	0.00227789	0.0587949	0.00621574	0.930654
