 	les	chaussures	se	sont	coupées	d'	elles-	mêmes	</S>
m	0.871417	0.0442123	0.0322537	0.008956	0.0152549	0.0173159	0.00788346	0.00255195	0.000155175
y	0.378265	0.121516	0.0634662	0.0380022	0.0267389	0.0411468	0.133785	0.064507	0.132573
e	0.290713	0.400796	0.00725187	0.00772226	0.00903587	0.0344943	0.0907668	0.0746698	0.0845506
r	0.469331	0.13822	0.0163852	0.0118223	0.019373	0.0535596	0.113338	0.133255	0.0447168
é	0.397185	0.0648469	0.0526602	0.0247888	0.0280575	0.0610143	0.176533	0.0757852	0.119129
m	0.523817	0.177361	0.185896	0.0286143	0.0238799	0.018434	0.0172763	0.00683986	0.0178816
á	0.277952	0.0371987	0.336941	0.125119	0.0205579	0.0511377	0.0552509	0.0450665	0.0507762
k	0.575294	0.182664	0.0746219	0.0449695	0.0213463	0.0290872	0.0231254	0.0136229	0.0352689
o	0.0377593	0.848116	0.0319184	0.026391	0.0139214	0.0246337	0.00623982	0.00518156	0.00583854
o	0.0247015	0.812047	0.106245	0.0200654	0.00976817	0.0167437	0.0041057	0.00155459	0.00476865
í	0.0250543	0.00243255	0.503415	0.233349	0.124948	0.0767558	0.0189829	0.00428475	0.0107781
k	0.0167361	0.00588852	0.128151	0.375613	0.217245	0.177573	0.0352075	0.00477162	0.0388139
y	0.00520626	0.0139695	0.080627	0.123562	0.398638	0.244369	0.0262714	0.0135834	0.0937726
é	0.00908959	0.0208076	0.129653	0.201183	0.215551	0.263614	0.0359822	0.0258154	0.0983049
n	0.00382763	0.0255245	0.109082	0.189156	0.219299	0.179122	0.0417375	0.046768	0.185483
i	0.015158	0.00248219	0.101815	0.187344	0.237919	0.228996	0.156969	0.0403201	0.0289966
m	0.00476241	0.00109314	0.102655	0.114336	0.0946187	0.218103	0.218717	0.15545	0.0902643
i	0.00161502	3.05174e-05	0.00335007	0.00760362	0.00464767	0.0400007	0.231059	0.643611	0.0680822
m	0.00109871	0.000119685	0.00699899	0.0169982	0.0735554	0.145571	0.288398	0.301829	0.16543
í	0.000272654	5.59215e-05	0.00118725	0.00361524	0.00376715	0.0339172	0.156222	0.70165	0.0993126
a	0.000534406	0.000128367	0.00370503	0.00969592	0.0334692	0.0747291	0.229176	0.5725	0.0760623
m	0.000706572	0.000303627	0.00818942	0.0179407	0.0784034	0.0854237	0.260602	0.242956	0.305475
έ	0.00518036	0.00309283	0.0191227	0.0329088	0.022073	0.0884373	0.213153	0.419447	0.196585
n	0.000344755	0.000248919	0.00575486	0.0165621	0.0438344	0.129557	0.214391	0.297593	0.291715
έ	0.00275506	0.000202959	0.00247242	0.00741787	0.0210237	0.0443094	0.537667	0.240042	0.144109
</S>	0.000433926	4.35912e-05	0.00431597	0.0084992	0.0289284	0.0386033	0.31189	0.13434	0.472946
