 	le	cabri	est	attaché	au	piquet	</S>
m	0.894399	0.0790834	0.018729	0.00495057	0.00243071	0.000377196	2.98657e-05
b	0.0217092	0.903485	0.0543761	0.00750391	0.00564398	0.000112271	0.00716908
ó	0.00950141	0.987085	0.00130092	0.00140931	0.000378881	0.00019491	0.000129436
s	0.0222245	0.975307	0.00149545	0.000503208	0.000146754	3.12567e-05	0.00029228
i	0.583533	0.196315	0.115884	0.0588092	0.0156923	0.00841573	0.0213509
a	0.141071	0.0407615	0.528165	0.204559	0.0601602	0.00586334	0.0194203
d	0.0456348	0.00234781	0.3012	0.473139	0.148604	0.010646	0.0184275
i	0.012529	0.00152977	0.114168	0.574297	0.0651907	0.006471	0.225815
m	0.0260361	0.000850498	0.078784	0.412949	0.356875	0.0187122	0.105794
ó	0.0253945	0.0153429	0.175823	0.287738	0.320954	0.0111385	0.16361
i	0.0603263	0.00838474	0.0787347	0.243554	0.337742	0.214824	0.0564336
k	0.00345378	0.00105601	0.0145553	0.107264	0.18414	0.598418	0.0911125
í	0.00429453	0.000463638	0.00165762	0.0126332	0.0115229	0.959479	0.00994891
é	0.000306531	0.000586926	0.00219799	0.00819833	0.00432814	0.898548	0.0858337
</S>	0.00100789	8.19774e-05	0.00222393	0.0177313	0.0434853	0.56323	0.37224
