 	j'	enlève	la	porte	de	la	maison	</S>
n	0.79042	0.104226	0.0444144	0.0274966	0.0142134	0.018185	0.000700141	0.000344988
g	0.989565	0.00244757	0.0018002	0.00282361	0.000464948	0.00204322	0.000800886	5.49342e-05
á	0.888277	0.0328174	0.00573138	0.0325585	0.00214659	0.00208783	0.0362412	0.000140207
l	0.276901	0.182495	0.172538	0.147337	0.022956	0.0585363	0.0523905	0.0868462
í	0.322847	0.156022	0.0753933	0.0881385	0.0420543	0.0240052	0.0476028	0.243937
i	0.0434787	0.214224	0.425245	0.115915	0.0412228	0.0277397	0.0329421	0.0992337
w	0.00245146	0.810842	0.11092	0.0315764	0.0135975	0.00253146	0.00146393	0.0266169
ó	0.000246356	0.864087	0.0707368	0.0286081	0.0153245	0.000991921	0.000279671	0.0197252
n	0.000332872	0.713384	0.161857	0.0578621	0.0210649	0.00316984	0.00390453	0.0384248
g	0.00622995	0.283454	0.312976	0.193143	0.100312	0.0192162	0.028979	0.0556901
á	0.0135978	0.217703	0.209613	0.398409	0.0619606	0.0252609	0.0572064	0.0162496
e	0.0050933	0.00732684	0.134726	0.131464	0.13571	0.35617	0.222545	0.0069632
k	0.00043315	0.00860014	0.0661979	0.344628	0.318673	0.0683231	0.16311	0.0300349
u	9.24853e-05	0.0236431	0.0762714	0.348238	0.427971	0.0298074	0.00933406	0.0846433
u	0.000208987	0.0204123	0.0689117	0.194081	0.415065	0.0788003	0.0321108	0.19041
y	9.92715e-05	0.000867515	0.0431308	0.0693808	0.315472	0.4598	0.0431123	0.0681381
á	0.00117746	0.0104678	0.063863	0.0963871	0.227061	0.311779	0.0615664	0.227699
n	0.00213033	0.0015983	0.0316662	0.0359583	0.0420472	0.266943	0.587469	0.0321881
d	0.00340496	0.00031302	0.00111852	0.00708815	0.0042653	0.022875	0.950135	0.0107996
é	0.00408336	0.00118938	0.00185728	0.0159716	0.00610562	0.0278961	0.845227	0.0976698
e	9.92079e-05	0.00733223	0.0186652	0.109398	0.161524	0.0918776	0.086026	0.525078
</S>	0.000122206	0.00302395	0.0291763	0.0426668	0.228478	0.199627	0.0266846	0.470221
