 	la	chaux	blanchit	les	habits	</S>
l	0.884615	0.0965057	0.00931704	0.00823004	0.00123486	9.74544e-05
a	0.772578	0.181231	0.0162239	0.0205468	0.00437717	0.0050427
p	0.465373	0.418356	0.0772835	0.0139959	0.00761448	0.0173771
έ	0.0694994	0.456783	0.26087	0.00222437	0.0877611	0.122862
m	0.153725	0.719828	0.060785	0.00775401	0.020539	0.0373685
b	0.0624971	0.274976	0.524598	0.0419951	0.00302964	0.0929044
έ	0.153978	0.360228	0.434215	0.0219655	0.00307381	0.0265394
l	0.052829	0.270212	0.582516	0.0639159	0.00401497	0.0265121
í	0.157857	0.357381	0.137193	0.05406	0.0174723	0.276038
i	0.175853	0.213917	0.318102	0.177535	0.0156916	0.0989014
p	0.0289926	0.187597	0.727215	0.0144246	0.0229572	0.018814
f	0.00543587	0.102461	0.820129	0.00251614	0.0500366	0.0194221
ú	0.0187262	0.13503	0.795517	0.00439128	0.0279315	0.0184043
m	0.0609	0.108302	0.695001	0.0833531	0.0268504	0.0255929
b	0.0561125	0.0558371	0.500432	0.292637	0.0393622	0.0556188
ú	0.0561471	0.0630871	0.671914	0.0683625	0.0557035	0.084786
s	0.00517479	0.0111849	0.0296986	0.662183	0.122902	0.168857
á	0.0135013	0.0055831	0.0161991	0.822378	0.0502469	0.0920916
i	0.0110411	0.00446923	0.01263	0.47827	0.444932	0.0486584
k	0.00675852	0.0200519	0.0316758	0.0291686	0.873246	0.0390992
á	0.00122266	0.0120098	0.0238023	0.00679879	0.943082	0.0130843
n	0.00625823	0.02686	0.101408	0.0296829	0.792992	0.0427993
d	0.00491459	0.0577857	0.0852754	0.0318483	0.748827	0.0713488
á	0.00877588	0.0673363	0.0652792	0.031054	0.736971	0.0905833
</S>	0.00694071	0.0139232	0.0124062	0.132237	0.166709	0.667784
