 	l'	eau	du	fleuve	est	basse	</S>
n	0.536519	0.400927	0.0572688	0.00419971	0.000920302	0.000122213	4.34768e-05
z	0.899203	0.0862381	0.0123614	0.00206587	2.61618e-05	5.77297e-05	4.81878e-05
á	0.192455	0.539145	0.200169	0.0653598	0.00101147	0.00126428	0.000595145
l	0.173881	0.143324	0.570544	0.0825199	0.00149191	0.00718756	0.0210525
é	0.156734	0.152616	0.508393	0.135753	0.0180542	0.00137602	0.0270733
é	0.0848536	0.0275723	0.538679	0.167882	0.13039	0.0124355	0.038188
m	0.0164876	0.0100196	0.135427	0.222663	0.593933	0.0112397	0.0102301
i	0.00623043	0.0139246	0.0747922	0.211906	0.63987	0.0380903	0.0151866
w	0.00251513	0.00455314	0.0251274	0.163777	0.566344	0.208423	0.0292601
ó	0.00179052	0.00426918	0.0740794	0.260939	0.374448	0.2149	0.0695737
m	0.00286375	0.0021609	0.258273	0.202968	0.364393	0.0770207	0.0923201
a	0.0113644	0.010392	0.0363934	0.136782	0.218982	0.117467	0.468619
</S>	0.0231023	0.014438	0.0718815	0.0582348	0.419457	0.0976008	0.315285
