 	les	maux	de	tête	me	donnent	des	vertiges	</S>
i	0.401585	0.408839	0.0747772	0.0948099	0.0104103	0.0049066	0.00388484	0.000551865	0.000235264
b	0.228754	0.474682	0.133604	0.0913488	0.00750297	0.0231245	0.0116085	0.0261493	0.00322575
o	0.0350936	0.472417	0.0637883	0.396317	0.00176613	0.00765929	0.00227955	0.0111427	0.00953636
ó	0.0605261	0.235766	0.217749	0.223525	0.0057457	0.00730952	0.00485277	0.199533	0.0449923
b	0.312179	0.167731	0.319926	0.113825	0.0135953	0.0128903	0.00779251	0.000719191	0.0513423
v	0.144062	0.311812	0.132367	0.109917	0.0623984	0.0842611	0.0149533	0.00275119	0.137477
ú	0.115335	0.235957	0.167615	0.214154	0.0913242	0.027762	0.00901248	0.0168792	0.121961
a	0.209747	0.114708	0.403923	0.195039	0.0248763	0.0134609	0.0259949	0.00949182	0.00275929
l	0.0951988	0.0551234	0.141128	0.134001	0.243718	0.191798	0.109115	0.00500746	0.0249112
í	0.0609524	0.0230605	0.0694048	0.0183838	0.316605	0.231744	0.0968905	0.00606309	0.176896
i	0.0954551	0.029134	0.145688	0.0927538	0.441248	0.052476	0.0856121	0.0148769	0.0427567
p	0.00438815	0.00899381	0.0127815	0.0209391	0.0343211	0.73042	0.09025	0.0684633	0.0294435
έ	0.000807085	0.00515238	0.0141931	0.0844834	0.00683587	0.586618	0.0501206	0.204202	0.0475883
έ	0.0190789	0.0393261	0.122284	0.14044	0.103312	0.348227	0.114384	0.0393814	0.0735664
n	0.00530131	0.00537231	0.0258063	0.0263621	0.156755	0.271522	0.371502	0.092754	0.0446253
g	0.008874	0.00633911	0.0161482	0.00514797	0.681021	0.0766689	0.0743517	0.0783883	0.0530607
á	0.00228183	0.000859211	0.0135047	0.0044756	0.890008	0.0105717	0.0312616	0.033568	0.0134689
l	0.00396814	0.00361645	0.020101	0.0185208	0.0161552	0.0548668	0.300927	0.547695	0.0341491
e	0.0192697	0.0093109	0.016771	0.00697856	0.0721052	0.1388	0.123401	0.40764	0.205724
n	0.001148	0.000929098	0.00508347	0.00314904	0.00393647	0.0256063	0.0661709	0.740785	0.153192
d	0.0018833	0.00187283	0.00469937	0.00136825	0.0354918	0.0212747	0.0506314	0.734248	0.14853
z	0.000525682	0.000224776	0.00193969	0.000466857	0.0253339	0.00887353	0.0288732	0.688802	0.244961
ó	3.70215e-05	5.54534e-05	0.000804914	0.00062811	0.0134933	0.00529709	0.0109555	0.795148	0.173581
m	0.000964074	0.00135688	0.0174675	0.00684659	0.00600693	0.00728846	0.0109179	0.558488	0.390663
b	0.00217814	0.00196118	0.0109485	0.00820679	0.0103822	0.0282238	0.023021	0.206584	0.708494
o	0.0126926	0.00670315	0.00719461	0.00294534	0.00488657	0.0150487	0.0114161	0.463681	0.475432
</S>	0.00280655	0.00209423	0.00489888	0.00233591	0.00866822	0.0483923	0.0547448	0.10515	0.77091
