 	il	est	en	train	de	faire	craquer	ses	doigts	</S>
w	0.923531	0.0335665	0.0128068	0.00874689	0.00703972	0.00176889	0.0042925	0.00616974	0.00194103	0.000136929
a	0.702772	0.0758164	0.0856342	0.0831412	0.0169753	0.00712717	0.00390461	0.0167487	0.00776204	0.000118289
b	0.100154	0.453104	0.303844	0.0543005	0.0566602	0.01661	0.0040805	0.00542798	0.000838534	0.00497971
ó	0.0438282	0.0781896	0.219385	0.638815	0.0113261	0.0020059	0.000573741	0.0021083	0.00143663	0.0023313
l	0.120491	0.150691	0.243643	0.20766	0.102725	0.0402877	0.0104391	0.0334986	0.00345634	0.0871079
á	0.186834	0.149279	0.144454	0.040346	0.153515	0.056466	0.0122692	0.0569283	0.00642342	0.193485
a	0.247034	0.158088	0.183959	0.0657271	0.234607	0.0643169	0.0120211	0.00538851	0.00878607	0.020073
b	0.0124186	0.123041	0.0619649	0.0151955	0.492911	0.254013	0.0195239	0.00519935	0.0011055	0.0146274
έ	0.0427732	0.277622	0.110279	0.0858155	0.268688	0.182366	0.00650716	0.00661219	0.0110578	0.00827912
έ	0.00343484	0.0865276	0.110009	0.00290249	0.265727	0.438037	0.0457534	0.00766241	0.000845642	0.0391011
n	0.00590485	0.00644812	0.0123882	0.00224042	0.18424	0.371564	0.335532	0.0666958	0.00407816	0.0109084
g	0.0202286	0.00705626	0.0101837	0.000239324	0.102185	0.246325	0.505971	0.0677392	0.0119836	0.0280881
é	0.0221749	0.00797846	0.0200575	0.000893265	0.0412427	0.0778555	0.800515	0.0132989	0.00380525	0.0121787
n	0.00191489	0.00259574	0.00353043	0.000416354	0.0571239	0.113193	0.517127	0.196297	0.0802642	0.0275379
y	0.00178091	0.00535261	0.00569904	5.14002e-05	0.0305395	0.174052	0.589067	0.0881342	0.0255478	0.079776
a	0.000221342	0.00106538	0.00176312	2.67906e-05	0.00348231	0.0172921	0.921579	0.0195819	0.00882983	0.0261583
m	0.000251118	0.00344507	0.011915	0.00125586	0.0334131	0.0767994	0.329992	0.15595	0.112454	0.274524
í	0.00587006	0.0032261	0.00501161	0.000282794	0.0226051	0.0586856	0.105846	0.315913	0.213642	0.268917
s	0.00241611	0.00351216	0.0033688	0.00033954	0.0422746	0.0746998	0.0375985	0.369686	0.140996	0.325108
a	0.00135823	0.00898073	0.0027662	1.41917e-05	0.00941184	0.0352608	0.0751972	0.247206	0.442886	0.176919
b	0.000576837	0.000720318	0.000653483	3.70659e-05	0.00141557	0.00364281	0.0288826	0.204689	0.649407	0.109976
h	0.013484	0.00666622	0.0110646	0.00464217	0.019753	0.0236301	0.0249748	0.227639	0.6312	0.0369465
i	0.00116684	0.00103747	0.00385304	0.00488587	0.00199901	0.00501703	0.0140503	0.0436149	0.741951	0.182424
</S>	1.71394e-05	0.000253613	0.000861079	0.000319863	0.00101523	0.00281392	0.0110297	0.0926307	0.274734	0.616325
