 	le	nid	du	colibri	est	dans	le	feuillage	du	manguier	</S>
d	0.545349	0.319252	0.106622	0.00914614	0.0065813	0.0053341	0.00430722	0.000281045	0.00299852	0.000112558	1.62143e-05
z	0.361945	0.484572	0.062774	0.0551082	0.00163848	0.00127933	0.00133801	0.000922199	0.00124265	0.00950045	0.0196796
ú	0.00302962	0.991595	0.000171596	0.00495647	2.59012e-05	1.56206e-05	1.02874e-05	1.12052e-05	2.85448e-06	0.000146345	3.54291e-05
m	0.0200164	0.782217	0.00617062	0.18466	0.00179303	0.0004709	0.000702272	0.00190856	0.000318748	0.00116246	0.000580157
b	0.0793779	0.503974	0.0313174	0.372353	0.00746131	0.00116849	0.0015818	0.00134575	0.000292148	0.000231067	0.000896247
u	0.171793	0.742757	0.0255766	0.0382774	0.00324105	0.0021339	0.0016636	0.000993568	0.000499561	0.000510541	0.0125533
l	0.0349655	0.0281202	0.665039	0.150355	0.0763014	0.0145054	0.0082707	0.00401667	0.00112669	5.71019e-05	0.0172416
ó	0.409067	0.0112224	0.186549	0.181358	0.0965525	0.054456	0.0120044	0.00265323	0.00650547	0.00208763	0.0375435
t	0.185048	0.016159	0.0928625	0.437479	0.150284	0.0530045	0.0220648	0.00530584	0.00359595	0.0039026	0.0302941
s	0.0303513	0.0537212	0.1443	0.447093	0.101225	0.0537305	0.0891204	0.0537679	0.00862814	0.00129781	0.0167656
w	0.00496419	0.0685719	0.0883245	0.328864	0.114735	0.138515	0.175073	0.0591213	0.0131969	0.000613514	0.00802107
έ	0.00596324	0.0222721	0.10479	0.226893	0.0408056	0.0869647	0.147122	0.048735	0.0606537	0.0244002	0.2314
s	0.00708105	0.00313173	0.094103	0.0189173	0.185093	0.22918	0.20445	0.113832	0.0877429	0.00324477	0.0532245
έ	0.0404811	0.0228175	0.113727	0.0660447	0.136922	0.218359	0.155629	0.0580411	0.0895229	0.00220819	0.0962478
í	0.00668642	0.000990929	0.0100646	0.00522436	0.124212	0.251133	0.140505	0.100095	0.29338	0.0503363	0.0173714
d	0.0133502	0.00727641	0.0130762	0.00391722	0.0326906	0.16885	0.160268	0.263326	0.287661	0.0386162	0.0109682
i	0.0126779	0.00459578	0.00181913	0.00142434	0.0391542	0.378462	0.0705594	0.177268	0.114449	0.0285616	0.171029
s	0.00132226	0.000259208	0.00083296	0.000638931	0.0156817	0.108046	0.157785	0.317746	0.293204	0.0619704	0.0425144
ó	0.00679717	0.00606121	0.00293013	0.0105561	0.00879597	0.0694785	0.0565862	0.215122	0.300068	0.151778	0.171826
m	0.00232266	0.000625415	0.00275152	0.0279821	0.00415696	0.00889594	0.012833	0.0332331	0.209188	0.63565	0.0623605
b	0.000692264	0.00107721	0.000538611	0.00353071	0.000802572	0.000948331	0.000738843	0.00373819	0.0251673	0.907802	0.0549643
á	0.000254389	0.00109485	4.38545e-05	0.000523923	0.000152808	0.00094767	0.000852008	0.00119897	0.00119295	0.988478	0.00526089
n	0.00019844	0.000318848	0.000127692	0.000326637	0.000256888	0.000679133	0.000915101	0.00249269	0.00702497	0.931633	0.0560267
g	0.00615459	0.0126878	0.00774254	0.0141591	0.00627957	0.0142734	0.0105032	0.0100442	0.142904	0.622249	0.153003
é	0.00144908	0.00295589	0.00118723	0.00485116	0.000273104	0.00166683	0.00407824	0.00266596	0.0363142	0.85877	0.0857879
</S>	0.0021375	0.00107434	0.00621345	0.00417494	0.00623093	0.0128762	0.0220167	0.0358096	0.129326	0.0580883	0.722052
