 	il	n'	y	a	pas	assez	de	sel	dans	la	soupe	</S>
o	0.137037	0.0489826	0.0462364	0.0504719	0.0548667	0.0714012	0.436463	0.0809956	0.0310694	0.0343857	0.00687542	0.0012147
k	0.00483318	0.0412196	0.0056092	0.006475	0.0167294	0.174403	0.0342348	0.646543	0.0443241	0.00557628	0.00344722	0.0166051
w	0.000790121	0.0199758	0.00881247	0.00899884	0.0118686	0.111677	0.0118166	0.777485	0.0165678	0.00752748	0.011356	0.0131241
a	0.0024435	0.028383	0.0142623	0.0146966	0.014383	0.0968455	0.0462188	0.673218	0.0748274	0.0153591	0.00334316	0.0160197
o	0.0581727	0.0937375	0.100389	0.0547204	0.0594376	0.0667317	0.229745	0.125996	0.0435744	0.0480787	0.0211199	0.0982968
d	0.00994978	0.0495217	0.0612625	0.0653963	0.0791517	0.143976	0.195227	0.181071	0.133646	0.0287498	0.00420122	0.0478472
í	0.000893885	0.0140955	0.00723314	0.00972298	0.0104302	0.0276704	0.0129545	0.0959657	0.325545	0.0392384	0.110644	0.345606
o	0.00595783	0.0102566	0.0238574	0.0276982	0.042314	0.0838857	0.112531	0.0239941	0.274997	0.14679	0.0601046	0.187613
k	0.00126125	0.00529026	0.0274235	0.0536073	0.0783148	0.0707396	0.0956087	0.021986	0.370536	0.190235	0.0385384	0.0464589
o	0.00112326	0.0157786	0.0176275	0.0361889	0.0438144	0.0925999	0.0571812	0.394843	0.166227	0.0758036	0.0146966	0.0841161
a	0.000266986	0.00539135	0.0115915	0.0202234	0.0285569	0.120191	0.19356	0.42623	0.105683	0.0541319	0.00823883	0.0259343
k	0.00744	0.00284546	0.0199295	0.0420457	0.0819242	0.0495876	0.168288	0.0104752	0.25627	0.242191	0.0594269	0.0595758
a	0.00451068	0.00785894	0.0228803	0.054198	0.0611791	0.043036	0.0694359	0.0368556	0.13547	0.301805	0.0926058	0.170165
á	0.000835745	0.00177518	0.0041062	0.0135784	0.00832667	0.0045767	0.0132854	0.0103407	0.0816403	0.187311	0.274102	0.400122
s	0.00414925	0.00220211	0.0116845	0.0234474	0.0212384	0.00817705	0.0223925	0.00220791	0.105376	0.225921	0.255032	0.318172
á	0.00168585	0.00299871	0.00693355	0.00809322	0.00410623	0.0014159	0.00414886	0.000841314	0.0649366	0.129914	0.277394	0.497531
s	0.00304489	0.00167829	0.0113536	0.0172606	0.0207964	0.0105867	0.0402314	0.00328131	0.0290179	0.351471	0.311092	0.200186
ú	0.000365254	0.000195069	0.000557621	0.000811968	0.000650648	0.000495174	0.000853974	0.000116458	0.0050725	0.031032	0.906605	0.0532442
b	0.000166794	0.000370645	0.00128621	0.00366923	0.0160586	0.054194	0.0233046	0.00259229	0.0421767	0.140747	0.610173	0.105261
h	0.000986641	0.00147746	0.00442159	0.0128302	0.056206	0.0952528	0.104309	0.023327	0.120872	0.426251	0.0953256	0.0587401
u	0.000428836	0.000758721	0.0032395	0.0102618	0.0650852	0.0907058	0.21756	0.107932	0.345521	0.0967432	0.0291312	0.0326333
d	9.83525e-05	0.000715766	0.00365299	0.00823827	0.0566397	0.17582	0.10761	0.0455113	0.241902	0.104051	0.00955475	0.246207
í	0.000180699	0.00163317	0.00472702	0.00636319	0.0122718	0.0137628	0.00567689	0.00289991	0.151846	0.206908	0.0237817	0.569949
</S>	0.000329632	0.000767992	0.00627167	0.0122967	0.0361265	0.0776892	0.106345	0.00398077	0.106484	0.254698	0.00941374	0.385596
