 	ils	pourchassent	les	cabris	dans	la	savane	</S>
b	0.956476	0.0198622	0.00800044	0.00355563	0.00587794	0.00505497	0.000483523	0.000689041
á	0.984436	0.00852986	0.00471303	0.00090805	0.000610379	0.000761342	1.28819e-05	2.87056e-05
a	0.987866	0.0102225	0.0010904	0.00057097	8.69726e-05	6.40888e-05	2.46532e-05	7.45873e-05
b	0.469981	0.304271	0.152047	0.00416672	0.0175373	0.0157115	0.00135444	0.0349315
á	0.113768	0.0745928	0.710178	0.0335821	0.0221481	0.0309965	0.000791648	0.0139428
a	0.359053	0.0623314	0.493746	0.0268817	0.0137536	0.0144122	0.00287468	0.0269477
t	0.00883644	0.27287	0.35018	0.287212	0.0188479	0.0148651	0.0102911	0.0368976
ú	0.00154065	0.609612	0.0903454	0.243265	0.0122658	0.00335572	0.0070744	0.0325415
r	0.0168769	0.251082	0.358721	0.189247	0.046101	0.0230845	0.0179282	0.0969608
á	0.00292594	0.266428	0.488801	0.0724937	0.0894117	0.0291693	0.00488263	0.0458875
a	0.0122562	0.02131	0.529248	0.288009	0.0973476	0.0423955	0.00433205	0.00510166
m	0.00835016	0.00872632	0.15226	0.591948	0.172124	0.0459515	0.0149605	0.00568003
b	0.00277437	0.000993061	0.0274897	0.798294	0.0940871	0.0366127	0.0154492	0.0242998
o	0.000467083	0.000914536	0.00860244	0.938191	0.0271573	0.0112734	0.00714865	0.00624587
s	0.000272158	0.00215789	0.00858309	0.933861	0.0219421	0.00581477	0.00363749	0.0237318
i	0.00224878	0.0126055	0.0323165	0.238397	0.194859	0.0571425	0.0835069	0.378924
s	0.000805544	0.00197989	0.0997763	0.0153394	0.472151	0.259799	0.0337169	0.116432
ώ	0.00275567	0.00104705	0.0247318	0.0345374	0.144042	0.143691	0.452752	0.196443
l	0.00194828	0.000176994	0.0112592	0.00450039	0.0802672	0.124346	0.747521	0.0299801
ω	0.00226646	0.00133389	0.0220155	0.00981577	0.145264	0.210823	0.523567	0.0849138
n	0.000654633	0.000205207	0.00215338	0.00584553	0.0289916	0.0596159	0.79688	0.105654
g	0.0003666	0.000317019	0.00341723	0.00550326	0.0584082	0.130689	0.633173	0.168126
ω	0.00203833	0.000338804	0.00671546	0.00402755	0.0614182	0.099727	0.542595	0.28314
</S>	3.01779e-05	0.000220083	0.00211267	0.0014895	0.0798115	0.119116	0.209843	0.587377
