 	c'	est	ma	fille	aînée	</S>
é	0.629962	0.270685	0.0690052	0.013754	0.00622511	0.0103681
d	0.375533	0.549809	0.00616036	0.0210096	0.0346636	0.0128241
i	0.25926	0.583072	0.0200387	0.0744607	0.0142257	0.0489433
m	0.261618	0.314401	0.0526229	0.0415216	0.0236073	0.306229
w	0.0632713	0.266513	0.0260255	0.454693	0.0683696	0.121127
á	0.00976581	0.0229425	0.00717914	0.858925	0.032086	0.0691017
n	0.10908	0.051922	0.0757787	0.697407	0.0159938	0.0498186
á	0.0724434	0.0624729	0.334949	0.40784	0.0413464	0.0809484
y	0.273967	0.163107	0.427498	0.056215	0.0531321	0.0260807
a	0.102179	0.14953	0.591297	0.0481614	0.0779481	0.0308838
n	0.055135	0.0315247	0.610509	0.110773	0.177519	0.0145386
g	0.00122457	0.00199357	0.948278	0.038948	0.00757471	0.00198114
á	0.00448151	0.00941694	0.672861	0.203859	0.0523808	0.057001
y	0.0204642	0.0382949	0.157973	0.0465475	0.388569	0.348151
a	0.0425321	0.097098	0.481704	0.0463939	0.279476	0.0527951
o	0.026908	0.0505848	0.229985	0.0337109	0.404959	0.253852
y	0.0126633	0.041589	0.0311822	0.0193463	0.326566	0.568653
ú	0.011274	0.0329297	0.158419	0.0809239	0.480335	0.236119
r	0.00897661	0.014011	0.184601	0.070007	0.0843221	0.638083
u	0.0153692	0.0416108	0.157126	0.0381242	0.458685	0.289084
y	0.0127742	0.0180088	0.0892645	0.00816153	0.127684	0.744107
a	0.0220396	0.0462862	0.179372	0.0181338	0.423323	0.310846
b	0.0151242	0.0260112	0.233339	0.0168282	0.216281	0.492415
o	0.00833033	0.0427379	0.02031	0.062384	0.522373	0.343864
s	0.00410163	0.032917	0.0288959	0.00939239	0.285231	0.639462
ó	0.0467056	0.0623512	0.0739942	0.0305525	0.557682	0.228714
</S>	0.0126725	0.0139546	0.0402853	0.00478991	0.154636	0.773662
