 	il	reste	en	arrière	</S>
w	0.944079	0.0426762	0.0106433	0.00229997	0.000301451
a	0.896555	0.00983665	0.0837826	0.00829063	0.00153515
l	0.694651	0.150224	0.0945094	0.00481191	0.0558038
á	0.135749	0.0369878	0.087489	0.0695126	0.670262
a	0.468444	0.0534468	0.118166	0.163791	0.196152
b	0.0283815	0.933955	0.0217156	0.00279023	0.0131572
v	0.0256072	0.911875	0.0561289	0.0012243	0.0051647
u	0.00872594	0.918184	0.0685278	0.00171416	0.00284809
á	0.164316	0.404063	0.326346	0.0156077	0.0896671
m	0.063723	0.0610198	0.665721	0.140757	0.0687794
ó	0.0135341	0.0214052	0.488332	0.120367	0.356361
n	0.0132847	0.00534816	0.0738491	0.85333	0.0541886
g	0.000646218	0.000220935	0.004781	0.981185	0.0131665
ω	0.000360055	0.000417151	0.00285348	0.988766	0.00760368
n	0.00028545	0.000888615	0.0125621	0.885436	0.100828
g	0.00382188	0.0101679	0.0391345	0.420811	0.526065
ω	0.00236428	0.00167756	0.0075445	0.912084	0.07633
</S>	0.00647241	0.00411578	0.120275	0.400937	0.468199
