 	mais	c'	est	toi	qui	met	en	doute	tout	ce	que	dit	le	curé	</S>
o	0.270476	0.070133	0.0257198	0.0202172	0.0293086	0.0421625	0.0790468	0.136441	0.106157	0.044953	0.0731999	0.0224372	0.0242996	0.0126258	0.042823
k	0.0389726	0.0122489	0.00558349	0.0040775	0.0169171	0.0330147	0.047872	0.564682	0.0377298	0.045345	0.0249087	0.0501126	0.0340708	0.0738271	0.0106373
ú	0.00289593	0.00642066	0.00484308	0.00398405	0.00807157	0.0117062	0.00888391	0.315325	0.0862071	0.076991	0.0635448	0.0694158	0.0424074	0.263187	0.0361162
n	0.000699468	0.00225175	0.00191431	0.0018834	0.0168198	0.0253434	0.0228099	0.57258	0.0182245	0.0231509	0.00717413	0.0130023	0.017485	0.254953	0.0217084
y	0.0067162	0.00668226	0.00156797	0.00438744	0.0155771	0.018352	0.111512	0.61883	0.0851762	0.066678	0.0286781	0.00735705	0.0149574	0.00893894	0.00458966
u	0.0211097	0.00850642	0.00149999	0.00227519	0.008824	0.0116821	0.0510686	0.63073	0.0909782	0.0737187	0.0356421	0.00586388	0.0104534	0.0146813	0.0329663
p	0.0333211	0.0337831	0.0372003	0.0425362	0.0964815	0.0864564	0.203537	0.0755646	0.15816	0.119457	0.0546646	0.0314583	0.0206703	0.000477027	0.00623275
ώ	0.00881377	0.0143268	0.00514995	0.00818649	0.00615302	0.0126537	0.015157	0.0817613	0.462805	0.203084	0.132774	0.0215651	0.00724375	0.00118629	0.0191385
ω	0.00151937	0.00130574	0.00173545	0.00562803	0.00495412	0.0129432	0.0316671	0.0420547	0.411613	0.229081	0.144008	0.044653	0.00810847	0.00121075	0.0595183
é	0.000974887	0.00160217	0.00266012	0.00476942	0.0158368	0.0171981	0.0541035	0.0138107	0.262654	0.304912	0.169511	0.102529	0.0457553	0.000959611	0.00272318
t	0.000496757	0.00153177	0.0018625	0.00217641	0.00653564	0.0108808	0.0156127	0.00846003	0.0469452	0.0784446	0.214329	0.339558	0.257005	0.010707	0.00545409
s	0.000196925	0.00150418	0.00394816	0.00673377	0.0141601	0.037889	0.051164	0.110585	0.0701391	0.0922622	0.16831	0.188783	0.151074	0.0611685	0.0420814
ω	0.00227413	0.00399972	0.00536332	0.0138469	0.024479	0.0494963	0.11649	0.20279	0.112518	0.118212	0.133627	0.0733767	0.101948	0.0167592	0.0248196
y	0.000658973	0.00311484	0.00609482	0.0102154	0.0225207	0.0235459	0.0537822	0.0225314	0.185135	0.186935	0.273304	0.120344	0.0704209	0.00521136	0.0161842
é	0.00582831	0.00520322	0.00468633	0.0142155	0.018617	0.0145835	0.0493956	0.0811214	0.122683	0.322273	0.187226	0.0673551	0.0387743	0.0308095	0.0372286
é	0.00130225	0.00333396	0.0055748	0.012597	0.0123522	0.00660246	0.0149436	0.00363255	0.152345	0.160491	0.203994	0.253839	0.139303	0.00885075	0.0208378
s	0.000674349	0.00165245	0.00275827	0.00223487	0.00381879	0.00675137	0.00953367	0.00338308	0.0117046	0.0150484	0.0666518	0.330393	0.413984	0.0863566	0.0450539
ε	0.000864405	0.000882445	0.00152503	0.00149477	0.00397104	0.00120957	0.0072993	0.0144325	0.00967787	0.0575338	0.0589188	0.368444	0.290303	0.122952	0.0604917
r	0.000113085	0.000288843	0.00112976	0.00493341	0.0111043	0.00395688	0.0324146	0.0300003	0.0343948	0.0662027	0.0707715	0.238904	0.141457	0.141184	0.223145
έ	0.0015532	0.00182078	0.00304886	0.0156689	0.00964823	0.00972717	0.0357112	0.199686	0.121916	0.151617	0.170569	0.0751992	0.10385	0.029756	0.0702273
p	0.000482944	0.00131519	0.00197835	0.00458089	0.00492491	0.0050193	0.0201771	0.00465447	0.0768456	0.0835283	0.138042	0.290147	0.244791	0.030367	0.0931453
έ	0.00174886	0.00914326	0.00638228	0.00636998	0.00451341	0.0038124	0.0111448	0.00886132	0.165812	0.143214	0.289063	0.118422	0.089188	0.0756498	0.0666752
l	0.0001281	0.000574724	0.000744768	0.00119821	0.00163429	0.00295232	0.0100239	0.0059187	0.136779	0.0901196	0.154063	0.238032	0.066472	0.0829763	0.208384
ε	0.000276123	0.000722142	0.0014291	0.00293708	0.00210324	0.00387185	0.00871276	0.0379099	0.16681	0.0548313	0.121525	0.138517	0.124433	0.0627561	0.273166
m	0.000410666	0.001302	0.00228116	0.00299919	0.00331514	0.00318107	0.00867455	0.00176183	0.0376667	0.0394019	0.10781	0.195733	0.188818	0.0303547	0.37629
b	0.00153016	0.00750449	0.00494416	0.0044623	0.00675404	0.00386485	0.0203647	0.00113449	0.0710637	0.0502806	0.237642	0.139024	0.216674	0.0450702	0.189687
í	0.00140671	0.00240172	0.00248378	0.00515319	0.00559879	0.00938359	0.0495493	0.00990387	0.0439674	0.0552688	0.233283	0.0856386	0.144599	0.0590805	0.292281
n	0.000845168	0.00182472	0.00151475	0.00196536	0.00227162	0.00275567	0.0123736	0.00171619	0.083302	0.0615819	0.287828	0.11444	0.0597924	0.00925616	0.358532
ω	0.00568431	0.00279887	0.00166281	0.00688887	0.00226275	0.00180711	0.00461682	0.0152559	0.0277725	0.0620457	0.111187	0.197015	0.0473151	0.0240227	0.489665
</S>	6.65975e-05	0.000187206	0.000325006	0.000776079	0.000496292	0.000397178	0.00101069	0.000967487	0.0231848	0.0241191	0.0654481	0.178965	0.0640849	0.0163199	0.623652
