 	il	a	arrêté	le	voleur	</S>
w	0.818811	0.124993	0.0172497	0.0288653	0.00792179	0.00215893
a	0.561209	0.183761	0.00959374	0.128452	0.115585	0.00139947
á	0.11867	0.594805	0.194605	0.0701949	0.00321967	0.0185063
m	0.0392427	0.347938	0.434854	0.0872925	0.0338106	0.0568614
i	0.00892035	0.0816644	0.172167	0.151291	0.414997	0.17096
k	0.00433375	0.0410079	0.526903	0.205046	0.121239	0.10147
a	0.00126695	0.0220785	0.71464	0.119504	0.0361154	0.106395
n	0.00064892	0.0131181	0.564188	0.268454	0.120818	0.0327725
g	0.0181458	0.105461	0.573544	0.22278	0.0136899	0.0663799
á	0.182303	0.24596	0.184966	0.158221	0.0244047	0.204145
m	0.0115858	0.0321292	0.0201818	0.808388	0.0710019	0.0567129
ú	0.00120239	0.000822175	0.00107897	0.0443722	0.912017	0.0405072
b	0.000137741	0.000344637	0.00261091	0.064063	0.784774	0.14807
h	0.00625613	0.00706163	0.0310553	0.252738	0.34125	0.361639
u	0.00587639	0.00678346	0.0773574	0.618216	0.0985755	0.193191
</S>	0.000972435	0.00497256	0.0309029	0.207357	0.0154451	0.74035
