 	ngolo	et	obateme	se	sont	mariés	avec	deux	filles	de	la	même	famille	</S>
n	0.588663	0.330161	0.0468974	0.00679108	0.00682383	0.0111672	0.00648837	0.00127164	0.000691791	0.000295224	0.000318409	0.000305989	0.000104829	2.04812e-05
g	0.975042	0.0242143	0.000130071	0.00010405	0.000161995	0.000157364	0.000131439	3.08471e-05	4.03861e-06	3.31557e-06	4.85574e-06	6.05494e-06	7.98617e-06	1.62463e-06
o	0.973619	0.0170766	0.00251265	0.000974843	0.00116177	0.00216165	0.00156638	0.000298376	0.000301856	7.945e-05	0.000118565	2.37194e-05	9.78902e-05	7.6601e-06
l	0.947631	0.0307854	0.0122661	0.00100308	0.00147268	0.00163455	0.00189957	0.000412362	0.000826933	0.000403659	0.000307604	9.60793e-05	0.000322337	0.000938356
ó	0.76365	0.0714287	0.0691602	0.0121336	0.00762467	0.00623043	0.0134085	0.0112848	0.00592353	0.00642915	0.00646305	0.00362344	0.00090753	0.0217325
b	0.0535113	0.704722	0.0639976	0.0409352	0.0218364	0.00463699	0.0115475	0.0253991	0.00346792	0.00704501	0.00831005	0.0136621	0.00253755	0.0383912
á	0.0315041	0.131563	0.240797	0.113639	0.0758366	0.0281824	0.0624476	0.0531406	0.0266445	0.0524499	0.0605165	0.0573847	0.00796035	0.057933
a	0.016556	0.212782	0.303252	0.0455298	0.039791	0.0179018	0.0320215	0.0523866	0.0189224	0.0200984	0.0288533	0.0337455	0.0118698	0.16629
l	0.00881574	0.361928	0.438012	0.0934101	0.0415308	0.00577228	0.00488503	0.0134976	0.00709191	0.0018998	0.00355511	0.0046496	0.00173369	0.0132186
a	0.0147835	0.195194	0.247974	0.128166	0.136153	0.031241	0.0296973	0.0360869	0.0255751	0.0121774	0.0259617	0.0161962	0.00776176	0.0930332
o	0.0154189	0.200215	0.404038	0.151423	0.0489048	0.0300311	0.0249352	0.0195886	0.0139215	0.0108903	0.0159155	0.00758245	0.00655008	0.0505852
b	0.00247446	0.0980184	0.283207	0.347066	0.173098	0.0312496	0.00972946	0.0180684	0.011452	0.00222548	0.00481563	0.00242624	0.00216181	0.0140068
á	0.00315446	0.127659	0.266113	0.293777	0.117662	0.0629975	0.0252022	0.059613	0.012899	0.00676957	0.00984171	0.00307733	0.0048986	0.00633589
t	0.000584256	0.0359881	0.347373	0.199957	0.060629	0.0333337	0.0235859	0.040722	0.0162717	0.0186575	0.0258832	0.0156925	0.00517137	0.17615
έ	0.00157331	0.0216057	0.468968	0.208462	0.0383872	0.0489993	0.0255296	0.0107339	0.0466621	0.0250072	0.0315367	0.0121937	0.0133303	0.0470119
m	0.00127469	0.0353794	0.106179	0.189155	0.0909462	0.0627012	0.0507407	0.0340057	0.0252824	0.0420067	0.048517	0.046158	0.0240014	0.243653
ε	0.000105154	0.0362234	0.0403328	0.303049	0.190397	0.230912	0.115255	0.023628	0.00208482	0.0152487	0.0124007	0.00733575	0.000749031	0.0222789
á	0.000724969	0.0254176	0.00894167	0.231004	0.417401	0.16781	0.0613394	0.0441865	0.00861211	0.00778491	0.00687671	0.00547891	0.00284424	0.0115775
d	0.00138757	0.00724043	0.00934538	0.129663	0.615858	0.0697235	0.0222985	0.0367822	0.0347704	0.0069173	0.0092855	0.0157765	0.0125313	0.0284206
í	6.66711e-05	0.00250992	0.000620449	0.0928924	0.606998	0.0492551	0.0160891	0.0558502	0.0271652	0.0109852	0.0122001	0.0206375	0.0150449	0.0896855
a	0.000173187	0.00436192	0.00115622	0.0567005	0.32516	0.138249	0.104614	0.0909898	0.10141	0.0283414	0.0222454	0.0381674	0.0306636	0.0577673
m	0.000972738	0.00300824	0.00183868	0.0149809	0.179155	0.267591	0.194322	0.114854	0.153383	0.0197549	0.0186429	0.00830381	0.0181783	0.00501436
b	4.02819e-05	0.00323984	0.000165875	0.00698277	0.110785	0.411454	0.265274	0.126447	0.0125017	0.023701	0.0204719	0.00505747	0.00323199	0.0106483
a	2.52654e-05	0.00121971	0.000134557	0.00703957	0.121158	0.320853	0.396732	0.0828526	0.0209273	0.0175573	0.0183697	0.00181637	0.00247154	0.00884289
n	3.55973e-05	0.000983351	0.00129388	0.0208177	0.125898	0.325979	0.325038	0.111162	0.0187176	0.0179308	0.0171254	0.00300702	0.00136361	0.0306477
d	0.00143408	0.0072124	0.00246269	0.0216628	0.177735	0.32759	0.230011	0.0555237	0.0497159	0.0326398	0.0270266	0.00678529	0.00596199	0.0542378
a	0.000511354	0.0018588	0.00262735	0.0117112	0.0687054	0.448816	0.240675	0.0342004	0.0491037	0.0236543	0.0159498	0.00274217	0.00644057	0.093004
t	0.000163865	0.00127927	0.000354174	0.0145075	0.0943802	0.061302	0.310288	0.181562	0.140112	0.0797037	0.0537441	0.0271995	0.00930214	0.026101
s	0.0029365	0.00191203	0.00779176	0.0121614	0.0284835	0.165812	0.106995	0.038666	0.209226	0.176748	0.112186	0.0371384	0.0413953	0.058548
í	0.00062653	0.00087951	0.00419508	0.00763142	0.0288795	0.201479	0.119889	0.0618599	0.255983	0.109672	0.0826735	0.0214266	0.0264938	0.0783116
n	0.00169889	0.00318444	0.00227653	0.0117176	0.0447535	0.0751424	0.223884	0.186737	0.195283	0.0776669	0.0384372	0.0135125	0.011853	0.113853
a	0.00288154	0.00878196	0.00423772	0.00564786	0.0253417	0.226431	0.297716	0.0574946	0.0557758	0.0624189	0.0497348	0.0149641	0.025511	0.163063
b	0.000247565	0.00093958	0.00135657	0.0102831	0.0369286	0.0425724	0.152785	0.198525	0.131905	0.145786	0.124622	0.0671677	0.0164946	0.0703853
á	0.00062363	0.00307485	0.00187226	0.0164781	0.0288644	0.0380299	0.168476	0.159007	0.0607412	0.22185	0.154897	0.0788084	0.0179437	0.0493335
a	0.00116137	0.00524139	0.00096892	0.00350751	0.00720825	0.0405338	0.111135	0.150505	0.0978058	0.205986	0.182416	0.0472409	0.0692926	0.0769973
á	0.000214382	0.000788066	0.000720131	0.00602861	0.0233426	0.00566359	0.0294553	0.205164	0.211281	0.108203	0.136497	0.105387	0.0776241	0.0896312
b	0.000131669	0.00513749	0.0005154	0.016495	0.0943466	0.00824991	0.0268248	0.224328	0.134056	0.0598969	0.0982999	0.122051	0.160052	0.0496149
a	3.19649e-05	0.00109802	0.000372856	0.00817136	0.082091	0.0119356	0.0269801	0.298583	0.158496	0.0448517	0.083779	0.118997	0.0989576	0.0656546
n	1.77365e-05	0.000187502	0.00027002	0.0019525	0.0304682	0.0209888	0.0361941	0.163229	0.262061	0.0725153	0.109092	0.0443723	0.0723167	0.186334
d	5.85378e-05	0.000328685	0.000821149	0.00248211	0.014837	0.0305071	0.0487154	0.0787421	0.192365	0.122983	0.166605	0.11239	0.0868373	0.142328
á	7.75925e-05	0.000354768	0.0014325	0.00393301	0.0204523	0.0487454	0.048346	0.0471052	0.231855	0.152397	0.130993	0.0499942	0.0575888	0.206726
b	6.31418e-05	0.000345246	0.00056412	0.00189345	0.00403726	0.00799469	0.0479277	0.0325003	0.0380758	0.185292	0.219005	0.209894	0.124549	0.127858
á	0.000112734	0.00287543	0.000499122	0.00380045	0.0114821	0.0141575	0.0842793	0.249154	0.0290332	0.180225	0.147615	0.127765	0.101783	0.0472185
s	0.000380979	0.00285715	0.000379465	0.00229783	0.00631477	0.0197399	0.114346	0.128119	0.0184834	0.248869	0.195321	0.0939098	0.0918393	0.0771414
í	0.000194766	0.000487396	0.000309676	0.000503984	0.00318451	0.00947382	0.0187217	0.0284438	0.0183546	0.119392	0.2028	0.103382	0.150374	0.344378
e	9.77778e-05	0.000158535	0.00012288	0.000975312	0.00224715	0.00258264	0.0108061	0.0178101	0.018375	0.0851126	0.131182	0.190173	0.203983	0.336374
b	0.000116288	0.000799548	0.000602652	0.00260914	0.0102739	0.00332551	0.00451793	0.0149423	0.0638646	0.0350411	0.0897879	0.152081	0.381817	0.240221
é	3.24868e-05	0.00149165	0.000341907	0.00632905	0.023931	0.00887896	0.0258596	0.129988	0.07023	0.0713707	0.137227	0.208704	0.25294	0.0626756
e	7.29132e-05	0.000283317	0.000377494	0.00100016	0.00576665	0.00991681	0.0149151	0.0498502	0.061343	0.0764402	0.122091	0.0880272	0.287634	0.282282
é	3.27486e-05	0.000276755	0.000162891	0.00146246	0.00622626	0.00285663	0.00464721	0.00722629	0.0353385	0.0412332	0.0918658	0.172916	0.311355	0.3244
b	6.57275e-05	0.00200368	0.000364575	0.0106889	0.0628839	0.00398054	0.00961873	0.0385429	0.045176	0.0278786	0.0591753	0.208364	0.285618	0.245639
h	7.34846e-05	0.00202267	0.000447697	0.00637397	0.0392267	0.00882394	0.0191263	0.0826124	0.0868839	0.0348283	0.0843416	0.135784	0.413	0.0864544
ω	5.40958e-05	0.000491545	0.000265418	0.00195045	0.0151106	0.00991053	0.0178978	0.0570344	0.206983	0.0981663	0.154399	0.0860862	0.218535	0.133117
ώ	3.44918e-05	6.6913e-05	6.9871e-05	0.000302264	0.00524093	0.0104843	0.0126961	0.0116711	0.168416	0.0668963	0.108207	0.0537079	0.230829	0.331378
</S>	0.000122772	0.00149683	0.000203073	0.00299735	0.010705	0.00308255	0.0138422	0.0153604	0.0599567	0.0578181	0.11354	0.222116	0.232811	0.265949
