 	des	sangliers	pataugent	au	bord	du	marais	</S>
a	0.969793	0.0179109	0.0023575	0.00570194	0.000472566	0.0034714	0.000271346	2.15788e-05
t	0.417367	0.562341	0.0108581	0.00414946	0.00122062	0.00292463	0.000536223	0.000602941
s	0.0345017	0.876815	0.056025	0.00814416	0.00982528	0.00246211	0.00861721	0.00360908
o	0.0326916	0.834712	0.0821635	0.0343297	0.00719041	0.00129088	0.00193803	0.00568368
m	0.168758	0.71419	0.0166101	0.0546743	0.010412	0.0149811	0.00846253	0.0119116
b	0.403993	0.280603	0.214296	0.0495713	0.00487327	0.00974837	0.00446674	0.0324484
o	0.371114	0.465464	0.0921824	0.0298937	0.0053986	0.00213666	0.00351952	0.0302911
b	0.485352	0.126342	0.0770045	0.23184	0.0398572	0.0166227	0.00147433	0.0215073
á	0.228528	0.039164	0.0941101	0.375725	0.0989132	0.0496609	0.0128785	0.10102
a	0.239414	0.0156096	0.295128	0.333246	0.0456449	0.0254885	0.00715028	0.0383196
p	0.0343749	0.072928	0.240926	0.32517	0.228468	0.0263414	0.0104398	0.0613517
f	0.000423638	0.0528546	0.582482	0.0631065	0.245726	0.0123627	0.0136433	0.0294016
ú	0.00122903	0.0200989	0.836682	0.0280831	0.102219	0.00431173	0.0021314	0.00524553
b	0.0213783	0.0137792	0.810252	0.110868	0.0279532	0.00960798	0.00255362	0.0036075
h	0.00896621	0.00632297	0.479022	0.222187	0.185246	0.0510787	0.0113359	0.0358408
á	0.00384701	0.00344819	0.515929	0.166318	0.10919	0.096018	0.00727511	0.0979751
m	0.00587027	0.00109422	0.0205037	0.447564	0.263127	0.210342	0.0239709	0.027528
ó	0.00211434	0.000481132	0.0419918	0.068647	0.334498	0.140324	0.139233	0.272711
k	0.0108256	0.00172226	0.00309948	0.0735294	0.127762	0.133834	0.632244	0.0169824
á	0.00041384	0.000790621	0.0132696	0.0379022	0.594613	0.0458313	0.288079	0.0191007
e	0.000374468	0.000392025	0.023862	0.0386741	0.422068	0.0799991	0.341233	0.0933969
m	0.000134733	0.000154093	0.00139337	0.0226897	0.134421	0.389481	0.310747	0.140978
á	0.00142098	0.000437308	0.0103103	0.0581235	0.19292	0.156951	0.332065	0.247772
d	0.00158241	0.000283011	0.00244038	0.0187619	0.0379638	0.078212	0.555469	0.305287
z	0.000636147	0.00148522	0.000545668	0.00151117	0.00255488	0.0160907	0.891059	0.0861173
á	0.000411864	0.001179	0.00353967	0.00172597	0.00946037	0.0284467	0.901318	0.0539181
n	2.5934e-05	0.000172297	0.00681071	0.00441153	0.0291339	0.0539041	0.632395	0.273146
g	0.000271132	0.00705873	0.0151539	0.0249132	0.0531018	0.15775	0.535383	0.206368
á	0.000180719	0.00519295	0.00134501	0.00659356	0.00746453	0.0258033	0.55057	0.40285
</S>	0.00229309	0.00178466	0.00207569	0.04024	0.0200516	0.155255	0.233372	0.544927
