 	les	fosses	que	nous	avons	creusées	hier	sont	remblayées	</S>
a	0.851977	0.117262	0.00799458	0.0151714	0.0055514	0.000840487	6.61904e-05	0.000274407	0.000722912	0.000139207
b	0.302211	0.629652	0.00612673	0.0125483	0.00615809	0.0164376	0.00156128	0.00357257	0.0201999	0.00153286
é	0.176027	0.660983	0.0130764	0.119776	0.0138497	0.00922069	0.0014966	0.000859074	0.00170877	0.00300246
á	0.0559583	0.327675	0.0299109	0.212318	0.0143668	0.0713039	0.0114865	0.0132913	0.0490179	0.214671
m	0.0888945	0.190371	0.414419	0.0509692	0.0647629	0.0237269	0.00604927	0.034433	0.00586955	0.120505
á	0.0991762	0.294997	0.378331	0.0193544	0.0968892	0.0409047	0.00749712	0.0139411	0.00039006	0.048519
á	0.128206	0.055262	0.296989	0.218115	0.152553	0.0571346	0.0247402	0.0128979	0.0075305	0.0465723
t	0.0153972	0.0439296	0.195016	0.15299	0.157386	0.301775	0.023295	0.032819	0.0181878	0.0592046
í	0.00109743	0.0134359	0.0901888	0.0222134	0.0513938	0.680123	0.0959987	0.0147024	0.00595179	0.0248945
m	0.00202241	0.0207464	0.151362	0.115834	0.111473	0.398302	0.0232868	0.0210277	0.022746	0.133201
í	0.0295102	0.0175237	0.360157	0.111492	0.379197	0.0795087	0.0125101	0.00318905	0.000652295	0.00625994
b	0.0130752	0.00970325	0.314046	0.229222	0.222384	0.115173	0.0372807	0.010178	0.0045346	0.0444037
í	0.00326291	0.00507172	0.0390953	0.622344	0.0952919	0.185607	0.0293927	0.00453724	0.00585425	0.00954264
s	0.00380766	0.00156126	0.0457563	0.826088	0.0612553	0.0355348	0.00850034	0.00184115	0.00661543	0.00903928
í	0.00414082	0.00209377	0.0838105	0.226272	0.39765	0.176915	0.020893	0.0206623	0.00521498	0.0623475
l	0.00259943	0.00221662	0.0625147	0.200821	0.112853	0.301536	0.126801	0.0578652	0.0604589	0.0723345
a	0.00249116	0.0042546	0.0200951	0.0393421	0.0591247	0.128638	0.167698	0.152437	0.0109565	0.414963
p	0.00343554	0.00198843	0.019187	0.0185424	0.0647199	0.234144	0.565117	0.0356435	0.0146837	0.0425384
ó	0.000352819	0.000801349	0.00363831	0.00500286	0.0116263	0.388349	0.569633	0.00611544	0.0066845	0.00779644
a	0.000278417	0.000718462	0.0203441	0.0145715	0.0204636	0.385932	0.435801	0.0292755	0.0229139	0.0697018
á	0.000818629	0.000357237	0.0118382	0.00439904	0.022791	0.0267492	0.265994	0.394884	0.140263	0.131906
b	0.00339343	0.00315601	0.0114714	0.00624693	0.0148366	0.0268543	0.15488	0.505442	0.19294	0.0807788
h	0.000737968	0.000615622	0.00178582	0.021918	0.00243424	0.0116194	0.0521409	0.14355	0.623216	0.141982
i	0.00178473	0.000945896	0.0101936	0.0155643	0.0144221	0.0404456	0.107342	0.166558	0.424787	0.217956
a	0.00126141	0.000173259	0.00758005	0.00814741	0.00907912	0.00593403	0.0431957	0.210678	0.349669	0.364282
k	0.00231197	0.00185486	0.010238	0.00743124	0.00737803	0.00494706	0.0297577	0.274943	0.484539	0.176599
í	0.000168738	0.00048976	0.000561363	0.0014216	0.000609185	0.00368322	0.0307556	0.0500941	0.854419	0.0577974
í	0.00235289	0.000560007	0.00200358	0.00464867	0.00303447	0.00721801	0.0320029	0.040815	0.759135	0.14823
s	0.000239832	8.89681e-05	0.00437438	0.000797555	0.00351811	0.00312014	0.0432252	0.164789	0.561805	0.218042
á	0.000766797	0.000157594	0.00146136	0.00108202	0.00187555	0.00344142	0.0532317	0.252972	0.351531	0.333481
k	0.00252719	0.000290494	0.012184	0.00629838	0.0073759	0.00148726	0.0109939	0.143423	0.507514	0.307906
i	0.000295499	0.000244927	0.00140115	0.0138558	0.0014493	0.0019067	0.00661405	0.0422476	0.766502	0.165483
i	0.00131024	0.0011628	0.00554553	0.0117887	0.00126255	0.00242814	0.0124054	0.0261173	0.416073	0.521906
s	0.000947163	0.000353817	0.0059477	0.000721991	0.0050883	0.00336507	0.0317767	0.117872	0.548931	0.284995
a	0.000451802	0.000197193	0.00160484	0.00145149	0.00192985	0.00313911	0.0186992	0.167863	0.31991	0.484754
</S>	0.00231328	0.000212971	0.01118	0.00376152	0.00399786	0.000469446	0.00343415	0.163741	0.17153	0.63936
