 	le	piquet	fourchu	est	planté	dans	le	sol	</S>
i	0.414691	0.553667	0.0121373	0.0122744	0.00157064	0.0033555	0.00189274	0.000251306	0.000160211
k	0.154411	0.730386	0.0440762	0.0260789	0.0220586	0.0112086	0.00986905	0.000740327	0.0011713
í	0.0413899	0.894529	0.0426495	0.01079	0.0038247	0.00120826	0.00201982	0.00245366	0.00113492
í	0.0226767	0.733255	0.200342	0.0164924	0.00411954	0.00219994	0.00242381	0.00336068	0.0151295
d	0.0629837	0.084273	0.612967	0.163781	0.0176961	0.00514439	0.00279275	0.00013827	0.0502234
í	0.0101499	0.0147317	0.314256	0.148191	0.0700665	0.0257923	0.0140594	0.00247566	0.400278
p	0.0120299	0.0177529	0.370068	0.241247	0.134209	0.0521548	0.019572	0.00358871	0.149377
a	0.00357264	0.015859	0.213838	0.191225	0.270807	0.0546845	0.0492715	0.149177	0.0515658
s	0.0020602	0.0137408	0.211832	0.123885	0.236335	0.113596	0.0513948	0.120271	0.126886
á	0.00839578	0.011363	0.019109	0.0669288	0.161592	0.399396	0.184191	0.0653127	0.0837112
t	0.00308253	0.00217423	0.00879553	0.0108	0.017325	0.0996243	0.170082	0.60323	0.084887
s	0.00161617	0.00401357	0.00883499	0.00642944	0.00986264	0.0175092	0.0606878	0.861388	0.0296577
ε	0.000927742	0.000428847	0.0013746	0.00561318	0.0213002	0.0987589	0.0617241	0.799787	0.0100852
n	0.000647874	0.000603032	0.0036785	0.0120829	0.0256391	0.0720741	0.189796	0.485535	0.209943
g	0.000436065	0.000324853	0.000151325	0.00226117	0.0170658	0.114843	0.341272	0.33113	0.192515
ε	0.000549925	5.67712e-05	0.000120594	0.000898037	0.00300192	0.00968478	0.0389009	0.896094	0.0506927
</S>	0.00382448	0.00214027	0.00242097	0.00750033	0.00839052	0.120047	0.25873	0.0647165	0.53223
