 	c'	est	un	garçon	plein	d'	astuce	</S>
a	0.443282	0.155575	0.276782	0.110343	0.00433411	0.00717911	0.000369412	0.00213476
d	0.218351	0.569343	0.101419	0.0297589	0.00434337	0.0124821	0.0603589	0.00394415
í	0.147122	0.620863	0.149753	0.0340102	0.00788288	0.00454037	0.0132163	0.0226122
i	0.0374906	0.303556	0.354723	0.0965339	0.00987328	0.0245171	0.0236274	0.149678
b	0.00956027	0.106734	0.236836	0.316036	0.199929	0.0281837	0.015695	0.0870264
a	0.0012065	0.0270168	0.0635641	0.397233	0.452183	0.0235099	0.00264601	0.0326408
a	0.00492059	0.0467349	0.0838775	0.390518	0.284685	0.0279681	0.00466862	0.156627
i	0.0231946	0.0426702	0.227057	0.101415	0.0824342	0.411584	0.00599783	0.105646
p	0.00490331	0.0219791	0.0271856	0.0202213	0.56727	0.256328	0.0303278	0.0717846
ω	0.00134819	0.018645	0.0267069	0.0111091	0.619702	0.173512	0.0961259	0.0528511
ώ	0.00533	0.0169794	0.158352	0.0421508	0.355626	0.300756	0.0436226	0.0771829
a	0.0171056	0.011968	0.0380966	0.0167748	0.0136051	0.750851	0.0915861	0.0600132
y	0.0055871	0.026099	0.0231771	0.0134869	0.0124064	0.275605	0.517635	0.126003
έ	0.0132696	0.0278993	0.0262098	0.00229338	0.00467693	0.0556548	0.740628	0.129368
l	0.000376859	0.00154769	0.00905881	0.00345415	0.0025467	0.0303151	0.640918	0.311783
i	0.00601373	0.00849217	0.0319186	0.00936485	0.0428704	0.348875	0.421882	0.130583
w	0.00273336	0.00244955	0.00908004	0.00731568	0.00442699	0.10339	0.485072	0.385532
a	0.0247891	0.0167791	0.0504379	0.0622393	0.0334191	0.382621	0.327923	0.101792
m	0.00314183	0.00130727	0.00395902	0.00324379	0.00192864	0.0706466	0.648415	0.267358
έ	0.00853526	0.0111962	0.0197556	0.0136971	0.003188	0.180385	0.363717	0.399525
n	0.00401397	0.00808328	0.0229445	0.0089161	0.00405687	0.104935	0.479319	0.367732
d	0.00164	0.00439086	0.032349	0.00988385	0.0060438	0.014175	0.144751	0.786766
e	0.00241659	0.00167098	0.00934701	0.00128557	0.00484568	0.00603881	0.172959	0.801436
</S>	8.84696e-05	0.000456822	0.00195522	0.000331353	0.00314122	0.019554	0.187009	0.787464
