 	j'	ai	vu	un	fantôme	hier	dans	la	nuit	</S>
n	0.860248	0.112297	0.00985843	0.00763349	0.0004577	0.000565325	0.000916446	0.00314313	0.00480514	7.49988e-05
g	0.781379	0.1673	0.00286412	0.0134053	0.0110249	4.80303e-05	0.0114087	0.0118377	0.00055733	0.000173948
á	0.790578	0.134066	0.0145176	0.00995826	0.0395654	0.00026979	0.00281979	0.00598559	0.00193446	0.00030515
í	0.0305166	0.13126	0.159916	0.0945857	0.0258879	0.0211988	0.0194336	0.0450261	0.059836	0.412339
t	0.00595776	0.213548	0.627138	0.0527584	0.0677705	0.0130644	0.00345548	0.0026603	0.0011742	0.0124729
έ	0.000172655	0.0266483	0.834978	0.0487132	0.00992527	0.0543122	0.00233157	0.00189931	0.00717947	0.0138397
i	0.00531312	0.05023	0.197095	0.401269	0.0421912	0.169641	0.0710521	0.0388197	0.0102877	0.0141018
e	0.0249225	0.0718004	0.0762294	0.461806	0.136858	0.0599694	0.0976401	0.0417885	0.00471445	0.0242716
s	0.000382218	0.00710032	0.0358346	0.136555	0.353263	0.333663	0.0576995	0.020876	0.0150248	0.0396016
i	0.000366005	0.00123429	0.00199563	0.0457354	0.755256	0.146365	0.0354892	0.00610589	0.00361262	0.00384006
s	0.000719893	0.00311821	0.00953305	0.0723516	0.522123	0.245157	0.083333	0.0279183	0.0111756	0.0245709
i	0.000510919	0.000978893	0.017023	0.126557	0.173563	0.416395	0.112282	0.0440806	0.0402424	0.068368
i	0.000201313	0.00158795	0.00200267	0.0640108	0.0864011	0.110952	0.43774	0.221467	0.0210086	0.0546287
l	5.03255e-05	0.000956153	0.00415809	0.0336112	0.0239984	0.355009	0.162529	0.116618	0.155798	0.147272
o	0.000266761	0.0019159	0.00492054	0.0201033	0.0480944	0.195093	0.114048	0.0970681	0.406195	0.112294
k	2.97908e-05	0.000198424	0.00132649	0.00876732	0.0120299	0.201866	0.0420047	0.0693484	0.644454	0.0199756
ω	5.51294e-05	0.000580723	0.00121114	0.00754394	0.000875048	0.0820869	0.0469601	0.107276	0.614941	0.13847
ω	3.24096e-05	0.00021361	0.00288397	0.00670663	0.000695731	0.0982874	0.0520998	0.0992503	0.655082	0.0847481
</S>	0.000109054	0.000796187	0.000553318	0.014271	0.00417087	0.00372793	0.31067	0.307109	0.050581	0.308012
