 	les	gens	du	village	sont	accourus	en	foule	pour	le	voir	</S>
b	0.337404	0.454167	0.147392	0.0293646	0.0208087	0.00119952	0.00328253	0.0022299	0.00234637	0.00171142	7.22299e-05	2.17529e-05
a	0.0615276	0.90846	0.0247635	0.000751544	0.00207997	5.51956e-05	0.00037675	0.000471273	0.000704254	0.00051718	0.000185597	0.000107398
r	0.0224412	0.932873	0.0282411	0.00440334	0.00658011	0.00035044	0.00103245	0.00216982	0.0012102	0.000218144	0.000114842	0.000365665
e	0.338365	0.479905	0.131613	0.0072084	0.00555458	0.0100564	0.00314313	0.00261149	0.00502549	0.00106064	0.000887696	0.0145688
á	0.254647	0.137493	0.503976	0.0182279	0.0531452	0.000990773	0.00656453	0.00559833	0.00535802	0.00375388	0.00148999	0.00875589
p	0.0179234	0.00534697	0.183721	0.144764	0.248396	0.286731	0.0191826	0.0196563	0.0313322	0.0188456	0.00684924	0.0172523
o	0.00414245	0.00869541	0.0443332	0.511166	0.0777664	0.144226	0.0507422	0.0185967	0.0622089	0.0335283	0.0142346	0.0303594
o	0.00660197	0.00302995	0.0744246	0.724839	0.06434	0.0671122	0.0191857	0.00307398	0.013789	0.00567569	0.00150863	0.0164197
á	0.0101511	0.00441906	0.103295	0.0387168	0.449657	0.0762169	0.206396	0.0318807	0.0340684	0.0202029	0.0041155	0.0208808
b	0.00281924	0.00244412	0.0157252	0.0025983	0.115737	0.619823	0.140863	0.0433828	0.0279615	0.0190608	0.00501527	0.00457063
e	0.00107722	0.00423516	0.0326298	0.00412257	0.0892886	0.226948	0.246468	0.153772	0.154124	0.0577012	0.0124784	0.0171552
n	0.00196283	0.00149943	0.0165702	0.0090789	0.0442445	0.554489	0.13052	0.123848	0.0558525	0.0146327	0.00962994	0.0376722
i	0.00803025	0.00315875	0.0584704	0.0706799	0.127271	0.270461	0.216191	0.143577	0.0457697	0.0145346	0.00758724	0.0342692
i	0.00625253	0.0042563	0.0476683	0.00258048	0.17298	0.0141117	0.404539	0.217243	0.0712403	0.044125	0.00489111	0.0101121
a	0.00903264	0.00439148	0.00541759	0.00272897	0.00904492	0.0365439	0.226892	0.228125	0.289468	0.106644	0.0482111	0.0334999
y	0.0063981	0.00229738	0.00268768	0.002495	0.00271684	0.0117494	0.209994	0.198215	0.348028	0.126054	0.0780205	0.0113434
í	0.00239227	0.000281825	0.0014696	0.00113242	0.00308	0.087634	0.1923	0.17017	0.182446	0.186689	0.114518	0.0578864
í	0.00287383	0.000549545	0.00233641	0.00155418	0.00492969	0.0255711	0.119265	0.210503	0.116898	0.0990497	0.104001	0.312469
m	0.000448925	0.000282091	0.0042821	0.000262604	0.0103954	0.00427286	0.0732136	0.26731	0.283009	0.280249	0.041133	0.0351413
i	0.00897198	0.00195277	0.00373797	0.000382503	0.00128767	0.000404977	0.108465	0.085641	0.271528	0.212075	0.10645	0.199103
t	0.00244055	0.00130558	0.00292395	0.000725358	0.00105289	0.000827986	0.0389269	0.0512835	0.359516	0.287041	0.206522	0.0474346
á	0.00209668	0.0030216	0.00505275	0.0299937	0.0028076	0.000434774	0.0791694	0.134522	0.246021	0.204581	0.244001	0.0482977
a	0.00299874	0.00295918	0.0130464	0.0202328	0.00516986	0.000285921	0.0426667	0.249074	0.119676	0.1185	0.278123	0.147267
l	0.000285738	0.000208721	0.00126069	0.000356522	0.00124887	0.000259568	0.0211541	0.0720746	0.165772	0.317685	0.309885	0.109808
á	0.00324845	0.000802932	0.00454198	0.000233297	0.00203328	0.00112632	0.0199387	0.0276594	0.139597	0.170838	0.42133	0.208651
w	0.00494746	0.00488157	0.021903	0.00230731	0.0108362	0.000379385	0.0198399	0.0366919	0.0648476	0.199028	0.565252	0.0690853
a	0.00391686	0.00525533	0.0144821	0.00439479	0.00897184	0.000896783	0.0350456	0.165842	0.156782	0.252224	0.280804	0.0713842
</S>	0.000303471	0.000146199	0.00157765	0.000740742	0.00051057	7.513e-05	0.0126561	0.0194827	0.08659	0.170736	0.439282	0.267899
