 	tourne-toi	comme	ça	pour	que	je	me	change	</S>
k	0.351497	0.238724	0.210446	0.13388	0.0407236	0.0164038	0.00367025	0.00404945	0.000606085
a	0.895195	0.0462011	0.0314996	0.0148952	0.00630234	0.00190174	0.00108748	0.00208162	0.000836381
l	0.93351	0.0241139	0.0113183	0.0058047	0.00560235	0.00471453	0.00324035	0.00801956	0.00367651
á	0.813556	0.095146	0.0368223	0.0197151	0.0113001	0.00520432	0.00599046	0.00301451	0.00925176
á	0.0560132	0.839831	0.0575974	0.0121949	0.00914571	0.00271897	0.0124632	0.000838141	0.00919767
b	0.00963994	0.548101	0.21912	0.0620192	0.0291814	0.0305114	0.0703868	0.0105628	0.0204776
ó	0.00314006	0.315553	0.299171	0.252479	0.0766022	0.0114886	0.00318642	0.00797668	0.0304034
n	0.00549379	0.295219	0.193109	0.169632	0.117487	0.101766	0.0245369	0.0359533	0.0568032
g	0.0145008	0.310829	0.245459	0.202387	0.0931133	0.0357244	0.0187243	0.0226987	0.0565633
á	0.0251129	0.284457	0.174868	0.190641	0.154908	0.115714	0.0116855	0.0086668	0.0339471
l	0.00156145	0.140618	0.303985	0.156512	0.208317	0.0620566	0.0965033	0.0126736	0.0177718
í	0.00392768	0.0838823	0.226361	0.115668	0.145615	0.097051	0.137035	0.0192073	0.171253
i	0.00606881	0.0490915	0.178501	0.152243	0.224049	0.177285	0.0474522	0.106844	0.0584653
l	0.00926504	0.0320054	0.161803	0.141554	0.0715044	0.0712976	0.0212742	0.446085	0.0452107
á	0.00406078	0.0102616	0.0827977	0.0566123	0.0320698	0.018766	0.0118342	0.695648	0.0879491
r	0.00229291	0.00782909	0.0405304	0.0470497	0.0566414	0.0611997	0.0404327	0.632262	0.111762
á	0.0140577	0.01718	0.117032	0.157363	0.183963	0.265493	0.0471211	0.143918	0.0538716
i	0.000910724	0.0108478	0.0637029	0.0893988	0.180842	0.200814	0.1885	0.199911	0.0650729
k	0.000840865	0.00354216	0.0208529	0.0220537	0.0338022	0.0855469	0.106955	0.660615	0.0657915
á	0.00544486	0.00638802	0.031547	0.0213326	0.0122049	0.00880331	0.00514827	0.861792	0.0473387
n	0.000328673	0.00251768	0.00364514	0.00627153	0.00433645	0.00517266	0.00228459	0.938396	0.0370473
d	0.000696011	0.000866822	0.0146634	0.0147369	0.0196224	0.0158883	0.0333732	0.774706	0.125447
á	0.0052871	0.00560819	0.0304321	0.0316009	0.0519877	0.0817089	0.0844098	0.577325	0.131641
</S>	0.00088343	0.00404953	0.014998	0.0116096	0.0148028	0.0219175	0.287288	0.249985	0.394466
