 	il	s'	intéresse	à	la	pêche	</S>
w	0.697759	0.119111	0.0756596	0.0736213	0.0330533	0.000672032	0.000124266
a	0.780186	0.0725009	0.0221528	0.0658186	0.0531867	0.00605487	9.9955e-05
l	0.0608081	0.534927	0.29109	0.0593568	0.0246586	0.0030543	0.0261052
á	0.105519	0.295343	0.218026	0.0711216	0.127185	0.0111824	0.171623
a	0.147505	0.143297	0.317192	0.217364	0.0933627	0.0339073	0.0473711
d	0.0128704	0.420961	0.424295	0.08714	0.0130501	0.019351	0.0223323
i	0.0011061	0.213998	0.679265	0.0714469	0.0061083	0.00709013	0.0209861
n	0.0161563	0.221363	0.566896	0.112058	0.0242871	0.0128932	0.046347
g	0.0161766	0.252306	0.370582	0.172952	0.0833753	0.00322157	0.101386
á	0.072949	0.0530058	0.14752	0.29318	0.240431	0.083514	0.1094
i	0.00817415	0.00714744	0.0534958	0.255644	0.579081	0.0809147	0.0155427
l	0.00203459	0.00328442	0.0197948	0.091405	0.0599221	0.805843	0.0177162
ώ	0.000458155	0.00776469	0.0258579	0.0519678	0.0886417	0.791712	0.0335974
b	5.77951e-05	0.0013564	0.0137689	0.0178619	0.0329294	0.912199	0.0218264
h	0.016554	0.0328936	0.025588	0.158791	0.126844	0.377411	0.261918
ω	0.00827719	0.0137826	0.0683457	0.202249	0.157811	0.439243	0.110292
</S>	0.0025056	0.00610984	0.020941	0.0754962	0.299847	0.0503719	0.544728
