 	parmi	vous	quatre	quel	est	celui	qui	s'	est	disputé	avec	ma	femme	</S>
s	0.822472	0.0942145	0.0420098	0.0130424	0.00569956	0.00256187	0.00217198	0.00332617	0.00475394	0.00589152	0.00231896	0.00146046	4.38489e-05	3.28348e-05
á	0.252527	0.0184519	0.0843253	0.0625454	0.0385093	0.0306805	0.0528119	0.0462655	0.0907422	0.0664441	0.0827023	0.119595	0.0462256	0.00817422
b	0.227088	0.21076	0.352789	0.0810225	0.0141063	0.00768007	0.0215829	0.0174912	0.0217221	0.00212784	0.007374	0.0242015	0.0112665	0.000788017
í	0.120176	0.411225	0.173246	0.057301	0.0125854	0.00324056	0.00883545	0.01957	0.0404533	0.0233172	0.046106	0.00745697	0.0659931	0.0104944
n	0.0483872	0.701915	0.0980303	0.0415763	0.0095269	0.00311076	0.00465105	0.00789111	0.00386356	0.00389309	0.00652949	0.00849726	0.0166926	0.0454355
í	0.324861	0.18202	0.0605004	0.0989665	0.00896006	0.00512055	0.0208049	0.0294395	0.0314814	0.00343078	0.0346165	0.0751272	0.0133042	0.111367
á	0.0266666	0.0569489	0.179995	0.19333	0.0979637	0.0638233	0.086496	0.153337	0.0687171	0.00865605	0.0185202	0.0156324	0.00781107	0.0221027
n	0.00410825	0.00706666	0.04405	0.167784	0.110284	0.0744065	0.0692748	0.211342	0.173723	0.0681453	0.0217127	0.00549403	0.00285647	0.0397525
a	0.00292499	0.0479854	0.478056	0.153623	0.0342249	0.0179842	0.0384709	0.0443041	0.0398205	0.0143652	0.036895	0.0157486	0.0167802	0.058817
a	0.00284566	0.00481366	0.0269481	0.0580759	0.0870552	0.0590237	0.110624	0.217704	0.270079	0.0693258	0.0358268	0.00856809	0.0130439	0.0360661
o	0.00239863	0.0152324	0.0589973	0.103432	0.147939	0.117635	0.165066	0.166353	0.128259	0.0536402	0.015391	0.00610654	0.00552471	0.0140238
k	0.000159888	0.000190453	0.00559247	0.0116792	0.0527142	0.0583089	0.0930357	0.204652	0.330684	0.212045	0.0191742	0.00106912	0.00456546	0.00612932
a	8.64541e-05	1.01156e-05	6.87062e-05	0.00220645	0.0126076	0.0108907	0.00524265	0.0228703	0.0836216	0.821405	0.0299061	6.71464e-05	7.81887e-05	0.0109392
b	3.74662e-05	5.4921e-05	0.000251484	0.00460005	0.01667	0.0243459	0.0186429	0.0597979	0.073504	0.760377	0.0137652	0.000232815	0.00012063	0.0275998
h	0.000941353	0.000743339	0.000394667	0.0162311	0.0392907	0.0388369	0.0340421	0.0644784	0.0926037	0.571844	0.0916725	0.00520318	0.000283194	0.0434343
i	0.0153822	0.00177623	0.00198297	0.0376626	0.0253084	0.0230005	0.0217753	0.0471885	0.0763029	0.455091	0.0570101	0.00665601	0.000957538	0.229906
r	0.000673685	0.000212729	0.000569416	0.0174987	0.0275195	0.0584202	0.082614	0.158291	0.22535	0.227215	0.141961	0.00759681	0.000422971	0.0516554
i	0.0043463	0.00360106	0.00316571	0.0355198	0.0122977	0.0193723	0.0885191	0.108617	0.141295	0.0751364	0.136956	0.0452368	0.00537861	0.320558
l	0.000870487	0.0014191	0.00278263	0.0209408	0.0256537	0.0572301	0.181528	0.219828	0.128489	0.01192	0.178064	0.111556	0.0227576	0.0369599
a	0.0165613	0.00715867	0.00378982	0.0148825	0.0208983	0.0221786	0.0676186	0.0959001	0.14531	0.00787367	0.268819	0.108481	0.0161061	0.204423
m	0.0024709	0.00332699	0.00310811	0.00709877	0.00660225	0.00949812	0.0756025	0.0403192	0.0462991	0.00061828	0.146828	0.577427	0.0684426	0.0123581
w	0.00029805	0.000386294	0.00304411	0.00243314	0.00531859	0.00371888	0.0123125	0.0123433	0.0167481	0.0011627	0.0352455	0.0358246	0.857364	0.0138008
á	0.000460464	0.00219114	0.00304001	0.00105378	0.00121204	0.00102526	0.00348549	0.00531759	0.00597918	0.0060888	0.0212455	0.00738472	0.929518	0.0119981
s	0.00983413	0.0153713	0.00732004	0.00913951	0.00845872	0.00872778	0.0328997	0.0501473	0.0473068	0.011742	0.0562351	0.649997	0.0727825	0.0200381
í	0.0202398	0.00644847	0.0146859	0.0313031	0.0062259	0.00730275	0.0670746	0.0766846	0.0851984	0.00239642	0.0712629	0.103123	0.199515	0.308539
y	0.00224537	0.000989144	0.00112488	0.0115572	0.0106399	0.0178597	0.0823623	0.0741507	0.0458621	0.00300908	0.177155	0.323018	0.0676981	0.182328
a	0.0103459	0.00110647	0.0064099	0.0179793	0.0169963	0.0275069	0.131241	0.067966	0.0641879	0.000847652	0.132766	0.329522	0.121142	0.0719823
n	0.00316381	0.000798445	0.00203147	0.00577957	0.00585698	0.00789781	0.0554312	0.0241335	0.0305918	0.000296656	0.124116	0.597665	0.0618055	0.0804329
g	0.000822651	0.00369458	0.00296942	0.00297721	0.00119289	0.00166143	0.0216217	0.0189709	0.0223617	0.00133679	0.11069	0.299919	0.0977515	0.41403
á	0.000156384	0.00132673	0.00147175	0.00301043	0.000712307	0.00119538	0.0131708	0.0110287	0.0119144	0.00103362	0.0468213	0.0682309	0.0377939	0.802133
á	0.000514658	0.000651181	0.00191739	0.00659424	0.00772618	0.00984401	0.0369097	0.0478307	0.0308487	0.00221137	0.116649	0.108644	0.0663737	0.563285
d	0.000558334	0.000234752	0.00120756	0.00536319	0.0111372	0.0123024	0.0114206	0.0268408	0.0267925	0.00552277	0.0419358	0.0262516	0.0199498	0.810483
z	0.000207313	8.96398e-05	0.00108107	0.000541195	0.00151225	0.00234768	0.00500914	0.0103982	0.0114956	0.00256832	0.0284367	0.0097597	0.0184841	0.908069
e	0.000800077	0.000421173	0.00412481	0.00524428	0.00704246	0.00881893	0.0660373	0.0560052	0.120385	0.00145378	0.167769	0.115954	0.0344958	0.411449
n	0.00156685	0.0036062	0.00194848	0.00324468	0.00457181	0.0110586	0.0403468	0.0359582	0.0194784	0.00426038	0.0648594	0.182869	0.022352	0.603879
d	0.000806388	0.00350406	0.00131202	0.0012407	0.000391636	0.000579217	0.00716963	0.0055862	0.0060004	0.000111593	0.024548	0.0438997	0.0495036	0.855347
a	0.000365498	0.00642719	0.00458851	0.00157427	0.000405121	0.000469894	0.00355805	0.00217661	0.00189121	0.00017573	0.015343	0.160587	0.0596827	0.742755
</S>	3.87771e-05	1.22928e-05	6.32157e-05	0.000279859	0.000531692	0.000601493	0.00283152	0.0033597	0.00624516	0.000192066	0.0746179	0.0142088	0.00559551	0.891422
