 	son	bonheur	était	d'	avoir	tous	ses	enfants	autour	d'	elle	</S>
ω	0.694463	0.227226	0.00918352	0.0346731	0.00887764	0.00435267	0.0118299	0.00561159	0.0011426	0.00227723	0.000298044	6.53202e-05
b	0.0306506	0.790664	0.107686	0.00963409	0.0118783	0.00936365	0.00405329	0.0070638	0.0143399	0.00220802	0.00388842	0.00856977
v	0.0174208	0.884309	0.0131177	0.00920774	0.0165404	0.00426528	0.0109294	0.0162661	0.0131189	0.0036445	0.00913841	0.00204154
έ	0.0192575	0.599689	0.021673	0.0207946	0.0151558	0.00437893	0.0488797	0.238958	0.0125919	0.0125864	0.00436642	0.00166849
l	0.402009	0.0958373	0.0339912	0.0427995	0.0179149	0.024318	0.032867	0.0204341	0.0129978	0.0109814	0.011924	0.293926
a	0.238251	0.117393	0.0617108	0.0537591	0.0481781	0.0775502	0.0681774	0.00888192	0.0253932	0.0447052	0.025356	0.230644
w	0.494084	0.0219104	0.128356	0.133472	0.0364918	0.0211006	0.0272963	0.00858918	0.00442223	0.0171242	0.0264302	0.0807231
a	0.38352	0.0564474	0.0450801	0.0640835	0.0364439	0.0400216	0.0697608	0.019618	0.0228217	0.0674465	0.0772031	0.117554
á	0.0951172	0.0421018	0.258266	0.217617	0.0803178	0.0573051	0.0560013	0.013795	0.0107716	0.0362665	0.0178909	0.11455
d	0.00172597	0.0216476	0.347069	0.0923621	0.246255	0.149996	0.0525065	0.0113758	0.0223553	0.00879229	0.0040073	0.0419079
z	0.000389483	0.00234932	0.61686	0.0831298	0.124716	0.0692608	0.0176286	0.000729042	0.00337092	0.00261287	0.00270433	0.0762494
a	0.0104374	0.000748414	0.788988	0.104558	0.0524269	0.0314155	0.00366832	6.52581e-05	0.00108708	0.000636971	0.0016129	0.00435547
i	0.0148852	0.00419361	0.064314	0.17836	0.288929	0.186508	0.127772	0.0392303	0.0103451	0.0187899	0.00874456	0.0579293
t	0.00260956	0.0107766	0.035086	0.120344	0.339795	0.194476	0.0649991	0.0558949	0.0613227	0.00896123	0.0142268	0.0915086
á	0.000316322	0.00254866	0.0192276	0.0589604	0.337533	0.324147	0.0801716	0.0296393	0.0740389	0.00770163	0.0176992	0.0480162
a	0.000937032	0.00259087	0.010596	0.0316126	0.249714	0.258911	0.146629	0.069374	0.0381951	0.010529	0.0248865	0.156025
l	0.00361396	0.00151866	0.00222982	0.0701965	0.116517	0.276387	0.304483	0.0917329	0.0421917	0.0539421	0.016418	0.02077
á	0.00230063	0.004562	0.00897252	0.0342311	0.129218	0.15525	0.154237	0.0563628	0.0885495	0.040726	0.0809271	0.244663
b	0.010059	0.00127559	0.00521357	0.0250954	0.0374741	0.101914	0.215636	0.217464	0.157383	0.130501	0.0766084	0.0213764
á	0.0035084	0.00133465	0.00177926	0.00809346	0.0179342	0.0202643	0.128256	0.753496	0.0311126	0.00960209	0.0232938	0.00132557
n	0.00540947	0.000509167	0.000827466	0.0101699	0.0150605	0.0181963	0.215799	0.620081	0.0302817	0.0275136	0.0438255	0.0123257
a	0.0128187	0.00254901	0.00249795	0.0163692	0.0108754	0.0167813	0.153226	0.585255	0.0141046	0.0353578	0.0437495	0.106415
b	0.00052197	0.00171515	0.00759305	0.0430537	0.0864177	0.0983091	0.268787	0.222955	0.107602	0.130492	0.0182747	0.0142779
á	0.00312482	0.00162787	0.00220251	0.0101969	0.02162	0.037169	0.233937	0.285736	0.0826904	0.113379	0.140285	0.0680314
a	0.00292596	0.00109464	0.000870715	0.00614296	0.00922955	0.0321139	0.117448	0.0856489	0.115464	0.2748	0.18667	0.16759
b	0.000408609	0.00505955	0.0200668	0.00630225	0.0265234	0.0474578	0.0455322	0.0193651	0.52282	0.154005	0.0383561	0.114104
h	0.000143765	0.00572313	0.00177934	0.00508492	0.0142244	0.0229259	0.115564	0.138902	0.510762	0.0714459	0.0623888	0.0510563
í	6.57649e-05	0.000706422	0.00181204	0.00278922	0.00975125	0.0196663	0.135172	0.251738	0.477746	0.0242587	0.0180803	0.0582137
n	0.000393272	0.000304616	0.000580582	0.00233765	0.00456985	0.0310319	0.0476907	0.040133	0.573179	0.0368755	0.011083	0.251821
g	0.00127305	0.000895543	0.00191279	0.00942518	0.0111513	0.043633	0.0900899	0.0356146	0.289077	0.106171	0.117866	0.292891
á	0.00789163	0.00380393	0.00358012	0.0297755	0.0192635	0.0381791	0.0881664	0.122309	0.185718	0.0765176	0.106956	0.317839
w	0.00350481	0.00060323	0.00281312	0.0159168	0.00717073	0.0127631	0.0212502	0.00417328	0.0279667	0.323704	0.390976	0.189158
a	0.00400859	0.00105198	0.00134277	0.0109859	0.00878335	0.0189645	0.0784096	0.0274926	0.0350534	0.303051	0.422313	0.0885429
</S>	0.000492045	0.000225159	0.000547207	0.00133489	0.00185505	0.00276571	0.00663543	0.00164137	0.020002	0.182055	0.226254	0.556192
