 	le	poisson	fumé	que	tu	m'	as	donné	est	déjà	rongé	par	les	insectes	</S>
o	0.577055	0.311741	0.0070821	0.0372976	0.0105157	0.0106476	0.0107169	0.0123574	0.00725543	0.00456805	0.00304333	0.00369742	0.00339113	0.000317795	0.000313451
k	0.0950224	0.184153	0.025816	0.0176772	0.00659458	0.0064793	0.0129114	0.13436	0.148838	0.153058	0.169496	0.026674	0.0079156	0.00585961	0.00514578
á	0.0262024	0.0180222	0.00765963	0.0155457	0.00110853	0.001633	0.00130824	0.185316	0.0842618	0.0735873	0.519042	0.0356446	0.0111092	0.012544	0.00701554
l	0.00697721	0.0635123	0.0107036	0.0266758	0.00321102	0.00453181	0.00404894	0.270161	0.111321	0.0914449	0.319982	0.0484981	0.0179327	0.00964104	0.0113582
ú	0.422908	0.0701478	0.00385707	0.0767973	0.027127	0.0469228	0.0381753	0.135737	0.0634598	0.0274612	0.0174752	0.0312983	0.0197189	0.00272537	0.0161887
m	0.221621	0.153692	0.0185732	0.0981527	0.0198474	0.0158271	0.0495382	0.12901	0.0792857	0.0497154	0.025596	0.0463328	0.0384137	0.00733551	0.0470597
ó	0.393976	0.0516003	0.115348	0.202937	0.0312843	0.025758	0.0206087	0.0147798	0.0187473	0.0174422	0.00165399	0.01324	0.0398459	0.0226935	0.0300853
ó	0.151996	0.0428795	0.190382	0.187824	0.0775445	0.0758018	0.0515617	0.0874445	0.0344876	0.0212514	0.0152062	0.0165053	0.0136641	0.0046143	0.0288364
p	0.017254	0.0139256	0.159786	0.0651868	0.0120465	0.016284	0.0227484	0.323599	0.225662	0.092581	0.0154628	0.0143836	0.00534268	0.00466909	0.0110689
έ	0.00202209	0.00173191	0.0131323	0.0138607	0.00294317	0.0013768	0.00572738	0.436463	0.228443	0.127397	0.0994126	0.0247323	0.00493233	0.00314215	0.0346832
n	0.0118157	0.0071332	0.0170214	0.0992872	0.0638104	0.0200048	0.0971911	0.201982	0.0950915	0.0751106	0.05745	0.0618801	0.0310159	0.00866575	0.152541
ω	0.0114434	0.002081	0.00601988	0.0903121	0.248599	0.107127	0.140099	0.14539	0.0457542	0.0360388	0.0213125	0.0482366	0.0590077	0.0100867	0.0284922
n	0.00989541	0.00237027	0.0319059	0.158842	0.232846	0.255186	0.123557	0.0687426	0.039879	0.025012	0.0120977	0.00879264	0.0166057	0.00428719	0.00998052
g	0.0140369	0.00197482	0.0443032	0.112896	0.211219	0.19367	0.109464	0.0944637	0.07097	0.0439441	0.0345593	0.0288179	0.0140058	0.00659306	0.0190825
á	0.00201051	0.000162669	0.0230584	0.0251559	0.303018	0.39266	0.159934	0.0216045	0.0349767	0.0169859	0.00292887	0.00689782	0.00272567	0.00145169	0.00642938
n	0.00545042	0.00194292	0.00638108	0.0420203	0.0517128	0.115911	0.18603	0.0970747	0.150556	0.148751	0.109188	0.0369409	0.0274612	0.0147645	0.00581447
g	0.0172337	0.00258459	0.0796805	0.0352272	0.0685642	0.290114	0.0854	0.0842762	0.118905	0.0752347	0.0347712	0.0410529	0.00846245	0.00779675	0.050696
w	0.00125957	0.000427333	0.0404715	0.0330747	0.221985	0.231797	0.127756	0.0352123	0.120632	0.0840947	0.0221488	0.0318161	0.00605927	0.00957855	0.0336873
o	0.00112384	0.000649204	0.00421491	0.00915602	0.0126793	0.0112101	0.0335264	0.0924796	0.120438	0.12582	0.225304	0.162436	0.0362342	0.0162456	0.148483
o	0.00112792	0.0011735	0.00890123	0.018237	0.0100537	0.0100041	0.0126206	0.0969333	0.140554	0.220785	0.30706	0.0998573	0.0359062	0.0065496	0.0302363
n	0.00201109	0.00129061	0.0121947	0.00659932	0.00267063	0.00351343	0.00995887	0.0670211	0.189406	0.395903	0.130559	0.120126	0.0381969	0.00280043	0.017749
y	0.027058	0.00323866	0.0440671	0.0158293	0.0242671	0.0511288	0.0967037	0.0493454	0.193462	0.246915	0.0692315	0.101957	0.0127342	0.00246003	0.0616022
i	0.00390535	0.000832005	0.0181702	0.0100318	0.07432	0.115869	0.126318	0.0272362	0.0820979	0.120749	0.247953	0.113394	0.022826	0.0108937	0.0254038
é	8.29075e-05	0.000102263	0.00255009	0.00419202	0.0131238	0.0104951	0.0152598	0.0666969	0.113361	0.200236	0.157885	0.341963	0.0405023	0.00270615	0.0308451
m	0.0128415	0.0013867	0.0089519	0.00544394	0.00406075	0.00975253	0.00938978	0.0433225	0.101527	0.166016	0.0895071	0.231099	0.158717	0.0200447	0.13794
i	0.0350165	0.019367	0.0611066	0.0121762	0.000903374	0.00328934	0.00276591	0.00637292	0.0340937	0.069229	0.0303388	0.0735888	0.182822	0.168993	0.299937
d	0.000764425	0.00104418	0.00847043	0.00457114	0.00119378	0.00216409	0.00462578	0.0092287	0.0405021	0.0750758	0.0406184	0.183237	0.306819	0.0644868	0.257199
z	0.000650518	0.00142291	0.0614566	0.00334786	0.000321262	0.00155267	0.000577628	0.00178475	0.0168647	0.039312	0.0546987	0.161198	0.0801552	0.215867	0.360791
á	0.00121984	0.00434846	0.226268	0.00699631	0.00232884	0.00716454	0.00829682	0.00291613	0.0263863	0.0420931	0.0995999	0.135696	0.0538917	0.236276	0.146518
m	0.0104974	0.00593516	0.021475	0.0100658	0.00258124	0.00825772	0.00285095	0.00321585	0.0118413	0.0208437	0.0673067	0.088309	0.180652	0.25785	0.308318
