 	ton	ami-là	va	nous	chercher	des	problèmes	dans	ce	quartier	</S>
o	0.908108	0.0497228	0.00868393	0.0197477	0.00525298	0.00363663	0.000486683	0.00178839	0.00189885	0.000567242	0.000106397
b	0.187282	0.68342	0.0446486	0.0147696	0.0208151	0.0063158	0.00339585	0.00547867	0.00785368	0.0146394	0.0113814
i	0.0454341	0.884959	0.0111123	0.0340422	0.00383625	0.00311472	0.00593594	0.00434997	0.00194482	0.00325923	0.00201108
a	0.0202322	0.726291	0.0443774	0.0641261	0.0225866	0.0100852	0.018029	0.0095764	0.00939486	0.0229972	0.0523037
y	0.728292	0.0586705	0.0433241	0.0216893	0.0206462	0.0251607	0.0153444	0.0264363	0.0161983	0.00264956	0.0415883
a	0.682047	0.0155797	0.0715909	0.00479218	0.0472109	0.0239324	0.00557707	0.0182459	0.0178808	0.0299221	0.0832214
n	0.969919	0.00271545	0.00612465	0.00222123	0.00361489	0.00273478	0.000401887	0.00199386	0.00191827	0.00337276	0.00498284
ω	0.896575	0.0152646	0.0163794	0.0254437	0.00860694	0.00778659	0.00107814	0.00491488	0.00308297	0.010555	0.0103123
w	0.0697346	0.0666939	0.453338	0.0724018	0.0629174	0.0806916	0.0145028	0.038392	0.0187797	0.017682	0.104866
ó	0.260281	0.042132	0.177947	0.0298225	0.0500228	0.101371	0.0328938	0.068532	0.0464855	0.00500836	0.185504
l	0.257235	0.0339873	0.387383	0.0217807	0.0338571	0.0503126	0.0203238	0.0492857	0.0350091	0.0128714	0.0979544
á	0.0505414	0.0139094	0.0775033	0.0259229	0.0468723	0.0568864	0.0333017	0.058116	0.0290056	0.0313069	0.576634
a	0.468726	0.0244212	0.166843	0.073308	0.0542556	0.0287464	0.0247642	0.026932	0.0237812	0.0103462	0.0978762
s	0.0216477	0.0592434	0.772156	0.0413818	0.0549803	0.00547535	0.0218313	0.00407562	0.00588726	0.00389353	0.00942821
i	0.0185886	0.0226336	0.765016	0.0624627	0.0724751	0.00426359	0.0039552	0.00456933	0.00680165	0.0091067	0.030127
á	0.0886636	0.017252	0.609542	0.104321	0.11319	0.00951922	0.00669536	0.0097004	0.00765036	0.00380388	0.0296619
o	0.0393074	0.00332808	0.328003	0.253925	0.284948	0.0417046	0.0114591	0.0112688	0.00901597	0.00741423	0.00962596
s	0.00728111	0.0116703	0.22296	0.251466	0.446678	0.0262813	0.018178	0.00366999	0.00250679	0.00346982	0.0058391
á	0.00511218	0.00164126	0.300084	0.114429	0.512222	0.00948171	0.0100666	0.0043638	0.00468049	0.0149022	0.0230167
á	0.00444588	0.00038625	0.135709	0.112141	0.269382	0.0304676	0.0234675	0.0227007	0.0191821	0.0795831	0.302535
b	0.0158976	0.000576239	0.0393426	0.1189	0.480139	0.256362	0.0334742	0.0239765	0.0160346	0.0104706	0.00482644
í	0.00388649	0.00314894	0.0102181	0.891851	0.0313228	0.0199102	0.0286017	0.00475331	0.00305319	0.00146545	0.0017887
s	0.0163705	0.00262604	0.00448598	0.934594	0.00979782	0.0178019	0.00771136	0.00255319	0.00185461	0.00062017	0.00158449
í	0.00844376	0.000604635	0.0226947	0.348779	0.177479	0.166875	0.0310718	0.0522527	0.0193177	0.0318825	0.140599
p	0.00105919	0.0011095	0.0248827	0.197106	0.183158	0.265076	0.234756	0.0382285	0.019785	0.00590691	0.028932
ώ	0.00078102	7.29367e-05	0.0116458	0.00601321	0.193521	0.105295	0.626118	0.0152039	0.01564	0.00944699	0.0162619
ω	0.000266548	0.00054957	0.00952392	0.0227497	0.146347	0.184034	0.4536	0.0529966	0.0396729	0.0139084	0.0763516
s	0.00171742	9.7879e-05	0.0049153	0.00646068	0.0529116	0.25122	0.191609	0.288731	0.15431	0.022449	0.0255787
é	0.00135283	0.000309907	0.0211483	0.0174951	0.147033	0.110256	0.126882	0.133855	0.0890325	0.143712	0.208923
k	0.00230258	0.000164544	0.00665398	0.0122801	0.0581231	0.123219	0.0871214	0.302578	0.188381	0.156417	0.0627595
y	0.000328671	0.000256862	0.00878512	0.0552118	0.0531306	0.059446	0.618681	0.0554583	0.0686413	0.0408513	0.0392086
é	0.000257284	0.000330857	0.0047744	0.021033	0.0606003	0.0528844	0.404601	0.0978615	0.142752	0.151874	0.063032
n	0.000923443	0.000571364	0.00975411	0.0290768	0.0823134	0.0585546	0.274127	0.0823778	0.130401	0.141493	0.190408
á	0.00133015	0.000616151	0.0073477	0.0128591	0.0322609	0.0636969	0.135252	0.137919	0.199464	0.130675	0.278578
á	0.00487842	0.000153821	0.00802542	0.00443805	0.0300356	0.051326	0.103735	0.252813	0.285307	0.069933	0.189356
y	0.00204065	0.000591696	0.0104501	0.0155855	0.0206909	0.0216463	0.0105958	0.133902	0.198261	0.45424	0.131996
é	0.000313215	3.08062e-05	0.00662765	0.00195441	0.0123345	0.012472	0.0129147	0.0870595	0.134729	0.490767	0.240797
</S>	0.000213016	3.67048e-05	0.000941306	0.0022509	0.00412459	0.00985863	0.0091318	0.0901844	0.101101	0.387647	0.39451
