 	je	suis	déjà	fatigué	</S>
n	0.935583	0.0570867	0.00324507	0.00364168	0.000443465
g	0.990302	0.00935299	0.000227859	2.92335e-05	8.78538e-05
á	0.93403	0.0628988	0.00235039	0.000360782	0.000360454
í	0.374464	0.479055	0.0742704	0.0123981	0.0598132
m	0.0916281	0.446001	0.392734	0.00455218	0.0650844
i	0.00304635	0.228294	0.736347	0.0045617	0.0277501
s	0.00167768	0.227327	0.725772	0.0299634	0.0152599
á	0.00068981	0.182831	0.795426	0.0104101	0.0106431
á	0.00670235	0.0646355	0.259765	0.0227903	0.646107
o	0.0198735	0.133415	0.297558	0.407403	0.141751
k	0.00044827	0.0110228	0.0883851	0.869509	0.0306351
ώ	1.30229e-05	0.00128405	0.0050137	0.975719	0.0179703
b	2.64709e-05	0.00502166	0.0061659	0.951226	0.0375604
h	0.0164551	0.148456	0.247342	0.216426	0.371321
ω	0.00092586	0.0148531	0.0310341	0.838332	0.114855
</S>	0.000237483	0.00256821	0.00397113	0.237469	0.755754
