 	sa	manière	de	conduire	la	voiture	est	mauvaise	</S>
e	0.239041	0.492288	0.169298	0.0412693	0.043265	0.00596837	0.00571672	0.000769955	0.00238404
d	0.00363578	0.0021565	0.0305983	0.938644	0.0141005	0.00860254	0.000516007	0.00109903	0.00064733
ú	0.0219795	0.00891195	0.013967	0.894366	0.028606	0.024242	0.000249848	0.00125953	0.00641755
ú	0.0369715	0.020424	0.231533	0.613434	0.0645787	0.00810976	0.00671284	0.00771999	0.0105164
l	0.209061	0.0978903	0.171887	0.172998	0.120481	0.0215453	0.0503517	0.0153044	0.140482
ú	0.317454	0.0326639	0.0631674	0.0942888	0.0624961	0.0214628	0.0401851	0.0516318	0.31665
y	0.189212	0.147351	0.225839	0.146372	0.11594	0.0621855	0.0266952	0.00577417	0.0806304
á	0.389888	0.130547	0.120447	0.157572	0.0240356	0.0361411	0.0262493	0.00565244	0.109467
w	0.0967551	0.0901437	0.289091	0.290434	0.0873128	0.052128	0.0387864	0.00639785	0.0489513
a	0.0312387	0.0282615	0.206728	0.375991	0.0503188	0.125489	0.0720616	0.0156179	0.094294
y	0.0209203	0.0336639	0.496762	0.164854	0.0894286	0.0906582	0.0428398	0.00372102	0.057153
ó	0.250986	0.0501874	0.120477	0.283481	0.0748013	0.184549	0.0171098	0.00500504	0.0134031
t	0.0406168	0.0227128	0.377108	0.11507	0.210795	0.132492	0.0473457	0.00848781	0.0453712
ω	0.00359838	0.00332731	0.0622189	0.125674	0.103978	0.648411	0.0252499	0.00433033	0.0232124
m	0.000657135	0.000709385	0.0435525	0.068144	0.163262	0.649531	0.042576	0.00502418	0.0265444
b	0.0226921	0.00377215	0.00878353	0.0282824	0.0445272	0.764444	0.100461	0.00566677	0.0213713
í	0.0110877	0.00217802	0.0220381	0.0431433	0.100887	0.651219	0.0974522	0.0272136	0.0447811
l	0.0135171	0.011771	0.175035	0.0190858	0.206155	0.204088	0.3103	0.00933785	0.0507098
i	0.0208031	0.0155831	0.161295	0.0457174	0.366064	0.160807	0.0781278	0.01945	0.132153
é	0.0129977	0.00861981	0.194914	0.0164882	0.150526	0.0255323	0.434109	0.0461525	0.110661
d	0.00709171	0.00404301	0.232051	0.0456546	0.158027	0.0140982	0.290442	0.169201	0.0793921
i	0.0066169	0.00063411	0.0261967	0.00918061	0.0243025	0.00133845	0.0637726	0.21153	0.656428
e	0.01588	0.0015192	0.07689	0.0252961	0.0957263	0.0149062	0.253019	0.329271	0.187493
b	0.0049743	0.00143845	0.0223148	0.0217226	0.0243761	0.0121638	0.0617918	0.341701	0.509517
é	0.00113876	0.000991692	0.0273007	0.0258791	0.0882083	0.0376522	0.0781743	0.58539	0.155265
</S>	0.000229355	0.000185868	0.00413012	0.0147328	0.0142129	0.0143195	0.046463	0.173809	0.731918
