 	nous	venons	de	désherber	le	cimetière	</S>
b	0.972737	0.021651	0.00174289	0.000112744	0.00343679	0.000108481	0.000211497
í	0.986062	0.00648638	0.000915431	5.40801e-05	0.00637016	2.66664e-05	8.49264e-05
s	0.99794	0.00140547	0.000169197	7.76927e-06	0.000199011	0.00018503	9.38103e-05
í	0.986027	0.00496574	0.00352649	0.000274534	0.00346743	0.000624055	0.00111497
l	0.0986533	0.490891	0.0478605	0.0281638	0.00767997	0.0142054	0.312547
é	0.0138048	0.401916	0.219202	0.0553909	0.042874	0.0188068	0.248006
w	0.00346943	0.657587	0.273362	0.0351136	0.00952142	0.00494179	0.0160047
ú	0.00587703	0.575462	0.181964	0.214181	0.00428922	0.00895142	0.00927572
r	0.06707	0.316443	0.415421	0.156388	0.0259174	0.00605572	0.0127055
u	0.0103223	0.354488	0.43144	0.0815831	0.10857	0.00477731	0.00881931
o	0.0465945	0.0499276	0.538848	0.0737637	0.256431	0.0156034	0.0188326
w	0.000844866	0.0122656	0.180015	0.76383	0.0160972	0.024677	0.00227054
o	0.00184262	0.0320137	0.121213	0.809887	0.00400338	0.00500399	0.0260362
á	0.000214076	0.0397083	0.161451	0.7516	0.00392107	0.00765325	0.0354522
e	0.000654977	0.00444617	0.0824453	0.0440914	0.70202	0.140345	0.0259977
y	0.00362995	0.00355165	0.0384665	0.280424	0.0468263	0.55846	0.0686412
á	0.000584853	0.00516685	0.0507232	0.366411	0.118286	0.364031	0.094796
n	0.00424362	0.00102343	0.00859674	0.0754817	0.0893819	0.75522	0.0660528
d	0.00235069	0.00142179	0.0258265	0.0339959	0.241077	0.629401	0.0659277
á	8.58201e-05	0.000724297	0.0107487	0.0232282	0.0227193	0.756834	0.185659
</S>	0.000551202	0.00139961	0.0171757	0.00876564	0.227481	0.351039	0.393588
