 	c'	est	un	garçon	plein	d'	astuce	</S>
a	0.47385	0.122668	0.204371	0.178419	0.00763017	0.0104258	0.00216263	0.000473274
d	0.156158	0.511535	0.140586	0.0701735	0.0814422	0.0164519	0.0194202	0.00423314
í	0.0878397	0.594972	0.265226	0.0189753	0.0140797	0.00155745	0.00358678	0.0137632
i	0.0253983	0.32447	0.37596	0.054769	0.0149055	0.0118496	0.0269893	0.165658
b	0.038639	0.0770747	0.257941	0.38275	0.066485	0.039187	0.016262	0.121662
a	0.00331459	0.030961	0.0682746	0.295306	0.333054	0.0529551	0.101103	0.115032
a	0.0159049	0.063485	0.107464	0.455803	0.158646	0.0243816	0.0250291	0.149287
i	0.0176556	0.045255	0.172884	0.0782848	0.179091	0.414304	0.0227509	0.0697747
p	0.00281607	0.0256768	0.0248048	0.0226577	0.61292	0.158333	0.076265	0.0765266
ω	0.000436931	0.0122437	0.0140742	0.00662088	0.828292	0.074061	0.0474755	0.0167956
ώ	0.00481257	0.0298851	0.106787	0.0285384	0.366863	0.320699	0.104955	0.0374601
o	0.00928133	0.00857926	0.0384677	0.0191591	0.0248512	0.680582	0.155123	0.0639563
b	0.00234516	0.0207899	0.0221241	0.00513246	0.0359626	0.110965	0.680905	0.121775
h	0.00316227	0.0290152	0.0253769	0.00525691	0.0612815	0.102651	0.719638	0.0536178
ó	0.000972957	0.00651329	0.00978592	0.0178628	0.0758435	0.084046	0.733096	0.0718796
m	0.00142318	0.00690853	0.0308827	0.0428794	0.0982126	0.211779	0.323651	0.284263
í	0.00448607	0.00398191	0.00908889	0.0470757	0.00590422	0.104039	0.617698	0.207726
w	0.00276257	0.00247282	0.0103463	0.0145989	0.0139869	0.130253	0.237013	0.588566
a	0.00350645	0.00728276	0.0103621	0.00872019	0.0595663	0.224265	0.489229	0.197069
m	0.000801245	0.00120742	0.00519836	0.00127937	0.0180239	0.102416	0.299052	0.572022
έ	0.0222342	0.0373987	0.0347671	0.0189366	0.00645791	0.458133	0.195277	0.226796
n	0.0059944	0.0147208	0.0199563	0.00387858	0.00809053	0.250497	0.269553	0.427309
d	0.00199874	0.00231631	0.0141769	0.00287244	0.00334345	0.00816899	0.0404524	0.926671
e	0.00791445	0.00255778	0.00536703	0.00122653	0.00762769	0.010827	0.0354107	0.929069
</S>	0.000240228	0.000495869	0.00157425	0.000323324	0.00829792	0.0313902	0.131692	0.825986
