 	je	n'	ai	pas	pu	faire	autrement	que	d'	y	aller	</S>
n	0.515455	0.109679	0.0239377	0.0922455	0.12399	0.0792016	0.0141455	0.0156486	0.0156806	0.00960269	0.000251891	0.000161793
g	0.985254	0.00209236	0.00291071	0.00275873	0.00107331	0.000546101	0.00438112	0.000511802	0.000257966	0.00015821	5.22165e-05	3.76013e-06
á	0.9685	0.00995365	0.00893479	0.00563241	0.00241651	0.000583822	0.00268891	0.000466271	0.000435628	9.18817e-05	0.000288724	7.82957e-06
í	0.0582005	0.190518	0.22502	0.156807	0.0659543	0.0199005	0.0112748	0.0390837	0.0519497	0.0282956	0.0228513	0.130145
d	0.0308021	0.452852	0.113535	0.128315	0.197057	0.0234944	0.0103204	0.00855075	0.0115514	0.00524634	0.00567621	0.0125989
z	0.0144983	0.372848	0.265219	0.107579	0.0569084	0.0143269	0.00988801	0.016591	0.0187124	0.00343493	0.011679	0.108315
e	0.121098	0.157679	0.105091	0.185596	0.266097	0.044869	0.00789115	0.0278416	0.0370152	0.00190083	0.0237506	0.0211721
o	0.0153736	0.0585713	0.28088	0.365171	0.117065	0.0596545	0.0205707	0.0192623	0.012132	0.0197083	0.00302153	0.0285906
b	0.000566666	0.0248791	0.0373966	0.103804	0.721249	0.0624905	0.0196491	0.00572709	0.00497321	0.00176119	0.00673574	0.0107685
h	0.000384369	0.0499463	0.0443752	0.102123	0.572493	0.0923248	0.0550015	0.0247148	0.0164224	0.00328399	0.012732	0.0261983
e	0.000666028	0.0338806	0.0171373	0.0693732	0.639042	0.0825636	0.092303	0.0177576	0.0130069	0.00217331	0.0108557	0.0212411
r	0.00399977	0.0336298	0.0684637	0.199796	0.339983	0.185744	0.0838498	0.0305381	0.0157706	0.0197569	0.00351356	0.014954
á	0.00291316	0.00518439	0.00771872	0.0492519	0.312767	0.195001	0.232107	0.073573	0.0483312	0.00772954	0.00947904	0.0559436
ω	0.00182834	0.0101961	0.0555755	0.154039	0.175973	0.385726	0.1208	0.0482112	0.0243002	0.0115974	0.00131188	0.0104427
k	0.000243503	0.00778429	0.0103853	0.0170912	0.0801161	0.508376	0.259742	0.0651389	0.0234863	0.00986632	0.0121771	0.00559262
y	1.27068e-05	0.00457773	0.0046486	0.0224305	0.107404	0.500073	0.197115	0.068274	0.038749	0.0151183	0.0196513	0.0219461
a	2.66027e-05	0.0056217	0.00701051	0.0407671	0.16168	0.386152	0.212199	0.0728552	0.0427296	0.00883808	0.0136687	0.0484507
n	3.89666e-05	0.00165874	0.0061022	0.0229149	0.080975	0.364092	0.22278	0.114058	0.0595072	0.0247501	0.00511575	0.0980066
d	0.000296922	0.00285619	0.00979882	0.0235878	0.112848	0.267505	0.21649	0.134869	0.0714239	0.0138646	0.00785499	0.138605
