 	le	manche	est	mis	</S>
p	0.670937	0.306631	0.0204801	0.0015444	0.000407216
á	0.056066	0.9335	0.00569418	0.00422455	0.000515294
n	0.0234125	0.953804	0.00355877	0.00124733	0.0179776
d	0.366694	0.618697	0.00363374	0.00457368	0.00640149
e	0.452499	0.498333	0.00663392	0.00501508	0.0375192
é	0.24462	0.245523	0.374128	0.0514704	0.0842591
b	0.0851365	0.070113	0.66815	0.0381753	0.138425
h	0.0296766	0.0196713	0.268762	0.381472	0.300419
i	0.0475368	0.0304206	0.179291	0.436556	0.306196
e	0.0491189	0.0520812	0.195784	0.328016	0.375
k	0.0170204	0.0126939	0.142022	0.4915	0.336763
a	0.00608695	0.0112398	0.070617	0.701038	0.211019
n	0.00468929	0.0138158	0.0215693	0.611512	0.348413
á	0.0331697	0.0444218	0.08857	0.42652	0.407318
k	0.0482133	0.0263273	0.122917	0.373279	0.429264
a	0.0112542	0.0343855	0.0558885	0.732373	0.166099
n	0.00212964	0.0145716	0.0129942	0.408191	0.562113
a	0.00794518	0.0363196	0.0410905	0.532931	0.381713
</S>	0.025378	0.0187037	0.110002	0.0806354	0.765281
