 	ils	se	sont	associés	pour	la	paie	</S>
b	0.859696	0.0901438	0.0306772	0.00618896	0.00379153	0.00413184	0.00505644	0.000314248
á	0.728663	0.0618052	0.0760118	0.0751624	0.0298595	0.0176025	0.00988715	0.00100881
a	0.844483	0.0897036	0.0490968	0.0105072	0.00394197	0.00133541	0.000478995	0.000452972
á	0.0772669	0.270018	0.549897	0.0342621	0.0232096	0.0106435	0.00236908	0.0323334
b	0.00559903	0.0459694	0.220777	0.463979	0.195003	0.0391382	0.0177648	0.0117708
ω	0.0193768	0.0698071	0.152659	0.524745	0.153986	0.0360969	0.0110978	0.0322316
n	0.0246258	0.104324	0.0931967	0.446238	0.203776	0.0489518	0.0639811	0.0149057
g	0.0207563	0.0986223	0.162784	0.262529	0.27084	0.124443	0.0263187	0.0337064
i	0.0694279	0.148594	0.125078	0.325865	0.183546	0.126679	0.0102098	0.0106013
e	0.027886	0.131109	0.126711	0.0772434	0.214071	0.288712	0.0708551	0.0634123
k	0.00176118	0.00531279	0.00901589	0.0388539	0.177383	0.199248	0.540094	0.0283306
ó	0.00438453	0.0017202	0.00568473	0.0459378	0.0935195	0.0803448	0.748465	0.0199435
r	0.00014263	0.00209312	0.00858191	0.0630978	0.0538149	0.0492211	0.802265	0.0207834
í	0.000393407	0.00547587	0.0131909	0.0328205	0.398552	0.228889	0.243969	0.0767091
í	0.00135878	0.012232	0.0134307	0.0187467	0.114566	0.335869	0.173041	0.330756
m	0.00793636	0.0175438	0.0245884	0.0156788	0.105737	0.553643	0.164458	0.110414
ó	0.00402239	0.0188496	0.0165972	0.00516641	0.0969126	0.452072	0.127006	0.279373
i	0.000657799	0.00537326	0.00562777	0.00555411	0.0488002	0.281675	0.438089	0.214223
f	0.000189533	0.00162851	0.00128468	0.00240773	0.0319834	0.08446	0.64871	0.229337
u	0.000264013	0.00114304	0.00384792	0.00382384	0.013822	0.0393505	0.896847	0.0409018
r	0.000785849	0.000808283	0.000788351	0.00192643	0.024017	0.158003	0.585721	0.22795
a	0.00177509	0.00239805	0.00238093	0.00189999	0.105396	0.473697	0.181054	0.231399
</S>	0.000175708	0.00238236	0.00185765	0.00103892	0.0229297	0.0953653	0.0600044	0.816246
