 	on	a	trouvé	un	pou	dans	ses	cheveux	</S>
á	0.820944	0.137994	0.0184103	0.0175434	0.00204682	0.00117007	0.0015977	0.000115271	0.000178441
t	0.00469261	0.0826669	0.677693	0.164583	0.0571833	0.00808695	0.00443743	0.000487711	0.000168824
ώ	0.00451811	0.0426955	0.503448	0.263132	0.158412	0.0110507	0.00544108	0.0010991	0.0102031
i	0.00462176	0.103028	0.657644	0.165714	0.0405068	0.0149747	0.00436292	0.00138352	0.00776481
w	0.347637	0.0970068	0.116239	0.3302	0.0705257	0.0105053	0.0064078	0.00133317	0.0201458
á	0.0959864	0.0640676	0.0756574	0.284555	0.333756	0.053275	0.0705865	0.00315928	0.0189567
e	0.439988	0.0915707	0.051701	0.162462	0.0225007	0.0756646	0.0396177	0.0361251	0.0803702
n	0.00172382	0.00861574	0.0434575	0.0889168	0.541108	0.247299	0.0307174	0.0244089	0.0137534
g	0.00187164	0.00663715	0.00988902	0.0899452	0.512522	0.190554	0.0231028	0.107082	0.0583963
ó	0.000905833	0.00311676	0.00447769	0.0385177	0.911835	0.0150794	0.00304582	0.0185259	0.00449549
o	0.00138188	0.00451054	0.00730738	0.0461539	0.696406	0.0298696	0.0142271	0.140402	0.0597423
s	0.00691694	0.0164181	0.0121066	0.104273	0.0665781	0.370797	0.224165	0.080698	0.118047
á	0.0130537	0.0200352	0.0239159	0.0832326	0.0174551	0.372996	0.150248	0.154168	0.164896
s	0.0318796	0.00688515	0.00499183	0.0326037	0.00492319	0.0621906	0.251998	0.583994	0.020534
u	9.08405e-05	8.79396e-05	0.000167444	0.00062038	0.000347807	0.0121893	0.0166431	0.964845	0.00500844
é	0.000140973	0.000157522	0.000465668	0.00221309	0.000323204	0.0333883	0.0742515	0.653039	0.236021
</S>	0.00188519	0.0071745	0.0107145	0.00784883	0.00140714	0.127842	0.217115	0.29496	0.331053
