 	c'	est	un	garçon	plein	d'	astuce	</S>
a	0.542255	0.228366	0.144455	0.080417	0.00109239	0.00207473	0.0011292	0.000210835
d	0.126815	0.673381	0.0915283	0.061646	0.00475495	0.00515479	0.0344747	0.00224542
í	0.12594	0.74692	0.110936	0.0045728	0.000824099	0.000567833	0.000863221	0.00937643
i	0.0489759	0.474945	0.346416	0.0284421	0.00753909	0.00969908	0.0126351	0.0713479
b	0.0272984	0.161701	0.340909	0.286307	0.0622338	0.0239047	0.0190129	0.0786333
a	0.00682076	0.0523281	0.0970185	0.602498	0.134345	0.0145771	0.0228061	0.0696071
a	0.0243245	0.106087	0.153441	0.536575	0.0411196	0.00769072	0.00756823	0.123194
i	0.0900998	0.061953	0.293547	0.0954079	0.227319	0.127019	0.00631366	0.0983402
p	0.00421317	0.0151118	0.0218525	0.00998431	0.817561	0.0842355	0.0160879	0.0309542
ω	0.000705074	0.00747211	0.015738	0.0108787	0.894525	0.0473704	0.00878487	0.0145256
ώ	0.0113375	0.0351476	0.146856	0.0933859	0.538979	0.0987914	0.0236617	0.0518402
a	0.0175123	0.0121926	0.0595061	0.00902936	0.102284	0.659356	0.100238	0.0398811
y	0.00499427	0.0166591	0.0275468	0.00797506	0.0498046	0.471681	0.369201	0.0521381
έ	0.00819236	0.0115455	0.039101	0.00146075	0.102938	0.232157	0.374138	0.230467
l	0.00164063	0.00462786	0.0251085	0.00454182	0.0441286	0.0489529	0.0925781	0.778422
i	0.00737001	0.0131565	0.0965226	0.02506	0.231895	0.261617	0.219077	0.145302
w	0.00744197	0.00475482	0.0258	0.00786174	0.0214287	0.161831	0.376509	0.394373
a	0.0395494	0.0240487	0.0364468	0.0276645	0.116317	0.414395	0.166606	0.174972
m	0.00342209	0.00233949	0.00858739	0.00342012	0.0556508	0.248758	0.216642	0.46118
έ	0.0307025	0.0356447	0.0331725	0.0108321	0.00963817	0.322166	0.168094	0.38975
n	0.00325033	0.00909585	0.0165849	0.00633957	0.0123709	0.283893	0.133945	0.53452
d	0.00251207	0.00623255	0.0100774	0.0029715	0.0116266	0.0405361	0.213816	0.712228
e	0.0019828	0.00427008	0.00983339	0.00109087	0.00334407	0.0202004	0.183676	0.775603
</S>	0.000336953	0.00144341	0.00186039	0.000392972	0.00578762	0.018505	0.182114	0.78956
