 	le	ciel	pâlit	l'	aube	va	bientôt	venir	</S>
i	0.637055	0.286785	0.032714	0.0251383	0.00342386	0.00696013	0.00758579	9.2262e-05	0.000245945
k	0.101297	0.874056	0.00801722	0.00123302	0.011132	0.00114593	0.000710784	0.000502185	0.00190524
ó	0.00731166	0.964527	0.0135539	0.00102732	0.00872678	0.00228752	0.00207827	0.000176938	0.000310853
o	0.0094908	0.934	0.0290927	0.00419432	0.0124955	0.00408473	0.00367489	0.000865382	0.00210157
í	0.625827	0.213395	0.0976037	0.0344357	0.00492622	0.0050917	0.0028213	0.00158472	0.0143151
b	0.283109	0.151323	0.212356	0.0970889	0.0943766	0.0247646	0.0215159	0.0259167	0.089549
h	0.062171	0.255099	0.384255	0.185166	0.0189125	0.0111507	0.025781	0.00807021	0.0493946
i	0.0747699	0.176179	0.501647	0.1807	0.0188705	0.0141967	0.0152311	0.00104975	0.0173569
l	0.110027	0.104057	0.471223	0.206815	0.0339537	0.0280803	0.00931718	0.00138159	0.0351457
í	0.0187554	0.0107712	0.366792	0.207073	0.0456921	0.0618962	0.0223322	0.0312277	0.235461
i	0.0172228	0.00664923	0.364607	0.337736	0.0635158	0.0455026	0.0180051	0.0424337	0.104328
t	0.004337	0.0207407	0.528335	0.186754	0.186567	0.0183932	0.00491039	0.00711072	0.042852
s	0.0014712	0.0199547	0.431321	0.105063	0.296053	0.0687736	0.0181396	0.00352177	0.0557023
y	0.000499473	0.014518	0.403465	0.0895914	0.287141	0.135823	0.0395433	0.00423077	0.0251878
έ	0.0119558	0.0434918	0.505924	0.100651	0.196078	0.0763293	0.0179224	0.00363388	0.044014
m	0.00408854	0.00395472	0.298599	0.446963	0.0636344	0.0862005	0.0142236	0.00103022	0.0813057
ε	0.00304139	0.00246705	0.248909	0.418671	0.0414194	0.211182	0.0535111	0.0016497	0.0191499
b	0.00384924	0.0013778	0.0343913	0.287333	0.144067	0.388092	0.107963	0.00618534	0.0267411
v	0.00360719	0.017674	0.0876902	0.0954166	0.0542083	0.316461	0.382037	0.00879787	0.0341074
ú	0.00482489	0.00545959	0.0298339	0.0783834	0.109883	0.418253	0.249759	0.0218252	0.0817772
s	0.00677033	0.00581847	0.0511561	0.0935125	0.545615	0.242619	0.0431834	0.00159451	0.00973116
á	0.0142743	0.014702	0.0488489	0.17279	0.315805	0.306431	0.0566833	0.0245076	0.0459578
ó	0.00391202	0.00376307	0.0124939	0.0995759	0.093307	0.390891	0.272656	0.0954014	0.0280001
b	0.0114988	0.0242811	0.0226021	0.051606	0.174001	0.193832	0.218936	0.242351	0.0608919
h	0.00245519	0.0465142	0.0406968	0.0346575	0.0375514	0.10536	0.617907	0.0320344	0.0828236
i	0.00260322	0.00991409	0.0210897	0.0389563	0.066858	0.162162	0.476702	0.0153214	0.206393
b	0.00367662	0.00279392	0.00512151	0.024264	0.099566	0.169033	0.215662	0.0446873	0.435195
ώ	0.00102798	0.0143162	0.0354337	0.0550223	0.0554047	0.109589	0.646962	0.0448719	0.0373726
ω	0.00125846	0.00255844	0.0102557	0.0215823	0.0333024	0.15641	0.218387	0.261694	0.294552
t	0.00169484	0.00308175	0.0071106	0.0217136	0.0189479	0.0524352	0.082044	0.245266	0.567706
s	0.00024205	0.0100808	0.0204333	0.0151771	0.101569	0.224545	0.360909	0.086678	0.180365
á	0.00157303	0.00339517	0.0317674	0.00880699	0.322179	0.241291	0.219161	0.0600789	0.111747
a	0.0130233	0.0057585	0.023491	0.0157409	0.0557653	0.153669	0.304718	0.123639	0.304196
</S>	0.00380163	0.00232984	0.0107474	0.0239701	0.012173	0.0318433	0.0435024	0.433091	0.438541
