 	ce	chien-là	est	déjà	mort	</S>
m	0.572965	0.415656	0.0103228	0.000587078	0.000322992	0.000146159
v	0.0252241	0.896202	0.0547267	0.00465852	0.00116674	0.0180217
á	0.036255	0.903502	0.0454326	0.00790972	0.00479891	0.00210147
n	0.0448529	0.875565	0.00270659	0.0024302	0.00259202	0.0718529
d	0.0950795	0.537612	0.028219	0.00241129	0.0161459	0.320532
é	0.188027	0.266934	0.0991744	0.0106793	0.0150855	0.420099
w	0.0838729	0.0335184	0.717717	0.101068	0.00938336	0.0544401
ú	0.264628	0.191474	0.307318	0.0281659	0.0415552	0.16686
u	0.209408	0.0705819	0.551291	0.0807474	0.0149687	0.0730036
á	0.0561083	0.0319911	0.60223	0.210654	0.0575817	0.0414354
m	0.00292171	0.0053447	0.140654	0.640868	0.172549	0.0376631
i	0.0052806	0.00609362	0.0932812	0.607229	0.112414	0.175702
s	0.000899689	0.00115336	0.0313015	0.564485	0.133372	0.268789
á	0.00059121	0.000486362	0.0193941	0.282976	0.470977	0.225575
á	0.00330369	0.00354314	0.0453303	0.0617717	0.418306	0.467746
o	0.020629	0.0130162	0.0457784	0.0798732	0.62744	0.213264
w	0.00306365	0.0020966	0.00903543	0.0480153	0.800345	0.137444
á	0.00119479	0.0017423	0.00379094	0.00824025	0.785549	0.199482
a	0.000874698	0.000487859	0.00371043	0.00998933	0.313277	0.671661
</S>	0.0194317	0.0084689	0.0295143	0.0176258	0.40599	0.518969
