 	le	féticheur	a	arraché	cet	enfant	de	la	mort	</S>
n	0.267199	0.726682	0.00421624	0.000308971	0.000724156	0.000399514	0.000292048	0.000126704	2.54803e-05	2.65663e-05
g	0.0692202	0.92975	0.000601305	5.33365e-06	0.00033624	1.43245e-05	3.25929e-05	3.02676e-05	6.6425e-06	3.01303e-06
a	0.0228532	0.976264	0.000575415	1.30697e-05	0.000122503	0.0001531	5.02024e-06	5.98378e-06	6.33218e-06	1.79183e-06
n	0.27857	0.65741	0.0379586	0.00214619	0.0161165	0.00109453	0.000504334	0.000988852	0.000627965	0.00458293
g	0.234567	0.558631	0.151874	0.0147079	0.00880926	0.00867424	0.00334451	0.00136967	0.000452749	0.0175701
a	0.180958	0.572474	0.170712	0.0125056	0.0335956	0.0185014	0.00128123	0.00100977	0.000574299	0.00838833
á	0.0307523	0.00207839	0.887456	0.0323266	0.0241719	0.000278268	0.00983157	0.00466628	0.000837095	0.00760199
d	0.00745001	0.00322794	0.180682	0.638786	0.115755	0.0023345	0.022534	0.0134864	0.00503925	0.0107053
z	0.00132647	0.000142729	0.014264	0.953421	0.0168275	0.000799123	0.00264397	0.00156123	0.000346504	0.00866713
o	0.240366	0.00754177	0.0221256	0.440124	0.251261	0.0322034	0.00229259	0.00110181	0.000151882	0.00283131
o	0.00860842	0.000714356	0.0868323	0.521031	0.261855	0.016501	0.0477828	0.0170331	0.0107509	0.0288903
l	0.00195034	0.000390447	0.0246476	0.315316	0.293185	0.0223415	0.225765	0.0638129	0.0197422	0.0328485
á	0.00383339	0.000197897	0.0115068	0.437062	0.175018	0.00376839	0.132937	0.0678102	0.0729069	0.0949595
m	0.0115724	0.000441868	0.0456897	0.107006	0.110654	0.139163	0.335118	0.115541	0.0370639	0.0977494
w	0.0048724	6.84116e-05	0.00193705	0.0061595	0.034599	0.882842	0.0305927	0.0220303	0.0117151	0.00518342
á	0.00529084	0.00089611	0.00166435	0.0111216	0.0845967	0.655953	0.0709867	0.0793945	0.0681283	0.0219678
n	0.0144742	6.71255e-05	0.00144694	0.00481576	0.0137698	0.646802	0.113021	0.108934	0.0561776	0.0404913
a	0.0343759	0.00662781	0.00275241	0.00657444	0.114956	0.293807	0.10655	0.209557	0.0809454	0.143854
w	0.0122517	0.000114507	0.00920271	0.0061991	0.0451271	0.00429258	0.279633	0.372282	0.0846364	0.186261
ó	0.0145416	0.000629238	0.0209358	0.0138139	0.0348352	0.00780998	0.216149	0.21234	0.37335	0.105595
l	0.00199002	2.07406e-05	0.00234089	0.00315253	0.0203652	0.00361107	0.112409	0.186173	0.50626	0.163677
a	0.00735187	0.000108013	0.00325929	0.0252144	0.00710657	0.000480993	0.0736478	0.17175	0.339997	0.371084
l	0.00463688	0.000212167	0.00322665	0.00387496	0.0152431	0.00074545	0.0439224	0.219669	0.425985	0.282484
e	0.00677745	0.00033147	0.00491751	0.0409452	0.00804023	0.000483237	0.0374415	0.147458	0.611215	0.14239
k	0.000254655	3.94202e-05	0.00106543	0.0048095	0.00894094	0.000288218	0.0269429	0.236293	0.398186	0.32318
ú	0.00013288	7.25813e-05	0.000686624	0.0113253	0.001785	0.000309877	0.0460503	0.0686444	0.683634	0.187359
</S>	0.00716564	0.00120732	0.000922733	0.0115753	0.0152286	0.00466991	0.0287661	0.0692012	0.328812	0.532451
