 	il	y	a	un	deuil	chez	le	chef	du	village	</S>
a	0.198773	0.462335	0.175635	0.0627426	0.0612687	0.0117817	0.0163333	0.000782799	0.00998357	0.000216423	0.00014724
t	0.0334307	0.123085	0.27363	0.383705	0.157218	0.00466967	0.00364134	0.010663	0.00248167	0.00656768	0.000907362
á	0.0173585	0.0699448	0.0731504	0.510595	0.295866	0.00384886	0.00594656	0.0123891	0.00222035	0.00105745	0.00762292
n	0.00914805	0.116078	0.173826	0.397708	0.119397	0.0261231	0.0155761	0.0407551	0.00657937	0.00547793	0.0893309
g	0.212116	0.183216	0.141233	0.164385	0.260364	0.00687729	0.00590826	0.00451932	0.00615213	0.000980048	0.0142486
a	0.163221	0.288672	0.0569548	0.0720907	0.356179	0.0153477	0.0106712	0.00623222	0.0026729	0.00123013	0.0267283
á	0.0937444	0.173244	0.432929	0.0789951	0.0726978	0.0258161	0.0496184	0.00328024	0.0360068	0.0010858	0.0325827
d	0.00568612	0.0202156	0.489804	0.187977	0.0980896	0.0660496	0.092612	0.019706	0.0069265	0.00256225	0.0103717
i	0.00179852	0.00308187	0.182735	0.183384	0.255077	0.146514	0.0982171	0.0149094	0.0205847	0.0017683	0.0919303
m	0.00231906	0.00368462	0.10456	0.193334	0.139032	0.266139	0.167889	0.044571	0.0432606	0.00941439	0.0257954
b	0.00465457	0.00147248	0.0217855	0.0747181	0.0687633	0.507237	0.193943	0.0205117	0.0636961	0.00338976	0.0398289
v	0.000242081	0.000292837	0.00277361	0.0403685	0.0891407	0.79498	0.0530168	0.0131805	0.00312202	0.000460225	0.00242246
á	0.00217229	0.00175716	0.0093342	0.133962	0.173672	0.508403	0.0828805	0.031829	0.0174859	0.00248725	0.0360168
a	0.00183973	0.00228515	0.00953277	0.0371475	0.0472477	0.566523	0.155907	0.114271	0.0078736	0.00151735	0.0558558
o	0.00222641	0.00708128	0.0279678	0.0109009	0.00857836	0.0761479	0.658047	0.0645829	0.118257	0.00443291	0.0217773
k	0.000234207	0.000971662	0.00820412	0.0208707	0.0165379	0.0131963	0.0853638	0.77575	0.00764888	0.0668663	0.00435606
o	2.49572e-05	5.45254e-05	0.0002883	0.00403244	0.00333814	0.000587596	0.00840881	0.965364	0.00180668	0.0101568	0.00593736
n	2.07072e-05	0.000186092	0.000827787	0.00883098	0.0130172	0.00280326	0.0203966	0.898032	0.00562541	0.0441783	0.00608206
d	0.00153302	0.00145123	0.00279684	0.0231012	0.0329331	0.0070095	0.052104	0.806472	0.0145961	0.0115915	0.0464118
z	0.0032643	0.0026418	0.00253617	0.0209036	0.0610912	0.0110556	0.0231228	0.748996	0.00972637	0.0313634	0.0852984
i	0.00754545	0.00157763	0.00235193	0.0140857	0.134647	0.030346	0.0293415	0.690545	0.00791734	0.0432512	0.0383913
y	0.00231144	0.00428031	0.012732	0.00487426	0.00301831	0.00938649	0.157272	0.0277312	0.586604	0.00988145	0.181908
a	0.0125654	0.0260355	0.0494226	0.0315881	0.0126408	0.00519998	0.0798623	0.0286163	0.265467	0.175732	0.31287
p	0.00111087	0.0042855	0.00770469	0.00438408	0.00303684	0.0010579	0.0115874	0.0047157	0.0389351	0.894143	0.0290385
o	0.000181736	0.00192813	0.00133374	0.00187125	0.00153605	0.00030637	0.00193058	0.0319125	0.00130773	0.952995	0.00469725
o	0.000180142	0.000346881	0.000828539	0.00223362	0.00166159	0.000205914	0.0012902	0.0427664	0.00109928	0.935216	0.0141716
</S>	0.00264374	0.00443211	0.0107778	0.0117519	0.00703811	0.00274598	0.0422464	0.00578223	0.128286	0.0514107	0.732885
