 	personne	ne	respecte	le	fou	</S>
e	0.799282	0.194582	0.00244384	0.00281853	0.000779328	9.335e-05
b	0.176374	0.748716	0.0532826	0.0126616	0.00815873	0.000807185
h	0.203421	0.563318	0.0449384	0.0265307	0.156589	0.0052025
ó	0.126541	0.417448	0.175906	0.130551	0.141548	0.00800478
a	0.4874	0.276859	0.099084	0.0636831	0.0406111	0.0323632
á	0.20877	0.17576	0.42154	0.107384	0.00567127	0.0808751
k	0.00846133	0.0608761	0.657153	0.215544	0.0164101	0.041555
á	0.00413284	0.057543	0.805041	0.0547891	0.0517453	0.0267492
m	0.00404496	0.0948083	0.643943	0.174461	0.0261741	0.0565687
b	0.0103518	0.0126294	0.0583983	0.549604	0.159391	0.209626
á	0.0543365	0.0376571	0.145149	0.310136	0.100627	0.352094
o	0.0299103	0.0100124	0.0345753	0.371113	0.183629	0.370761
k	0.000910875	0.008435	0.0252752	0.123232	0.772075	0.0700712
a	0.0012239	0.00723328	0.0782148	0.126236	0.713282	0.0738095
n	0.0020248	0.00808237	0.121069	0.0906486	0.416266	0.361909
d	0.00569881	0.0130043	0.111688	0.20964	0.38602	0.273948
i	0.00530449	0.0133646	0.0316341	0.143236	0.423839	0.382621
</S>	0.0268226	0.00512798	0.00547694	0.305839	0.167441	0.489293
