 	la	nuit	est	tombée	</S>
b	0.582813	0.397826	0.0168248	0.00151509	0.00102096
v	0.304991	0.420197	0.231955	0.0337338	0.00912333
ú	0.263562	0.61331	0.0142457	0.0864361	0.0224455
s	0.109658	0.849914	0.0162823	0.0173586	0.00678734
á	0.528804	0.444964	0.0157451	0.00077216	0.00971444
ó	0.0848239	0.0217408	0.843948	0.013454	0.0360331
m	0.0159407	0.0385898	0.726344	0.176929	0.0421963
i	0.0188602	0.00182176	0.351645	0.309752	0.317922
b	0.00242389	0.00757792	0.0581067	0.675024	0.256867
h	0.000726598	0.00294548	0.0125801	0.931015	0.0527328
í	0.000641368	0.00824022	0.00833412	0.820046	0.162738
n	0.0052984	0.00329719	0.0688479	0.404059	0.518497
d	0.0309747	0.00506552	0.0434493	0.386502	0.534008
a	0.0152909	0.00515762	0.0255108	0.143828	0.810213
</S>	0.0479749	0.00403959	0.377982	0.0962033	0.473801
