 	on	commença	à	brasser	la	bière	</S>
w	0.925424	0.0498451	0.0120434	0.0075216	0.0042666	0.000345862	0.00055397
a	0.934359	0.0290121	0.00876294	0.014954	0.0117736	0.000967568	0.000171225
a	0.751281	0.185386	0.0456323	0.00180899	0.00963541	0.000977691	0.00527854
b	0.047815	0.814435	0.0971175	0.00280876	0.0100486	0.000899593	0.0268752
á	0.0440305	0.853892	0.0555936	0.0269991	0.00723438	0.000306872	0.0119431
á	0.0203825	0.552602	0.270224	0.0224528	0.0112843	0.0121548	0.110899
n	0.0286408	0.0978494	0.78798	0.0297812	0.029505	0.00192316	0.0243209
d	0.147286	0.0400393	0.411718	0.0772354	0.173017	0.0047435	0.145961
í	0.0922001	0.0516291	0.589829	0.127187	0.0684965	0.0050452	0.0656136
i	0.0472129	0.00324592	0.346564	0.193876	0.215881	0.00940781	0.183812
b	0.00377943	0.00994939	0.36935	0.454318	0.0331752	0.108028	0.0213994
ω	0.00626156	0.0314208	0.0892727	0.843269	0.0151546	0.0110334	0.00358748
n	0.000234648	0.000946994	0.0325735	0.93154	0.0118938	0.0149145	0.00789653
g	0.0135	0.0134521	0.349181	0.325893	0.118282	0.0331881	0.146503
ω	0.00625724	0.000308682	0.134754	0.673704	0.131366	0.00186116	0.0517486
l	0.00475352	0.000293183	0.0545274	0.0267128	0.783681	0.0195579	0.110474
á	0.0138671	0.00175915	0.103922	0.0255729	0.461718	0.131105	0.262056
l	0.0189788	0.00127229	0.0463658	0.0231331	0.191485	0.693027	0.0257375
ω	0.0201557	0.00346284	0.0373615	0.0144035	0.0921813	0.761413	0.0710218
i	0.00416448	0.000486341	0.00324951	0.0041194	0.0199285	0.947219	0.0208324
</S>	0.0201645	0.00353685	0.029649	0.00532946	0.0941437	0.638972	0.208204
