 	il	a	assemblé	les	travailleurs	</S>
w	0.945535	0.0403952	0.0046058	0.00878413	0.000557343	0.000122451
a	0.933453	0.0178384	0.00108513	0.0469008	0.000657339	6.51287e-05
a	0.171894	0.71698	0.0616595	0.021031	0.0172462	0.0111897
t	0.0518664	0.508024	0.303433	0.0510187	0.0359489	0.0497087
έ	0.00615498	0.24993	0.515941	0.0300507	0.0359713	0.161951
s	0.0283986	0.302448	0.42736	0.0558522	0.0430355	0.142906
í	0.0464721	0.364161	0.416904	0.15297	0.00886449	0.0106278
í	0.172205	0.24274	0.0534001	0.387005	0.0633503	0.0813003
a	0.00949138	0.0290758	0.0369441	0.509215	0.385769	0.0295048
s	0.000330923	0.00599122	0.0609297	0.0640004	0.848603	0.0201449
á	3.68732e-05	0.00220225	0.00686102	0.0103329	0.966268	0.0142985
l	0.000458971	0.00693227	0.034584	0.0372271	0.534714	0.386084
i	0.00257834	0.0220883	0.245218	0.277973	0.179485	0.272658
</S>	0.00602734	0.010621	0.0515202	0.400156	0.0919638	0.439712
