 	il	a	revu	son	ancienne	femme	</S>
w	0.952462	0.0321068	0.00404272	0.00209352	0.00904361	9.62893e-05	0.000154879
a	0.904353	0.0536373	0.0057587	0.0172458	0.0174094	0.00155693	3.92994e-05
á	0.159754	0.742976	0.0428016	0.0139742	0.0130998	0.00764347	0.0197507
m	0.0682466	0.534901	0.347358	0.0184417	0.00321171	0.00445249	0.0233883
i	0.0128391	0.451464	0.380437	0.0576352	0.00635122	0.0394802	0.0517934
b	0.00472737	0.0633893	0.89082	0.0189206	0.00229279	0.00909934	0.0107509
v	0.00422711	0.0580381	0.845883	0.0548518	0.00218194	0.0167553	0.0180633
ú	0.000712304	0.0163558	0.97802	0.0044367	0.00017841	5.43774e-05	0.000242799
r	0.115764	0.0676875	0.536263	0.149759	0.0804235	0.00170647	0.0483972
á	0.0413387	0.0631595	0.133772	0.405809	0.101999	0.00634869	0.247572
o	0.00948615	0.0291135	0.053803	0.300233	0.564614	0.0366794	0.00607106
t	0.0059728	0.0135129	0.288259	0.381521	0.187081	0.106212	0.0174412
á	0.00635583	0.00658529	0.15024	0.170511	0.394101	0.13407	0.138137
á	0.000588948	0.00557388	0.057206	0.0733712	0.0848035	0.0429923	0.735464
m	0.0329092	0.070753	0.0517684	0.279188	0.188218	0.249482	0.127682
w	0.00544787	0.0047258	0.00383677	0.164718	0.0273524	0.567433	0.226486
á	0.0265951	0.0066851	0.0126256	0.163444	0.0407093	0.733934	0.0160076
s	0.015136	0.00451343	0.0136573	0.266177	0.560048	0.112157	0.0283111
í	0.0375561	0.0140505	0.025572	0.176961	0.0346597	0.39155	0.31965
y	0.0266159	0.0523455	0.0243672	0.220134	0.311641	0.166176	0.198721
a	0.0242436	0.0688874	0.0135868	0.220188	0.291715	0.324944	0.0564354
w	0.0229844	0.00856347	0.00521602	0.0862576	0.576389	0.286194	0.0143959
a	0.0230665	0.0207935	0.0166832	0.247707	0.321135	0.319595	0.0510195
y	0.0050729	0.00522627	0.00229235	0.103102	0.448088	0.127428	0.308791
a	0.00864735	0.0260233	0.0101887	0.202384	0.23936	0.391312	0.122085
k	0.007231	0.00702661	0.00454304	0.125957	0.694411	0.0583082	0.102523
a	0.000964086	0.00117444	0.0132327	0.218626	0.319699	0.0683762	0.377928
l	0.000293278	0.00091798	0.0042663	0.0329374	0.0581101	0.0199027	0.883572
a	0.00457001	0.00442208	0.0230765	0.0725534	0.162639	0.0330883	0.699651
</S>	0.00267355	0.0102426	0.0121989	0.0747231	0.126835	0.0757037	0.697623
