 	je	suis	un	oncle	pour	cet	enfant	que	j'	héberge	</S>
m	0.650028	0.195999	0.0854879	0.00609119	0.0272491	0.0131344	0.00578796	0.0094488	0.00590917	0.000760862	0.000103835
w	0.153687	0.189815	0.107337	0.0440821	0.102655	0.0373613	0.293159	0.010876	0.0211617	0.00827537	0.0315917
á	0.0451009	0.203896	0.127493	0.0632168	0.0340926	0.0373916	0.47205	0.0053222	0.00399208	0.00658817	0.000856426
n	0.678851	0.0535692	0.0365394	0.00116262	0.0283957	0.012687	0.118995	0.0160106	0.00258824	0.000342035	0.0508586
a	0.13096	0.0335703	0.022333	0.0285748	0.0376303	0.0576399	0.428622	0.043032	0.0124981	0.00862734	0.196512
y	0.226373	0.336351	0.318789	0.0237454	0.0153406	0.026088	0.0104582	0.0213453	0.00671749	0.00327202	0.0115201
e	0.047328	0.252523	0.164678	0.125272	0.0495255	0.119634	0.0544224	0.0726433	0.0209519	0.0622491	0.0307725
e	0.116557	0.192349	0.433497	0.0690772	0.0353725	0.0467006	0.0160552	0.0340622	0.0247811	0.00884619	0.0227027
k	0.0207825	0.224516	0.169664	0.3622	0.0184499	0.0198392	0.0519645	0.00832642	0.00721815	0.0282872	0.0887517
y	0.00390797	0.245996	0.598591	0.0549326	0.00612808	0.00490494	0.00341198	0.00747495	0.00392149	0.010531	0.0602007
έ	0.0575586	0.313359	0.550646	0.0261877	0.00947299	0.00781208	0.00170533	0.00447748	0.00216447	0.00548742	0.0211295
έ	0.00517678	0.116041	0.493455	0.011863	0.030223	0.0276737	0.004627	0.042123	0.0140333	0.0120255	0.242759
l	0.00417613	0.0814185	0.427843	0.0233085	0.164901	0.184163	0.0171889	0.0350654	0.0281439	0.0068253	0.0269657
έ	0.0130203	0.14806	0.340771	0.0144531	0.0844856	0.0900909	0.0112558	0.0717239	0.0721652	0.0114181	0.142556
n	0.00634612	0.0250859	0.0864385	0.0118119	0.338167	0.259314	0.104205	0.0864794	0.0336622	0.00641466	0.0420742
g	0.121327	0.059975	0.146304	0.0840319	0.126128	0.134724	0.108035	0.0443085	0.0718726	0.0270192	0.0762767
á	0.0231417	0.0174977	0.0382925	0.251637	0.111131	0.14534	0.237064	0.0420101	0.048416	0.0311226	0.0543468
w	0.000361318	0.00738024	0.0165369	0.00640056	0.456733	0.266706	0.0369879	0.173997	0.0171889	0.00780305	0.00990452
ó	0.00278324	0.016273	0.0304739	0.0253482	0.222437	0.225879	0.0835071	0.271333	0.013021	0.0424016	0.0665425
e	0.000936628	0.00541389	0.0155566	0.0108438	0.077121	0.129687	0.0911437	0.499179	0.0274013	0.0207569	0.12196
b	0.00161063	0.0211199	0.0289304	0.00184853	0.0908021	0.0946874	0.0374155	0.323476	0.109597	0.0655057	0.225007
á	0.00144667	0.0163945	0.0611341	0.00194181	0.0853354	0.119972	0.0658085	0.236766	0.112149	0.178397	0.120655
n	0.00210031	0.00873891	0.0407127	0.00144151	0.0604641	0.0547108	0.0238181	0.253275	0.330226	0.0871074	0.137406
d	0.0049112	0.00369258	0.00958299	0.000536415	0.0479356	0.0514182	0.0208474	0.434699	0.265404	0.065139	0.0958334
e	0.000646654	0.00269898	0.00342918	0.00607826	0.0575481	0.0772707	0.0658761	0.409622	0.166159	0.121357	0.0893144
y	0.000115464	0.00293449	0.0048034	0.00350624	0.0684274	0.0916306	0.0259913	0.414161	0.159301	0.106786	0.122343
á	0.00091786	0.00712081	0.00886413	0.00235365	0.0759458	0.109806	0.036254	0.220351	0.0808806	0.389268	0.0682385
n	0.00123734	0.00632077	0.0233849	0.00271143	0.0476391	0.0580755	0.00991976	0.203527	0.449721	0.143239	0.0542238
g	0.0097124	0.00312737	0.00532026	0.00140066	0.0137609	0.0177423	0.0205837	0.106598	0.591567	0.132579	0.0976089
á	0.000620174	0.000727187	0.00148326	0.00231331	0.018532	0.0268523	0.0249402	0.28686	0.274379	0.0713824	0.29191
l	0.000169974	0.0025414	0.00224284	0.000892853	0.0329761	0.0294281	0.0110536	0.285345	0.301465	0.0803938	0.253491
a	0.00210355	0.00451303	0.00447937	0.000776494	0.0101236	0.00932675	0.00500084	0.0561586	0.261128	0.17615	0.47024
w	3.08608e-05	0.00156661	0.00245411	0.000326093	0.0120798	0.0251376	0.00281871	0.1327	0.180225	0.163899	0.478763
a	0.000713341	0.00777365	0.018374	0.000769303	0.00557505	0.0168779	0.0034376	0.0998521	0.407409	0.197827	0.241392
é	3.96324e-05	0.000885491	0.0018911	0.000310689	0.00770302	0.0148852	0.00275079	0.161512	0.0961345	0.0577827	0.656105
d	0.00016404	0.0161165	0.0177004	0.00142602	0.0133496	0.0113888	0.00114233	0.0233391	0.300524	0.125646	0.489202
i	4.6518e-05	0.00367819	0.00308822	0.000674822	0.00630786	0.00970764	0.00316987	0.00482869	0.21593	0.144516	0.608052
n	3.35969e-05	0.00138853	0.00169799	0.000251162	0.0184359	0.0242754	0.0118514	0.011673	0.105643	0.0341421	0.790608
g	0.000391055	0.00154905	0.00388632	0.000274995	0.00224442	0.0055482	0.00255814	0.0130354	0.202157	0.270957	0.497398
ó	0.000148259	0.000194016	0.000480321	0.00033194	0.00248428	0.00387665	0.00518811	0.0284311	0.163891	0.105027	0.689948
l	2.09925e-05	0.000345971	0.000635495	0.000376584	0.00667467	0.0151125	0.00358281	0.0972954	0.0576598	0.0878525	0.730443
ó	8.32896e-05	0.00143314	0.0019092	0.00113583	0.00491211	0.0082912	0.00260184	0.0372025	0.0934008	0.203985	0.645045
m	0.000159323	0.000846756	0.00161349	0.000284418	0.00432248	0.00626893	0.00171682	0.0398185	0.0430015	0.222164	0.679804
i	1.10666e-05	0.0015116	0.000823269	0.00156102	0.0804415	0.0778969	0.0665395	0.00682252	0.0137173	0.294041	0.456635
</S>	3.03787e-05	0.00156916	0.00111235	0.00230388	0.0260703	0.0214996	0.0148673	0.0178164	0.0384461	0.0592219	0.817062
