 	je	sens	des	maux	de	tête	</S>
n	0.892052	0.0275071	0.0296173	0.0151244	0.0345552	0.000917271	0.000226809
g	0.984654	0.00131473	0.000522321	0.0114222	0.0020435	1.32657e-05	2.9609e-05
á	0.992427	0.00560768	0.000297647	0.000898996	0.000423133	0.000262145	8.32861e-05
l	0.498519	0.292795	0.0432987	0.0544226	0.0416874	0.0305561	0.0387215
í	0.658143	0.066169	0.0136966	0.0417232	0.0146399	0.0149755	0.190652
i	0.0440254	0.119596	0.174071	0.226884	0.0895032	0.0426247	0.303295
b	0.00707865	0.739405	0.158857	0.0192936	0.0149095	0.0214249	0.0390317
ó	0.000486748	0.741813	0.0753452	0.0118251	0.00372029	0.163978	0.00283183
n	0.000777308	0.67061	0.156663	0.0290746	0.0104507	0.0137812	0.118643
d	0.0114464	0.113059	0.342074	0.124271	0.0679794	0.0199726	0.321198
á	0.00794496	0.0810843	0.197979	0.142924	0.0991329	0.0309033	0.440032
i	0.0105807	0.00271941	0.0614134	0.160604	0.621375	0.119236	0.0240712
b	0.00112099	0.00322062	0.0304568	0.0344301	0.0397413	0.805437	0.085593
o	0.000880484	0.00230642	0.0256699	0.0202559	0.0199952	0.91631	0.0145818
ó	0.000341064	0.00573144	0.0558564	0.152925	0.18726	0.447667	0.150219
b	0.00161888	0.0143429	0.0351803	0.104074	0.165717	0.0509623	0.628104
v	0.0167644	0.0128653	0.0986687	0.317307	0.243406	0.15176	0.159227
ú	0.00151282	0.0068071	0.0494483	0.436543	0.148795	0.161908	0.194985
a	0.000546459	0.0038276	0.0417797	0.241159	0.100178	0.101253	0.511256
</S>	0.00368817	0.028121	0.0656874	0.202103	0.201274	0.0299013	0.469226
