 	femme	de	petite	taille	et	trapue	de	quoi	es-tu	morte	</S>
o	0.861758	0.0501636	0.0237848	0.0144823	0.01998	0.0151273	0.00603586	0.00142111	0.00672728	7.57542e-05	0.000443942
y	0.278434	0.122958	0.130453	0.151517	0.0326207	0.0512391	0.0118867	0.0710102	0.0533291	0.0312478	0.0653052
ú	0.0819501	0.120799	0.188373	0.298693	0.0233842	0.0154355	0.0158198	0.0818673	0.00478727	0.0292098	0.13968
r	0.0741401	0.133415	0.12577	0.149039	0.0240742	0.0191097	0.0196257	0.105353	0.0112534	0.0133054	0.324914
u	0.0960153	0.278881	0.297175	0.164544	0.0341022	0.0196604	0.0424022	0.0103391	0.0313392	0.0076446	0.0178968
e	0.0445942	0.175495	0.344405	0.210845	0.140922	0.0265949	0.0283458	0.013244	0.00481851	0.000591445	0.0101444
y	0.0162288	0.0484426	0.152315	0.347074	0.101361	0.0871505	0.0487336	0.0766958	0.0362442	0.016054	0.069701
ε	0.0104069	0.0631362	0.136779	0.222579	0.0597436	0.0884784	0.0647989	0.108072	0.0297443	0.0829749	0.133287
l	0.00210008	0.0330947	0.0719998	0.172094	0.10623	0.14322	0.0803967	0.0836317	0.0402567	0.025625	0.241352
ε	0.00351211	0.0314816	0.0850421	0.146568	0.231681	0.293618	0.0679949	0.031796	0.0445559	0.0154046	0.0483453
n	0.00122584	0.0349264	0.106376	0.118162	0.158426	0.233833	0.221361	0.0386604	0.0306423	0.0197433	0.036644
ω	0.00326259	0.00438403	0.0280025	0.0457415	0.0765347	0.235328	0.0240476	0.0160162	0.223188	0.20218	0.141315
o	0.0012915	0.0222029	0.0519117	0.0531276	0.149274	0.241948	0.204292	0.0221881	0.140598	0.033955	0.0792114
w	0.0012812	0.00940178	0.0394768	0.0476015	0.0230626	0.038429	0.148377	0.582401	0.0359151	0.0358287	0.0382249
é	0.000226932	0.00333465	0.00972968	0.0453758	0.0386022	0.0991963	0.136011	0.375766	0.0574976	0.0670525	0.167207
m	0.000390153	0.00789834	0.0187545	0.0305335	0.0732261	0.162358	0.232057	0.237101	0.0702639	0.0509801	0.116437
ó	0.00100401	0.00410114	0.0090476	0.0188276	0.0120287	0.0274275	0.159778	0.301687	0.0832273	0.112372	0.270499
n	0.00282847	0.00475808	0.00705988	0.00788935	0.0206381	0.0466268	0.114516	0.0219414	0.141874	0.523318	0.10855
d	0.000336946	0.000313689	0.00134043	0.00132969	0.00161758	0.00373385	0.00446373	0.0015688	0.269492	0.678103	0.0377002
é	0.000277259	0.000227668	0.000614813	0.00123304	0.00220334	0.012071	0.007847	0.0046649	0.269015	0.507177	0.194669
</S>	5.64044e-05	0.00113521	0.00273773	0.00730575	0.0262001	0.0720455	0.0616964	0.0292838	0.143031	0.136877	0.519631
