 	sa	voiture	a	disparu	pendant	la	guerre	</S>
o	0.776615	0.129002	0.0462704	0.0137473	0.0195481	0.00822608	0.00506459	0.00152594
t	0.0637948	0.887232	0.030975	0.00826192	0.00288782	0.00119115	0.00178813	0.00386952
ω	0.0207783	0.955947	0.00322768	0.0101674	0.00683955	0.0011904	0.00113237	0.000717023
m	0.00553221	0.984907	0.00260296	0.00258549	0.00163561	0.000668341	0.000915116	0.00115299
b	0.0378731	0.785998	0.0214776	0.0067204	0.0173619	0.0121874	0.00931395	0.109067
í	0.0724813	0.371752	0.0324464	0.0369508	0.0448775	0.0516677	0.0331746	0.356649
l	0.434849	0.336386	0.126645	0.0116953	0.0133202	0.00932829	0.00206567	0.0657107
i	0.544119	0.22543	0.0291907	0.0176133	0.0474215	0.0242936	0.00552831	0.106404
m	0.643134	0.013943	0.258893	0.0319044	0.0123967	0.00968994	0.00198739	0.028051
á	0.42876	0.0227629	0.374692	0.0489176	0.013392	0.0324251	0.00113325	0.0779176
w	0.43613	0.0065033	0.271414	0.0520539	0.0502697	0.0598017	0.00435354	0.119474
a	0.279681	0.015862	0.333064	0.0900432	0.0669279	0.111062	0.00384654	0.0995122
á	0.44925	0.00784182	0.310949	0.105076	0.0539824	0.0503397	0.00457547	0.0179854
k	0.00306565	0.00268189	0.125384	0.516316	0.251107	0.0583926	0.00436608	0.0386869
í	0.00298117	0.00237061	0.0242906	0.580267	0.291568	0.0685714	0.0103061	0.0196456
n	0.00166306	0.000204353	0.00859896	0.567462	0.226321	0.0581023	0.0576397	0.080009
d	0.00938399	0.000332565	0.0230043	0.339869	0.419044	0.158989	0.0168921	0.0324845
í	0.00964184	0.00323624	0.102775	0.272476	0.245071	0.241707	0.00562863	0.119464
m	0.0160097	0.00108243	0.121515	0.0460369	0.193607	0.409866	0.165113	0.0467696
á	0.00543446	0.00254628	0.0260332	0.0229038	0.0373166	0.271715	0.209151	0.424899
s	0.0169802	0.00113343	0.02527	0.0235043	0.0838782	0.268415	0.497132	0.0836867
á	0.00866488	0.00472255	0.0116277	0.0256731	0.10315	0.421483	0.298534	0.126144
b	0.0284283	0.00203658	0.0174906	0.0135492	0.053767	0.300295	0.217489	0.366945
i	0.00417869	0.000745522	0.00158048	0.00460362	0.0443506	0.0744452	0.821986	0.0481104
r	0.00340075	0.000728261	0.000708085	0.00503289	0.0492439	0.0916119	0.647692	0.201582
á	0.00238958	0.00308892	0.00323674	0.0488678	0.253477	0.339915	0.131343	0.217682
</S>	0.0210873	0.000693871	0.0194272	0.0110404	0.0263864	0.139278	0.0600825	0.722005
