 	c'	est	une	tête	brûlée	</S>
w	0.583298	0.288789	0.0913238	0.0318681	0.00143009	0.00329168
a	0.549704	0.397822	0.0401879	0.00687444	0.00428239	0.00112904
a	0.265561	0.280363	0.409018	0.0358001	0.0051802	0.00407696
d	0.0371056	0.114994	0.380497	0.392912	0.0398662	0.034625
í	0.037328	0.143844	0.353784	0.024909	0.128663	0.311472
e	0.0392475	0.0367462	0.159428	0.122399	0.120725	0.521454
n	0.00325067	0.00752508	0.0700036	0.0470649	0.663709	0.208447
d	0.0447604	0.028768	0.228913	0.0111386	0.499917	0.186503
z	0.0118767	0.00885418	0.0951047	0.00258478	0.438535	0.443045
ó	0.0197385	0.0172667	0.212746	0.00607744	0.482567	0.261604
</S>	0.0240069	0.0233169	0.139817	0.00625577	0.136665	0.669938
