 	avec	cette	manière	d'	étendre	le	filet	aucun	animal	ne	sera	capturé	</S>
e	0.122704	0.150564	0.385442	0.171614	0.00388904	0.0106035	0.0168759	0.0287216	0.0640167	0.00876683	0.0230114	0.000458724	0.0133331
l	0.00111952	0.00178069	0.000968686	0.00530409	0.852305	0.0256616	0.0170978	0.0123192	0.0586523	0.00790546	0.011326	0.00516684	0.000393352
a	0.00050545	0.00130203	0.00697892	0.00224275	0.853757	0.0138428	0.0294274	0.0363845	0.00683708	0.0168292	0.0136341	0.00624502	0.0120132
m	0.000653688	0.000606193	0.00411507	0.0112588	0.847338	0.0353316	0.0345894	0.0132735	0.00382473	0.0115197	0.0200813	0.0162776	0.00113022
b	0.00645913	0.00520025	0.0119296	0.016007	0.712031	0.0645627	0.0150397	0.00938955	0.00855383	0.0221693	0.0405183	0.000699021	0.0874409
í	0.0153534	0.00420674	0.0106168	0.00513215	0.873312	0.0140096	0.00926118	0.00923114	0.0114768	0.00855716	0.0176631	0.000165254	0.0210145
l	0.0795811	0.319087	0.121075	0.0804233	0.0834777	0.139508	0.0120178	0.0071901	0.020838	0.0211219	0.0477476	0.00159315	0.0663399
í	0.078149	0.13082	0.0163235	0.0293861	0.0809547	0.0523037	0.00834902	0.0107108	0.0796788	0.0395689	0.034818	0.0170642	0.421874
y	0.152313	0.259362	0.112705	0.275913	0.0234588	0.0830277	0.00650024	0.00560718	0.00838103	0.00869106	0.024406	0.0013579	0.0382764
o	0.0766405	0.181034	0.0601001	0.227194	0.0659616	0.0699982	0.00520679	0.00505757	0.0175395	0.0284445	0.0246284	0.0120056	0.226189
k	0.0505967	0.0446115	0.013484	0.16704	0.228819	0.180146	0.0919691	0.0504823	0.0400591	0.0611952	0.014882	0.0121956	0.0445192
i	0.00765613	0.00711047	0.00092222	0.010441	0.0107322	0.0407974	0.820294	0.0244914	0.00274746	0.036926	0.0157535	0.00800595	0.0141226
a	0.002357	0.000314589	0.000989625	0.00907437	0.0339414	0.0545862	0.778687	0.0360905	0.00814754	0.0271184	0.0204105	0.00751137	0.0207721
y	0.000951026	0.00207486	0.00171024	0.117247	0.00669246	0.367416	0.175522	0.0756786	0.0635234	0.0808927	0.0770865	0.00396618	0.0272383
é	0.127072	0.159082	0.0647781	0.182406	0.00943851	0.139598	0.0373974	0.0500722	0.0795516	0.0890704	0.0143753	0.00572997	0.0414283
a	0.0502688	0.0402221	0.00562746	0.163558	0.0285873	0.217047	0.078172	0.0665898	0.131079	0.102931	0.0646471	0.00987528	0.041396
n	0.00283143	0.00217149	0.000699493	0.0305263	0.0406257	0.0764522	0.0998521	0.131128	0.173314	0.303715	0.0957571	0.0200785	0.0228487
y	0.00406202	0.00617265	0.00179895	0.0119662	0.0260338	0.0584484	0.0134365	0.170696	0.604638	0.0643388	0.0163761	0.00140694	0.0206259
a	0.00273036	0.00549836	0.000845718	0.00338616	0.00261782	0.0315485	0.00793665	0.179739	0.671018	0.0743844	0.0126614	0.000918934	0.00671533
m	0.000552891	0.000789093	0.000771481	0.00953432	0.00605957	0.0405304	0.154586	0.216164	0.182601	0.252582	0.0987919	0.0182422	0.0187951
a	0.145326	0.0631959	0.00452218	0.0889189	0.0879002	0.191479	0.0565164	0.072477	0.0723407	0.133528	0.0599162	0.00259761	0.021282
b	0.00324331	0.0020846	0.000781341	0.0400271	0.00439049	0.0870891	0.0182201	0.135134	0.1222	0.218326	0.278148	0.0294711	0.0608843
á	0.0126344	0.0087474	0.00121777	0.0286888	0.00114229	0.0247875	0.0296878	0.30361	0.20605	0.224652	0.128284	0.00139865	0.0290989
a	0.00873469	0.00529163	0.00529659	0.0334823	0.00392354	0.0292599	0.0131544	0.280086	0.23698	0.149438	0.150844	0.0242032	0.059305
l	0.000884245	0.000683163	0.000253323	0.00504708	0.00495118	0.013277	0.0134977	0.0782267	0.0771667	0.150759	0.487471	0.103927	0.0638568
e	0.000345115	0.00104065	0.000199203	0.0030558	0.0121946	0.00987151	0.0186087	0.0413192	0.119331	0.240992	0.360836	0.111914	0.0802927
á	0.000171408	0.000890542	0.000668084	0.00787894	0.00480307	0.0311595	0.00787621	0.0324672	0.0591758	0.125382	0.504082	0.128294	0.0971506
á	0.00439782	0.00186668	0.000658209	0.019852	0.00213344	0.0195552	0.00342801	0.0561105	0.28891	0.0525512	0.282465	0.12945	0.138623
t	0.00146728	0.00207049	0.000276303	0.020772	0.013039	0.0161335	0.00744957	0.0358034	0.130969	0.0671209	0.210755	0.362427	0.131716
s	2.64449e-05	0.000130709	6.51786e-05	0.000676956	0.000437769	0.00212616	0.0152092	0.0286838	0.0182613	0.0914643	0.140233	0.627783	0.0749023
ω	0.000871284	0.00175378	0.000133657	0.00149694	0.000661159	0.00869637	0.0362455	0.0438504	0.029325	0.117499	0.295657	0.381587	0.0822228
</S>	0.000407717	0.000725083	0.000590023	0.00181401	0.000103226	0.00659775	0.00467849	0.0343508	0.0253843	0.0654752	0.156502	0.269999	0.433373
