 	ce	petit	enfant	souffre	de	la	toux	</S>
m	0.41599	0.454214	0.0297215	0.0429427	0.0303786	0.0173157	0.00310592	0.00633102
w	0.0114409	0.0398994	0.784386	0.0623768	0.0122632	0.0114886	0.00311973	0.0750249
á	0.0318976	0.392096	0.535663	0.0304956	0.00362136	0.00137872	0.000163679	0.00468476
n	0.132586	0.178258	0.659902	0.0177399	0.00148717	0.000928444	0.000180438	0.0089182
a	0.0766075	0.292551	0.390628	0.0960672	0.0118584	0.00703839	0.000333378	0.124917
n	0.270331	0.471602	0.114464	0.0602596	0.0317197	0.0273341	0.0132806	0.011009
d	0.104316	0.263299	0.141637	0.071657	0.0466017	0.0450756	0.0466985	0.280715
z	0.100766	0.270314	0.389813	0.0634113	0.0150879	0.00929734	0.0363816	0.114929
é	0.102306	0.537739	0.224329	0.0496769	0.024288	0.0149606	0.00821219	0.0384885
s	0.0913196	0.156765	0.0745064	0.124829	0.106959	0.121443	0.115251	0.208926
i	0.142171	0.328175	0.169168	0.172938	0.0887879	0.0459222	0.00403569	0.0488022
w	0.0755646	0.052258	0.239748	0.332315	0.17449	0.0874239	0.0122801	0.0259201
ó	0.179275	0.146629	0.105793	0.315401	0.104102	0.0633435	0.0224255	0.0630305
a	0.0661466	0.0125261	0.0144658	0.42491	0.243527	0.10272	0.0088097	0.126895
d	0.0099715	0.00290444	0.00289546	0.0578285	0.37391	0.394691	0.0240612	0.133738
í	0.00914694	0.00179423	0.00308871	0.0231545	0.215237	0.166093	0.00182852	0.579657
l	0.0332901	0.00217488	0.0122948	0.0415451	0.242202	0.2748	0.0233468	0.370346
a	0.0180091	0.00318799	0.00382424	0.0382416	0.121238	0.178361	0.0606058	0.576532
k	0.0148696	0.00465197	0.00341721	0.0204791	0.0846313	0.0943343	0.631703	0.145913
ω	0.0119309	0.00523348	0.00297812	0.00893856	0.0794515	0.121879	0.720915	0.0486741
s	0.000178421	0.00066575	0.000476759	0.0053535	0.0205082	0.0364383	0.922036	0.0143429
í	0.00334236	0.00229781	0.000212397	0.0177378	0.300108	0.302338	0.182473	0.191491
k	0.00779701	0.00274425	0.00521791	0.0110805	0.033404	0.0885848	0.139972	0.7112
ω	0.0188234	0.0114964	0.000939363	0.0223789	0.140361	0.162967	0.4048	0.238234
s	0.000178032	0.000144455	0.000105808	0.00137946	0.0127138	0.0218034	0.867256	0.0964186
í	0.00292591	0.00272634	0.000299493	0.0123468	0.110332	0.159709	0.337163	0.374498
</S>	0.00421222	0.00159197	0.00108046	0.0111367	0.0199968	0.0267078	0.0501495	0.885125
