 	leur	père	a	acheté	un	pagne	pour	sa	femme	</S>
t	0.143778	0.829542	0.01449	7.59958e-06	0.0043516	0.000619257	0.0019077	0.00519639	2.29064e-05	8.43726e-05
á	0.00697547	0.984177	0.00405436	5.65764e-05	0.00169039	0.000291272	0.00126155	0.000973734	2.24548e-05	0.000496709
á	0.0224767	0.89949	0.0191954	0.000424829	0.00492448	0.0151326	0.00948639	0.00170975	0.00220039	0.0249596
y	0.330025	0.207114	0.306035	0.0271805	0.00974377	0.00165225	0.0211208	0.00954939	0.00262408	0.0849554
a	0.135684	0.300467	0.235806	0.0104764	0.027283	0.0122371	0.0608365	0.039998	0.00639213	0.17082
b	0.482191	0.183703	0.172411	0.00587166	0.00866825	0.00123736	0.0150745	0.0237221	0.00970252	0.0974186
á	0.812356	0.0862579	0.0674607	0.00219977	0.0108654	0.00204748	0.0115208	0.00292069	0.000558153	0.00381312
a	0.543406	0.375422	0.0522187	0.000317126	0.00498912	0.0038586	0.00417301	0.00229418	0.0016553	0.0116658
á	0.0140278	0.0591201	0.722946	0.00611261	0.0655293	0.00815415	0.036061	0.00627638	0.00178498	0.079988
s	0.000958237	0.000882516	0.080857	0.807803	0.0347243	0.0299666	0.0107002	0.00211825	0.000649011	0.0313411
ó	0.00114608	0.000238145	0.0345254	0.939426	0.00697285	0.000674581	0.00261954	0.000789761	0.000803253	0.0128046
m	0.00197184	0.000423883	0.0188654	0.925113	0.016029	0.00519857	0.0089865	0.00319233	0.00030312	0.019916
b	0.00800351	0.00255597	0.0282936	0.463169	0.248874	0.10508	0.0661632	0.0418058	0.000951314	0.0351035
i	0.0230558	0.00579133	0.0877737	0.0450587	0.309387	0.216355	0.101508	0.0150295	0.000765824	0.195274
m	0.0460736	0.0121121	0.218175	0.00116025	0.428063	0.0800746	0.076821	0.107821	0.0159008	0.0137977
w	0.00517022	0.000210431	0.012084	0.00205119	0.0315869	0.00954955	0.0417069	0.0191702	0.841134	0.0373368
á	0.00195911	0.000264374	0.00310915	0.000260066	0.00677159	0.0391532	0.0151574	0.00313409	0.927598	0.00259316
s	0.140117	0.00146053	0.0401581	0.000207665	0.13462	0.0432489	0.0761128	0.16081	0.367083	0.036182
í	0.00948605	0.00131189	0.0332863	0.0160488	0.213808	0.1057	0.116548	0.0599144	0.0295155	0.414382
i	0.00224875	0.00095912	0.0403951	0.000316618	0.26936	0.0989796	0.264374	0.289797	0.00713228	0.0264383
p	0.000705974	0.000566503	0.00368541	0.000292249	0.0249408	0.702769	0.136174	0.0255591	0.00611992	0.0991869
f	2.2586e-05	8.64522e-05	0.000366842	4.6084e-05	0.00332827	0.939308	0.0306238	0.00486464	0.000211962	0.0211408
ú	0.000114991	4.16677e-05	0.00140179	0.000909531	0.0179358	0.720601	0.13036	0.0260081	0.000243065	0.102383
t	0.00140235	0.000360599	0.00232842	0.000443965	0.0775852	0.310667	0.264948	0.179245	0.00759882	0.155421
a	0.0305583	0.00138499	0.00969747	5.70185e-05	0.010552	0.717817	0.106615	0.0472989	0.00161265	0.0744066
</S>	0.000673788	4.30794e-05	0.000973634	1.92596e-05	0.0145304	0.0512366	0.189302	0.0569757	0.00528943	0.680957
