 	j'	ai	vu	un	morceau	de	manioc	déjà	endurci	dans	le	sac	</S>
n	0.97455	0.0192238	0.000951418	0.00131622	0.000983555	0.0011636	0.00071833	0.000133718	0.000239092	7.407e-05	0.000415656	0.000191074	3.98371e-05
g	0.865318	0.119498	0.000464316	0.00632737	0.0060687	0.00114159	9.03563e-05	0.000169012	2.85704e-05	0.000178081	0.00034818	0.000359563	7.80808e-06
á	0.91286	0.073728	0.00403937	0.00245368	0.0025608	0.000609807	0.000358427	0.000166615	5.41556e-05	0.000281048	0.000448593	0.00236521	7.46702e-05
í	0.0374902	0.305897	0.0896639	0.052135	0.0128355	0.0234092	0.0104202	0.0258635	0.00495068	0.0188643	0.0127072	0.00155447	0.404209
t	0.00313743	0.100482	0.841379	0.0311315	0.00836554	0.00328844	0.00300423	0.00212683	0.000576837	0.00178217	0.000897669	0.000150975	0.00367739
έ	0.000135854	0.0242923	0.893615	0.0442913	0.0175574	0.00456266	0.0070092	0.00169573	0.00271172	0.00127965	0.000705615	0.000421483	0.00172205
i	0.012125	0.170736	0.24697	0.272943	0.118688	0.0784598	0.0324573	0.0199552	0.010341	0.0112867	0.0126537	0.00253506	0.0108488
k	0.0259124	0.110015	0.0409288	0.235621	0.321268	0.135602	0.0219304	0.05907	0.017014	0.0108308	0.0062788	0.0019529	0.013576
ώ	0.000255444	0.00214287	0.0844749	0.170545	0.537044	0.0515336	0.0767965	0.0128837	0.0442767	0.00400565	0.00206376	0.0110614	0.00291604
r	0.000576527	0.00723529	0.0197696	0.0781904	0.457484	0.104875	0.133485	0.0360551	0.0598187	0.0185376	0.0105947	0.0359989	0.0373782
í	0.00063243	0.0177649	0.0591159	0.206511	0.46933	0.123233	0.0341275	0.0186864	0.0220072	0.00936016	0.0102621	0.00625824	0.0227107
í	0.00265988	0.0554579	0.019042	0.166766	0.205924	0.358992	0.0638673	0.0705452	0.0282305	0.0108303	0.00548752	0.000335004	0.0118632
y	0.000485006	0.00837684	0.0115743	0.169734	0.213618	0.237809	0.146648	0.0857677	0.0533478	0.0431836	0.0172797	0.0017963	0.0103796
é	0.000226147	0.00523774	0.0312488	0.117917	0.267039	0.122811	0.0356296	0.0580188	0.0712955	0.181995	0.0527411	0.00297522	0.052865
k	9.42721e-05	0.00126914	0.00327427	0.0824313	0.195572	0.1795	0.0651014	0.080142	0.0536786	0.138485	0.0423764	0.00692573	0.15115
ώ	2.71128e-05	0.000762445	0.00988004	0.0634989	0.144321	0.0815	0.510575	0.038827	0.0956884	0.0307962	0.00709011	0.00833776	0.00869623
ώ	2.66532e-05	0.000640202	0.00446876	0.0219804	0.071485	0.0697832	0.530321	0.075361	0.130984	0.0318106	0.016236	0.0157988	0.0311039
s	5.7099e-05	0.00088718	0.00061006	0.0151287	0.022685	0.0832575	0.0905092	0.327998	0.253646	0.118013	0.0441462	0.00332426	0.0397374
á	0.000140294	0.000707736	0.0015536	0.0245434	0.0359273	0.0546178	0.0153778	0.0616089	0.153861	0.254951	0.217903	0.0407565	0.138052
p	0.00212407	0.00458395	0.000625682	0.00668249	0.0159902	0.0237184	0.00638719	0.0425975	0.19328	0.336567	0.213274	0.133317	0.0208515
ε	6.45192e-05	0.000175368	0.00061967	0.00247819	0.00840526	0.0110407	0.0334102	0.021958	0.482032	0.0570747	0.0367297	0.323528	0.0224831
n	0.000309345	0.000128998	0.000363504	0.00413509	0.012239	0.020666	0.0753869	0.0493872	0.44127	0.093957	0.0873244	0.149848	0.0649837
g	0.000108544	0.000123455	0.000160764	0.00667676	0.0221228	0.0420538	0.0489147	0.0676295	0.173934	0.182874	0.239102	0.115296	0.101002
ε	0.000233331	8.09409e-05	7.5528e-05	0.00273087	0.0470467	0.0311349	0.0213709	0.0403573	0.22151	0.092252	0.0902271	0.408909	0.0440707
</S>	7.38793e-05	8.33422e-05	4.17656e-05	0.00318497	0.00420174	0.0229137	0.00869604	0.056965	0.0367511	0.206489	0.333405	0.0298055	0.297389
