 	kwarata	a	fini	l'	eau	qui	était	dans	la	calebasse	</S>
k	0.616455	0.365101	0.00354781	0.00403258	0.00283746	0.00260843	0.000233369	0.000879245	0.00285808	0.00137226	7.44299e-05
w	0.653684	0.335099	0.00121662	0.000711362	0.000307608	0.000318436	0.000610345	0.000805921	0.00305522	0.00329576	0.000896248
a	0.256218	0.576799	0.0502376	0.0395789	0.011883	0.0128505	0.0185546	0.0163787	0.0114579	0.00319414	0.00284758
r	0.239068	0.493498	0.00844168	0.00654172	0.00241117	0.00339856	0.0151291	0.0105159	0.0089483	0.0172351	0.194812
a	0.620629	0.303836	0.00499181	0.0161712	0.00260121	0.00522925	0.00457169	0.00789534	0.00885043	0.00143717	0.0237864
t	0.244265	0.510053	0.0632714	0.0554576	0.0197376	0.0361602	0.0220425	0.0117146	0.00893214	0.00109194	0.0272737
a	0.477848	0.28152	0.0327965	0.0281373	0.0082966	0.00695626	0.00353496	0.00520251	0.0261806	0.0711232	0.0584048
á	0.144338	0.138593	0.327778	0.14406	0.0959044	0.0312617	0.0204839	0.0215823	0.0123978	0.00498995	0.0586103
s	0.00433858	0.00720299	0.470662	0.125243	0.0896516	0.109327	0.106649	0.0356424	0.00702198	0.000642702	0.0436186
í	0.00144282	0.00305067	0.591298	0.1561	0.0867574	0.0492565	0.058012	0.0277548	0.00662264	0.000256486	0.0194478
í	0.0153374	0.0208783	0.439166	0.179023	0.127505	0.0550612	0.0407481	0.0245192	0.0199757	0.00104942	0.0767368
s	0.00825302	0.00391258	0.188052	0.256308	0.293999	0.154608	0.0426479	0.0280235	0.0122657	0.00315097	0.00877994
i	0.00151514	0.0013456	0.234266	0.275061	0.180187	0.12685	0.0967907	0.0428628	0.0190231	0.00185542	0.0202439
m	0.0217216	0.00785146	0.0553371	0.283759	0.287954	0.17878	0.0424828	0.0270457	0.0350972	0.0377381	0.0222321
á	0.0215822	0.0136555	0.00262666	0.080113	0.509625	0.281988	0.00975165	0.0194816	0.021398	0.010123	0.029655
a	0.0126008	0.008004	0.0202756	0.23613	0.197451	0.224121	0.0547649	0.0783077	0.0548958	0.0822896	0.0311608
á	0.00073853	0.00120133	0.0169303	0.0286395	0.0221627	0.068768	0.255968	0.379543	0.103707	0.0738243	0.0485179
t	0.000289882	0.000978864	0.0131137	0.0202347	0.0130942	0.0579196	0.408727	0.341141	0.0622749	0.0602333	0.0219931
s	0.000105665	0.000403917	0.0206247	0.0201205	0.00470607	0.0192896	0.354928	0.380525	0.0848738	0.0821902	0.0322332
ω	0.00118652	0.00148838	0.035692	0.0799253	0.0135617	0.0368874	0.112551	0.331243	0.150582	0.189561	0.0473214
m	0.0015716	0.00118147	0.0176163	0.0285769	0.00928735	0.0221904	0.0870108	0.294269	0.222545	0.084558	0.231193
á	0.0533961	0.0201221	0.00392213	0.0738421	0.0683039	0.088012	0.0118066	0.0433081	0.129866	0.218485	0.288936
á	0.00902152	0.00353252	0.0048583	0.0448649	0.0229435	0.0397313	0.0205028	0.0988244	0.189445	0.414788	0.151488
d	0.000530064	0.000764839	0.0136707	0.0146759	0.00836551	0.0243526	0.139733	0.347497	0.163715	0.11202	0.174675
z	0.000327867	0.000210708	0.00690276	0.0100504	0.00432449	0.0196794	0.068729	0.437181	0.103847	0.0155564	0.333191
e	0.00206084	0.000408274	0.00275459	0.0492439	0.0166057	0.117983	0.0769751	0.241541	0.0907262	0.215775	0.185926
s	0.00138444	0.000332411	0.00488276	0.0334649	0.00955124	0.0372124	0.077131	0.328628	0.185408	0.0812032	0.240802
á	0.00145395	0.000536157	0.00534975	0.0277991	0.00745833	0.0126698	0.0194335	0.21749	0.20108	0.0890604	0.41767
t	0.015199	0.00266052	0.00626363	0.0480182	0.0142864	0.0154528	0.00975677	0.049543	0.176841	0.435909	0.22607
s	0.000555589	0.000557053	0.000209518	0.00107541	0.000227366	0.000550531	0.00107684	0.00400008	0.0125372	0.953654	0.0255559
á	0.000368568	0.000234881	0.000251873	0.00115098	0.00023298	0.000499063	0.00197558	0.0179952	0.0474459	0.875937	0.0539082
o	0.00173981	0.000793611	0.000849169	0.00377213	0.00101421	0.00173524	0.00857346	0.050606	0.0496689	0.559897	0.32135
</S>	0.000589253	0.000652637	0.00253426	0.00981358	0.0029165	0.0160538	0.052091	0.215213	0.172183	0.0676306	0.460322
