 	sa	mère	lui	reproche	de	toucher	à	tout	mais	il	n'	écoute	pas	</S>
n	0.901137	0.0238668	0.020267	0.0151121	0.0127845	0.00885616	0.0055072	0.0038112	0.00425548	0.0014145	0.000366885	0.00223056	0.000292406	9.78897e-05
g	0.413982	0.574861	0.00817753	0.000235885	0.000687944	0.00103383	0.000130853	9.51113e-05	0.000624373	9.38341e-05	1.27507e-05	2.76096e-05	2.0896e-05	1.66043e-05
ó	0.0957744	0.885377	0.00602852	0.00219591	0.000811128	0.00646244	0.000305964	0.000130105	0.0024627	0.00017444	5.88213e-05	6.7158e-05	0.000140937	1.07441e-05
o	0.0156403	0.973951	0.00211993	0.00299207	0.000289564	0.00426076	0.000135754	7.02394e-05	0.000230832	6.17167e-05	4.92874e-05	6.65558e-05	0.000105278	2.70213e-05
á	0.678081	0.0308357	0.125233	0.00725128	0.0341931	0.00714012	0.0221441	0.0238476	0.00552999	0.0290156	0.00620317	0.00500306	0.00201954	0.0235026
m	0.073023	0.189167	0.201085	0.300823	0.0310479	0.0296037	0.0157502	0.0115005	0.00879194	0.007888	0.051999	0.030101	0.00658528	0.0426348
i	0.0556589	0.0221748	0.53309	0.287784	0.0420552	0.0154582	0.00593012	0.00284396	0.00528511	0.00715821	0.00673727	0.00369322	0.00072587	0.0114045
d	0.0151596	0.0351119	0.134475	0.724516	0.0128433	0.0217874	0.00568296	0.00247611	0.00405278	0.00264029	0.0128547	0.00999575	0.0015903	0.0168137
z	0.00462285	0.0046691	0.0689648	0.82799	0.0109499	0.0202162	0.00673942	0.000803972	0.0046096	0.0018557	0.011264	0.0108118	0.00188486	0.0246181
e	0.0273573	0.000825185	0.0697236	0.876272	0.00731928	0.00441777	0.00302015	0.00025471	0.00374859	0.000638874	0.00148025	0.00131207	0.000153982	0.00347603
n	0.0289819	0.000205878	0.294072	0.372581	0.0699011	0.00952208	0.026958	0.00678666	0.00425194	0.00471723	0.025501	0.0410693	0.00921701	0.106235
d	0.0516473	0.000147089	0.168443	0.100663	0.135519	0.0545127	0.0949467	0.0640855	0.0206077	0.0331282	0.0248186	0.0478405	0.0272111	0.17643
z	0.093411	0.000782091	0.311982	0.308079	0.0632273	0.0342365	0.0228803	0.0103856	0.0343084	0.0193512	0.0037822	0.00475419	0.00355415	0.0892668
