 	le	manioc	que	ngala	a	préparé	hier	a	déjà	moisi	</S>
e	0.434629	0.440469	0.0869344	0.0258982	0.0101807	0.00151432	4.41955e-05	0.000168297	0.000110894	4.40168e-05	6.53974e-06
k	0.136969	0.808671	0.00950874	0.00595898	0.00798194	0.0203145	0.00248656	0.00281779	0.00144745	0.00321924	0.000624084
ώ	0.0208837	0.949622	0.0080159	0.00200539	0.00414194	0.00538102	0.00374993	0.000819492	0.000374852	0.00413688	0.000868596
ó	0.0483666	0.754213	0.173492	0.0132004	0.0050518	0.00210587	0.000604063	0.000522316	0.000325075	0.000737389	0.00138151
y	0.612997	0.0604677	0.263194	0.00479098	0.0201072	0.00883135	0.00231118	0.00698034	0.00347306	0.000211661	0.0166359
é	0.341691	0.0399442	0.383726	0.121562	0.0409079	0.0210138	0.0101865	0.0117528	0.00660533	0.000386056	0.0222246
é	0.05003	0.00526599	0.410651	0.453524	0.0434908	0.0148007	0.00155155	0.00329244	0.00686406	0.000128016	0.0104018
s	0.0276437	0.00979692	0.048823	0.255747	0.170336	0.337218	0.035865	0.0312212	0.0547049	0.00284595	0.0257981
i	0.0100672	0.00118633	0.0184599	0.279315	0.087255	0.422053	0.0160986	0.0295854	0.0826378	0.000939234	0.0524032
í	0.0784055	0.0109425	0.11708	0.185609	0.139564	0.172393	0.0341131	0.0282699	0.0768051	0.00325699	0.153561
n	0.00883866	0.00234064	0.215172	0.332166	0.331771	0.0472962	0.0338119	0.00893342	0.00796682	0.0010079	0.0106952
g	0.0101023	0.00216936	0.116854	0.762676	0.072822	0.0181003	0.00080195	0.00143253	0.000895992	0.000322828	0.013823
a	0.0039484	0.000474376	0.047713	0.898689	0.0228229	0.020201	0.000988156	0.000976755	0.00115231	0.00010596	0.00292773
l	0.0102145	0.0029589	0.333123	0.127997	0.281543	0.121648	0.0590477	0.0191138	0.0106554	0.000644441	0.0330549
a	0.00891675	0.00812942	0.0275536	0.0209768	0.237276	0.227578	0.308853	0.0380285	0.0115312	0.0023109	0.108845
l	0.00646535	0.0022061	0.0284278	0.0165616	0.258465	0.18282	0.407657	0.0342793	0.0188632	0.00230444	0.0419505
a	0.00392652	0.0070785	0.00412392	0.00378579	0.129984	0.116154	0.629613	0.0393677	0.00997399	0.00756581	0.0484269
p	0.00156593	0.00247275	0.00357916	0.00113601	0.12214	0.189758	0.364032	0.111184	0.048782	0.0296254	0.125724
ó	0.000622573	0.00207316	0.00224117	0.000338429	0.0305489	0.0326778	0.860205	0.0565896	0.0029818	0.00226035	0.00946147
a	0.000116909	0.00111145	0.00124931	0.0005873	0.0212089	0.0444624	0.827437	0.0651729	0.0112765	0.00621729	0.0211597
é	0.00184055	0.00529385	0.00735668	0.000707265	0.0326627	0.10769	0.149411	0.355372	0.271619	0.0204194	0.0476278
m	0.00370386	0.00167074	0.00395353	0.00037033	0.0167359	0.0443751	0.0305722	0.261666	0.590709	0.00943238	0.0368111
i	0.00882102	0.000424962	0.00100657	0.000107231	0.00837366	0.0291064	0.00736935	0.172396	0.56403	0.0500773	0.158287
s	0.00137261	0.000844227	0.000117483	2.73195e-05	0.00165082	0.0296242	0.0146805	0.0657754	0.577367	0.257574	0.0509664
á	0.000125507	0.000112792	0.000128521	0.000138647	0.00229788	0.0887718	0.00943698	0.0486791	0.775843	0.0273865	0.0470792
á	0.00148127	0.000153762	0.00204074	0.000225623	0.00845999	0.019394	0.059301	0.237615	0.236799	0.0147332	0.419797
o	0.00275389	0.00104205	0.0092925	0.0029507	0.0161455	0.014538	0.00894745	0.152288	0.228377	0.299036	0.264629
b	0.000700645	0.000637001	0.000205151	8.85968e-05	0.00127167	0.00947612	0.00518473	0.0142876	0.288397	0.623177	0.0565746
v	0.00013034	0.000702325	9.54917e-05	1.68228e-05	0.00177539	0.00437446	0.000892942	0.0130025	0.0315087	0.941962	0.00553857
u	0.00046405	8.92916e-05	4.00963e-05	3.42141e-06	0.000234839	0.00068755	0.000974558	0.00966329	0.019624	0.954564	0.0136548
m	0.00253446	0.000456142	0.000652061	3.29795e-05	0.000401601	0.00178668	0.00188767	0.0297989	0.134564	0.406657	0.421228
a	0.0151378	0.00239326	0.00259041	0.000210301	0.00493087	0.00572721	0.00206671	0.0796755	0.059995	0.606353	0.22092
</S>	0.00356567	0.000531658	0.00091378	6.44971e-05	0.00125085	0.00383413	0.00787735	0.0481915	0.112836	0.119047	0.701887
