 	notre	maison	est	situé	au	bout	du	village	</S>
n	0.125299	0.809182	0.0411995	0.00478353	0.00777553	0.00236881	0.00872	0.000105698	0.000565767
d	0.009879	0.989261	0.000538457	0.000149656	5.61249e-05	2.30259e-05	8.59931e-05	1.16513e-06	5.34358e-06
é	0.00556408	0.992785	0.000171657	0.0010017	7.77973e-05	0.000116809	6.25563e-05	6.71717e-05	0.000153022
e	0.0715065	0.835728	0.022937	0.024898	0.00781252	0.00341213	0.0102994	0.00188402	0.0215226
y	0.241118	0.208142	0.36618	0.0377276	0.0422672	0.0182368	0.030776	0.000472531	0.0550794
á	0.267768	0.378469	0.127792	0.0364971	0.0371034	0.0233428	0.0319634	0.0058181	0.0912463
b	0.952456	0.0147454	0.0213278	0.00260693	0.0013204	0.000621638	0.00196827	0.00191716	0.00303614
í	0.920908	0.00510987	0.0467596	0.00278275	0.011721	0.00398884	0.00400027	5.87131e-05	0.00467099
s	0.958773	0.00472021	0.020531	0.00232168	0.00278764	0.0012983	0.00414681	3.84908e-05	0.00538252
í	0.348242	0.0219324	0.263896	0.0964352	0.0767538	0.0451826	0.0814797	7.62146e-05	0.0660017
é	0.0128162	0.00446141	0.410992	0.274007	0.0892329	0.0558569	0.0273369	0.00044598	0.12485
d	0.00597549	0.00203775	0.187387	0.495618	0.162354	0.0867086	0.0161755	0.000551409	0.0431923
i	0.0031117	0.000277667	0.0564047	0.76377	0.0572149	0.079754	0.00672284	0.000123609	0.0326203
m	0.00588556	0.00124221	0.125422	0.565833	0.172385	0.0981585	0.0165369	0.00251464	0.0120215
í	0.00443446	4.37848e-05	0.141809	0.278391	0.352456	0.134645	0.050728	0.00066212	0.0368303
s	0.00969181	0.000287054	0.10226	0.0281605	0.408843	0.289277	0.0737449	0.00346279	0.0842722
ú	0.00485489	0.000419523	0.0255831	0.0615598	0.320572	0.448073	0.0897524	0.00539259	0.0437926
u	0.00113998	8.87706e-05	0.015828	0.0500617	0.221109	0.557665	0.0612139	0.0417143	0.0511788
l	0.000376634	0.000113446	0.012893	0.00155308	0.165697	0.337112	0.330626	0.0323268	0.119302
á	0.00680407	0.000130465	0.0151579	0.0060631	0.11326	0.268444	0.138978	0.0816949	0.369467
p	0.0266371	0.000889241	0.0179849	0.00354978	0.0378765	0.0785404	0.238764	0.506162	0.0895962
o	0.00147132	3.88481e-05	0.000988935	0.000106459	0.00343959	0.0142165	0.0114651	0.953677	0.0145961
o	0.000762011	1.87805e-05	0.000343987	9.10415e-05	0.0036988	0.0117733	0.0203345	0.912586	0.0503915
</S>	0.007724	0.000195899	0.00857228	0.00225142	0.0250956	0.044012	0.169889	0.0362399	0.70602
