 	il	est	parti	en	brousse	avec	ses	amis	</S>
w	0.847351	0.121749	0.00328533	0.00433615	0.00702345	0.00919003	0.00449299	0.0025414	3.01811e-05
a	0.928458	0.018418	0.000919678	0.0120518	0.00703799	0.0109112	0.0157789	0.00634973	7.46955e-05
á	0.0679014	0.806239	0.0783453	0.0256686	0.00659947	0.00243971	0.00242393	0.000473811	0.00990862
m	0.0214194	0.657292	0.266008	0.0238463	0.0090767	0.00249392	0.00617577	0.00123916	0.0124484
i	0.00582596	0.178807	0.691873	0.0612114	0.02535	0.0125987	0.00506787	0.00135246	0.0179137
d	0.000726458	0.0556311	0.914273	0.011722	0.00523514	0.000709503	0.00048545	0.000111448	0.0111063
z	4.46763e-05	0.0118684	0.976626	0.00290049	0.00260031	0.000111415	5.65212e-05	2.3778e-05	0.00576872
w	0.00129687	0.0336513	0.959684	0.00344059	0.000766588	0.000119913	5.97075e-05	1.49379e-05	0.000966399
a	0.00561307	0.161041	0.198567	0.315032	0.161705	0.0359316	0.0352237	0.00203114	0.0848565
k	0.00702414	0.0266595	0.00471177	0.387631	0.380903	0.122102	0.0432117	0.0182574	0.00949966
ώ	0.00148865	0.00140199	0.00638183	0.0392455	0.825278	0.101295	0.00878799	0.00540142	0.0107201
b	0.000181628	0.00109959	0.00287652	0.0526337	0.634019	0.194948	0.0162679	0.0546805	0.0432933
á	0.00584512	0.0281453	0.0462097	0.0886877	0.235329	0.336927	0.146387	0.071743	0.0407261
a	0.00462838	0.0087336	0.00572466	0.0937568	0.100143	0.140984	0.0806374	0.0787273	0.486664
l	0.00180341	0.0177502	0.00466092	0.0648661	0.0636107	0.0945379	0.149886	0.111205	0.491679
a	0.00131282	0.0133833	0.00781813	0.0441553	0.0601409	0.0753102	0.126469	0.0991171	0.572293
a	0.000390599	0.00214863	0.00192522	0.0127116	0.0155793	0.0717367	0.168205	0.466324	0.260978
b	0.000771948	0.00987819	0.00290241	0.0460038	0.0367267	0.0424448	0.112633	0.343896	0.404743
i	0.00455163	0.0101626	0.00150981	0.0822764	0.113503	0.104728	0.284755	0.321452	0.0770614
a	0.00110842	0.00362565	0.00169742	0.017014	0.0186239	0.0376722	0.107011	0.436362	0.376886
</S>	0.00157046	0.0189128	0.00291757	0.0535923	0.0378875	0.031126	0.0963488	0.179105	0.578539
