 	les	feuilles	de	manioc	qu'	elle	est	en	train	de	piler	ne	sont	pas	encore	assez	écrasées	</S>
a	0.471235	0.295238	0.0777196	0.0267721	0.0263729	0.0301095	0.00296727	0.00186927	0.0137733	0.00508012	0.00020226	0.0035236	0.00235332	0.00983733	0.000961284	0.00414826	0.0239547	0.0038822
y	0.0961789	0.528805	0.0512649	0.0808744	0.00451241	0.00424937	0.00292251	0.00146789	0.00194909	0.000397036	0.000240522	0.00134029	0.00169818	0.00681655	0.00421612	0.0171001	0.180664	0.0153026
a	0.0862542	0.326736	0.199374	0.0348251	0.0865421	0.0181487	0.018665	0.000676537	7.17364e-05	0.00253979	0.0156578	0.00414791	0.00953312	0.0323218	0.076254	0.00822478	0.00316218	0.0768656
a	0.0368171	0.176749	0.216706	0.0266238	0.0189428	0.00469505	0.0178468	0.00458044	0.000152404	0.00364316	0.00238427	0.00483037	0.0132744	0.0269428	0.0241408	0.0111797	0.0160076	0.394483
m	0.0771811	0.0969722	0.501025	0.139786	0.0754092	0.0261928	0.0163649	0.00487925	0.00284773	0.0106364	0.00200641	0.00494451	0.0036111	0.00293884	0.00270094	0.00296712	0.001168	0.0283675
á	0.0814317	0.0212486	0.227117	0.038525	0.229957	0.130494	0.175019	0.0111584	0.00125426	0.0468071	0.00232562	0.0071639	0.00477037	0.00424189	0.00165129	0.000848559	2.72038e-05	0.0159585
á	0.0912662	0.040049	0.177271	0.0835567	0.0846657	0.111509	0.125477	0.0641728	0.0108452	0.025945	0.0145112	0.00522867	0.00916837	0.00926073	0.00759659	0.00443224	0.00183771	0.133207
t	0.0172904	0.0280616	0.0588885	0.141938	0.0894299	0.0658988	0.163025	0.07607	0.0269684	0.0366318	0.0613395	0.0178662	0.041085	0.0205586	0.0358184	0.0248164	0.00936372	0.0849491
u	0.0032151	0.0146066	0.0419524	0.210136	0.0113884	0.0184774	0.141728	0.222178	0.0266632	0.0277554	0.12909	0.0172437	0.028109	0.0160446	0.0174168	0.0208647	0.00413566	0.0489956
t	0.0247648	0.0406953	0.0470634	0.0992176	0.0511956	0.0932714	0.129179	0.165603	0.0145424	0.035569	0.0833182	0.027084	0.0247109	0.0318841	0.0170089	0.0339265	0.0136904	0.0672751
á	0.00629467	0.00395434	0.0277826	0.0262337	0.0817891	0.194461	0.0922602	0.177606	0.0322091	0.0731604	0.187417	0.0231009	0.0133444	0.02107	0.00190861	0.00703568	0.00543522	0.0249375
w	0.0017716	0.000986309	0.01095	0.00340108	0.0962372	0.280551	0.0738773	0.062782	0.0207713	0.12123	0.277336	0.0123292	0.00837691	0.00525817	0.00191673	0.00224422	0.000654595	0.0193265
a	0.00163	0.00173914	0.0213873	0.0090317	0.0640849	0.13372	0.0673975	0.16439	0.0279412	0.186146	0.225738	0.0323937	0.015198	0.0144248	0.00190912	0.00311868	0.00167213	0.0280766
á	0.00058348	0.000607543	0.00836871	0.00288155	0.0782235	0.0892038	0.0474959	0.0791435	0.0675966	0.248314	0.282956	0.0282996	0.0165324	0.013446	0.0114896	0.00628633	0.00340585	0.0151653
s	0.00231816	0.00535811	0.00716264	0.0196811	0.00823479	0.00174853	0.0154402	0.00792521	0.00593067	0.0526883	0.312606	0.0990677	0.120257	0.0361627	0.141859	0.111815	0.0097938	0.0419519
á	0.00126258	0.00134764	0.0036544	0.0016002	0.015564	0.00204858	0.0163434	0.00446248	0.000426991	0.040395	0.0949546	0.0495103	0.0993945	0.0412949	0.450118	0.0900379	0.00458066	0.0830043
a	0.00177706	0.000862581	0.00291572	0.00144315	0.0416075	0.00715444	0.00904856	0.00594097	0.000924448	0.0652708	0.0485231	0.156852	0.192072	0.146781	0.148386	0.09654	0.0101912	0.0637098
o	0.00143637	0.000932102	0.00126752	0.0043513	0.00429992	0.00110986	0.00110098	0.000895433	0.000969989	0.0188654	0.0569291	0.125063	0.202675	0.168554	0.127933	0.142013	0.0586658	0.0829377
b	0.0010079	0.0040233	0.00498301	0.00650482	0.00124968	8.88154e-05	0.000870138	0.001134	0.000511568	0.00195671	0.0096541	0.031321	0.0989656	0.11074	0.0896161	0.201148	0.327543	0.108682
h	0.00303875	0.0165729	0.0137322	0.0396335	0.00220581	0.00116844	0.00672878	0.0114922	0.0139069	0.00545582	0.00475465	0.0499391	0.0643154	0.0764078	0.00819666	0.0345034	0.545939	0.102009
ω	0.000656298	0.000566519	0.0011929	0.00387186	0.000315924	6.64619e-05	0.00108512	0.0139606	0.0209367	0.0046161	0.00121839	0.00694895	0.0145833	0.0142765	0.00145685	0.00559386	0.809097	0.0995565
y	1.00692e-05	7.92929e-06	8.79792e-05	0.000164213	0.000246408	1.36119e-05	0.000211891	0.00122516	0.000409097	0.00305543	0.000764118	0.00864778	0.00978413	0.0244966	0.00248564	0.0167469	0.868107	0.0635358
ω	0.0042933	0.00371067	0.00896788	0.00714963	0.0058871	0.00266669	0.00897411	0.0187471	0.00236492	0.0445261	0.0571306	0.0756185	0.0714601	0.111172	0.0388466	0.063201	0.30961	0.165674
k	0.000721666	0.000378637	0.00199537	0.00334203	0.00755401	0.000352674	0.00126044	0.00128412	0.000257504	0.0116022	0.00351032	0.0580716	0.133352	0.175068	0.087165	0.0876694	0.0379679	0.388447
a	0.00410391	0.0109	0.00759562	0.0262078	0.00366031	0.00137211	0.00230634	0.00869213	0.00757807	0.0147114	0.0413251	0.0780846	0.0718033	0.218966	0.00681694	0.0357798	0.100577	0.35952
á	0.000387918	0.000409235	0.000465471	0.00317171	0.00111458	0.000758868	0.000941948	0.00801737	0.0121203	0.00657546	0.0500687	0.0176799	0.0370547	0.0567391	0.00366009	0.00493171	0.120889	0.675014
</S>	0.0034914	0.0018685	0.00616475	0.00408218	0.0496884	0.0135212	0.00873618	0.00427529	0.00129153	0.0339331	0.0218088	0.0684033	0.101121	0.0961948	0.060931	0.0354463	0.00674643	0.482296
