 	quel	est	parmi	vous	la	personne	qui	fait	partir	les	gens	en	europe	</S>
o	0.289214	0.104547	0.0992523	0.0733252	0.136935	0.0978096	0.0518689	0.0569382	0.00956167	0.0407892	0.0294723	0.00824061	0.00117972	0.000865562
d	0.00645079	0.00906438	0.00425487	0.0018474	0.0154847	0.012861	0.0150465	0.120435	0.743384	0.0183627	0.00376482	0.00702029	0.0316417	0.0103817
z	0.00472416	0.034758	0.0243759	0.00315038	0.0221693	0.00661166	0.012269	0.0528442	0.771447	0.0356033	0.000937405	0.00437642	0.000822019	0.0259111
w	0.00583482	0.00843825	0.00179956	0.000376706	0.0138187	0.00673523	0.00491868	0.0407895	0.909711	0.00371444	6.47606e-05	0.000770049	8.55718e-05	0.00294272
e	0.0268336	0.0178602	0.0293506	0.0102752	0.0795938	0.0463872	0.0639704	0.266086	0.352517	0.0295174	0.00100762	0.005511	0.000276511	0.0708134
e	0.0742056	0.105681	0.238634	0.07441	0.209235	0.0814529	0.0687241	0.0615981	0.0136735	0.0213091	0.00857555	0.012815	0.000643463	0.0290427
s	0.00411992	0.0171653	0.0301469	0.0495246	0.0948889	0.0934551	0.0942898	0.304501	0.156925	0.0490371	0.0246898	0.0223595	0.0160514	0.0428457
i	0.00606964	0.0176679	0.0185233	0.013709	0.0785533	0.0395802	0.1232	0.356225	0.223489	0.0528494	0.00396844	0.0229244	0.000623037	0.0426172
b	0.00268327	0.0172172	0.0433949	0.0404628	0.0448445	0.0343812	0.0893361	0.161992	0.238864	0.215942	0.0132588	0.0231952	0.000654706	0.0737738
a	0.00261085	0.027172	0.0425107	0.0694243	0.0686452	0.0821666	0.0805669	0.231655	0.0861657	0.115033	0.0769117	0.0323263	0.00915171	0.0756602
r	0.00135103	0.0204838	0.0463015	0.0763684	0.0643929	0.0694854	0.0979551	0.103886	0.0547053	0.180346	0.220858	0.0254247	0.00180552	0.0366364
e	0.0332126	0.0109539	0.0407714	0.10417	0.191268	0.0885008	0.0558251	0.106957	0.0267067	0.162984	0.04121	0.0313922	0.000932238	0.105115
p	0.00490017	0.016183	0.0974077	0.0961646	0.0758552	0.0490455	0.123084	0.0797959	0.0519825	0.143584	0.145823	0.0992633	0.00433903	0.0125717
ó	0.00942232	0.0115676	0.0313141	0.0625285	0.108476	0.121103	0.0521602	0.0682453	0.115252	0.0691967	0.171471	0.0316712	0.11654	0.031052
r	0.000477915	0.00166083	0.0143143	0.0190389	0.0457227	0.0387832	0.0783503	0.0670578	0.258568	0.0524676	0.06681	0.135889	0.091835	0.129025
ó	0.00363118	0.00366394	0.00530736	0.0163496	0.0452426	0.0745771	0.0763813	0.121096	0.123726	0.153571	0.167631	0.0598434	0.0525733	0.0964062
s	0.00272254	0.00400569	0.0134355	0.0308489	0.0659773	0.0571998	0.116486	0.0706265	0.0519964	0.140502	0.141116	0.243859	0.0186386	0.0425856
á	0.0504067	0.0315855	0.0953843	0.0996941	0.0725119	0.0409737	0.0703212	0.0879117	0.0558538	0.196163	0.0371158	0.0814582	0.0222106	0.0584093
b	0.00767156	0.00726097	0.0733164	0.198278	0.039572	0.0211969	0.0433756	0.0489393	0.0276159	0.176544	0.112721	0.130007	0.0853179	0.0281828
í	0.00304856	0.0077686	0.0198569	0.372295	0.00885898	0.0118969	0.00731053	0.00789028	0.00931729	0.127573	0.364157	0.0288591	0.0183235	0.0128439
n	0.00042323	0.000861334	0.00611931	0.430354	0.00651536	0.00516204	0.00547745	0.00325171	0.000969565	0.0556069	0.459827	0.021589	0.00193988	0.00190315
í	0.0269716	0.0085066	0.0317954	0.243853	0.0322311	0.037681	0.0202591	0.0180859	0.00594169	0.0935527	0.188622	0.0821083	0.00235463	0.208038
n	0.000323795	0.0015605	0.00484643	0.00809474	0.00967097	0.0122719	0.034795	0.0274549	0.0294309	0.0778234	0.120665	0.523015	0.0172346	0.132814
d	0.00944002	0.0114062	0.0140308	0.0235015	0.0254567	0.021163	0.0192955	0.019623	0.012591	0.0587456	0.0319233	0.291975	0.0091944	0.451654
a	0.00121415	0.000644472	0.00168832	0.00411732	0.00502124	0.00259301	0.00415826	0.00615968	0.0176643	0.0243718	0.00797219	0.0846015	0.0218184	0.817975
</S>	0.000203879	0.000358521	0.00140288	0.00240654	0.00340626	0.00286798	0.0111576	0.0106525	0.0230749	0.00957912	0.0018773	0.0823694	0.0164694	0.834174
