 	les	piqûres	de	guêpe	sont	douloureuses	</S>
m	0.642671	0.141105	0.145493	0.0264742	0.039535	0.00138111	0.00334191
i	0.0862849	0.57417	0.183836	0.0492504	0.0568911	0.00371304	0.045855
n	0.172958	0.735567	0.0406478	0.0338388	0.00779308	0.0018549	0.00734074
a	0.153933	0.724644	0.0394401	0.0174031	0.00332901	0.0264083	0.0348429
m	0.380665	0.214848	0.218945	0.0324799	0.0473839	0.0019305	0.103748
á	0.259928	0.154765	0.34141	0.0962764	0.0931518	0.0181847	0.0362837
b	0.411645	0.108181	0.2289	0.10729	0.026195	0.0395638	0.0782252
o	0.126792	0.202072	0.148741	0.315429	0.116346	0.0458235	0.0447967
o	0.0225659	0.055384	0.0604592	0.836207	0.00923148	0.00131563	0.0148369
l	0.0510736	0.0523027	0.360478	0.202391	0.29292	0.000663266	0.0401719
o	0.103135	0.0340855	0.296544	0.108341	0.28022	0.0290145	0.14866
b	0.0549806	0.0588608	0.270831	0.206748	0.183653	0.0736335	0.151294
o	0.0417384	0.0357622	0.102347	0.698615	0.0581794	0.022666	0.0406922
á	0.0060909	0.00943542	0.0380189	0.698737	0.147879	0.0178988	0.0819395
d	0.0161582	0.00627575	0.0710328	0.0127678	0.653991	0.0743362	0.165438
í	0.00254575	0.00163829	0.00676907	0.00171482	0.25188	0.0317198	0.703732
l	0.00737378	0.00156792	0.0336007	0.00762254	0.291064	0.170117	0.488654
a	0.00146361	0.00153356	0.0136194	0.00396091	0.185782	0.298881	0.494759
n	0.00490707	0.00682057	0.0203204	0.0229725	0.0936245	0.676207	0.175148
d	0.00239403	0.0123028	0.00891152	0.0021951	0.0132394	0.912585	0.0483723
u	0.00136049	0.00383924	0.00569865	0.00248245	0.0131661	0.844408	0.129046
m	0.000101609	0.000866042	0.00299171	0.0126498	0.0200528	0.795849	0.167489
a	0.00178223	0.000630333	0.0150158	0.0137414	0.108246	0.408515	0.452069
</S>	0.00201323	0.00138923	0.0174277	0.00384967	0.234588	0.020944	0.719789
